year,BCCA_0-125deg_pr_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp85_r1i1p1
2006,2.7794642,3.5293033,3.8304598,3.5817747,3.5457935,4.040351,3.537459,3.7074022,3.579679,3.7473907,3.0375993,2.8513522,3.6888163,5.019177,3.878901,2.489045,2.874031,4.277388,3.8340707,3.327134,2.9714324,3.2617831,3.2698622,3.9489079,3.7698808,4.187666,3.506227,3.417674,3.298337,2.9095693,3.2503026,3.8906596,3.062281,3.1836858,2.9381094,3.8796396,4.073894,4.2916064,3.2217896,2.901099,4.7912173
2007,3.2663755,4.3395624,4.0230117,2.7379503,3.8718777,2.8215015,3.4371364,3.616179,3.9471073,3.9912348,2.9959133,4.2434354,2.6533654,3.6021426,3.4582727,3.6039457,3.7405162,3.8991625,4.656701,3.010198,3.3986285,3.843452,3.1446664,3.3121388,3.679585,3.5560179,4.018362,3.013278,3.2718148,3.385902,2.7826076,3.8167305,3.4666882,4.0215025,3.9506338,3.1340227,3.4559617,3.504358,3.2434938,3.1279337,3.466372
2008,2.9351385,3.6913867,4.108089,3.5331402,4.0793247,3.6489155,3.4959805,3.401963,3.9636822,3.9600594,4.744765,3.935254,3.213839,3.3807611,4.00283,3.2288039,3.4300392,3.5481527,3.6064491,3.886348,4.5416346,3.6382303,4.11418,3.0823166,3.2811546,2.9969406,3.5887256,3.0233116,3.9030519,3.9077926,3.7893434,2.9492352,3.8752837,3.4729493,3.27883,4.174161,4.0141134,3.7340226,3.625413,3.181659,3.692979
2009,3.6885693,3.9818091,3.725109,3.6663268,3.7682905,4.113805,3.4306786,4.021378,3.6946113,3.7986934,2.8801215,3.6033313,3.6121323,3.3672454,4.8693333,3.8773248,3.7002754,3.213355,4.035533,3.0235262,3.6105726,3.4256423,3.6580148,3.7023478,3.6351147,2.6931365,3.1084108,3.886401,3.5078964,3.185433,4.509839,3.481708,2.9621189,3.4096646,3.1802437,3.2882025,4.5957003,2.7597208,2.8081028,3.70747,3.8349524
2010,3.9604628,3.7399216,3.870652,4.0824914,4.3839664,4.188806,3.152022,3.5551977,3.3776057,4.307468,3.319111,2.8779023,3.471354,5.128473,2.9806244,3.3298306,2.8604226,4.180584,4.043237,3.5942228,3.108009,4.730548,3.693075,3.717455,3.7865384,3.1326313,3.118892,4.0592356,3.8003876,4.040107,3.2986932,3.3452156,2.5701056,3.155653,3.172451,3.3664203,4.445817,2.5126226,4.26087,3.4186065,3.0181515
2011,3.9624643,2.6381412,4.6112313,2.7812827,2.9460943,3.1797366,3.9313653,3.8374858,3.9710119,3.9154916,4.1645265,3.9168499,3.5897722,3.3294318,3.4386966,2.0904653,3.396192,3.485545,3.5873885,2.8416028,2.853503,4.653372,2.8455997,3.8211453,4.4789696,3.931964,2.8153386,3.8741283,3.6000202,3.961837,3.1241393,3.8357623,3.7065356,3.8851824,3.3763273,3.4963927,3.0773063,3.7201214,2.6751158,3.2090802,2.6755958
2012,3.4703412,3.8667011,2.642866,3.2911563,3.2497284,3.5003912,3.5878203,3.3007643,3.3578405,3.615695,4.5008984,3.81257,3.7229598,2.782247,3.8579023,2.8293767,3.8011293,3.1323125,3.4070265,3.0158637,3.1302571,3.414381,3.0046856,4.203112,5.01005,4.003512,3.5294275,3.201202,3.8259003,3.4719055,3.9762537,3.4742856,3.340277,4.0591655,3.678532,3.472734,2.8330255,3.2212775,3.0249665,3.5932689,3.0340183
2013,3.788884,3.0509653,2.696163,4.0670085,3.630256,3.8698337,3.9906807,3.352518,4.939484,3.5778682,4.6112213,4.5512443,2.9306955,2.9958792,3.7757506,4.0871577,3.727229,3.603033,3.6177714,3.7002122,3.094126,3.7809527,3.1323538,2.4791536,3.21324,3.8904595,2.4180067,3.3834143,3.6661043,4.124812,4.3110166,2.6842153,3.456281,4.182228,3.5168154,3.4955459,3.678269,4.0408444,3.4376562,2.9519153,3.946883
2014,3.864005,3.351093,3.3018844,2.7334294,3.4021096,4.1427,3.2308362,3.3385313,3.1287844,3.466536,3.1416032,3.4192352,2.7149704,3.3686147,3.3597414,3.5812378,4.1620345,3.7955074,3.8204927,3.6781614,3.2056491,3.0076349,3.2817545,2.8977427,3.6104689,3.9737906,2.9034748,4.271193,3.9018426,4.024473,2.8139794,3.1932569,4.278287,3.3244298,3.4666173,4.1906753,3.5302866,3.75088,3.2008383,3.361473,3.1337235
2015,3.121258,3.4157765,3.3661785,2.944886,3.8767319,4.406885,3.8965373,3.14266,3.8761847,4.0205536,3.9059784,2.8984153,4.046762,3.5476005,3.3323038,3.1832027,3.76551,4.1833587,4.6353016,4.3779287,4.030027,3.789421,3.1826308,3.5869765,3.3382514,3.510111,3.8220701,4.7620482,2.5677805,3.9386292,4.272184,3.4253318,4.3217845,3.681632,3.102113,3.4318495,4.5036907,3.2940125,3.2278326,3.268518,3.653836
