year,BCCA_0-125deg_tasmax_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_inmcm4_rcp85_r1i1p1
2006,20.960224,19.888275,17.870188,19.517673,19.15819,18.94962,19.344461,19.730398,18.904911,18.74708,19.965124,19.67581,18.137352,18.037348,19.022259,18.828312,18.963203,18.32214,18.118073,19.09363,19.483986,19.258348,18.094929,19.479202,20.284838,19.4472,17.194065,18.490114,19.24869,18.989304,19.438786,19.574465,19.870754,18.379827,18.929926,18.796062
2007,19.710917,19.671156,19.244282,19.350075,18.665026,20.200642,20.42768,19.932146,19.46644,18.299255,20.611307,18.314827,20.439262,18.89585,21.060434,19.746784,19.151356,18.983187,19.412203,19.589148,19.75193,19.25596,19.114275,20.126059,20.89706,20.333576,19.727985,20.779213,19.03681,18.886786,20.162796,19.382742,19.892733,19.554192,20.46532,20.286783
2008,20.861677,18.21243,18.864752,20.255642,19.46707,20.948635,19.827877,19.647682,19.096521,19.796474,17.66898,18.82463,19.209484,20.517368,19.935278,17.97475,18.3066,19.907818,19.26,18.801855,19.277271,19.197464,19.939484,19.043167,20.166391,19.636868,19.428255,19.83482,17.943287,18.606354,19.374044,19.388767,18.74458,20.326641,19.333683,20.058456
2009,18.961376,18.679005,20.782124,19.82598,19.125975,19.409142,19.005987,19.606144,18.58086,17.855124,18.817749,19.44134,18.837217,19.19429,19.122961,19.17592,19.5393,18.624577,18.80857,18.306885,20.217289,19.1247,20.283022,19.841171,19.21108,18.874332,19.932837,19.133436,17.81802,18.59413,18.401443,18.717934,20.331999,19.663395,19.133415,17.763184
2010,18.31537,18.628157,18.944164,18.749767,18.362886,18.606802,19.007645,19.277845,18.10844,17.716402,19.50066,21.939228,18.504211,18.99571,20.178219,19.874983,19.659344,20.221273,19.375881,19.635445,20.193476,19.728527,19.617882,18.517466,19.308271,20.567957,19.36617,20.587198,18.594358,19.34897,19.940523,18.002333,19.110447,19.998968,19.86043,19.712769
2011,20.079954,20.96251,19.106604,20.199795,19.9987,19.79751,18.573824,19.860415,18.725784,18.224707,18.258621,19.605114,20.032745,19.06771,20.25649,20.24974,19.25721,19.314377,18.927364,19.028202,19.036673,20.056269,19.21455,18.30698,18.83433,19.698309,19.931593,19.632812,18.919428,17.540607,19.176529,20.3487,19.19394,18.305801,18.321775,19.030005
2012,19.909012,18.743162,21.399254,20.419058,19.194721,20.97902,18.498333,19.496174,19.99112,19.739845,18.312685,20.06885,18.901842,20.422497,19.361923,20.41235,19.903557,19.953762,18.660973,18.631487,19.64314,19.19139,18.528357,18.955652,18.875889,19.550766,18.93993,20.236948,18.795605,19.244066,19.524794,20.678772,19.362446,19.831827,19.501802,19.713432
2013,19.672117,19.96238,21.363768,18.962923,20.679436,21.336903,18.509232,19.801645,18.520123,19.333889,19.736374,19.26072,19.516232,20.548738,19.191204,19.630089,18.25213,20.23489,20.457327,19.881891,18.693266,20.059978,19.42464,20.288565,20.47706,17.868711,19.653883,19.53459,18.720068,18.729584,19.91086,20.355701,20.500309,19.939152,18.687996,18.727024
2014,20.010593,18.894817,20.857933,21.110826,18.39091,18.824276,19.516212,18.834854,18.881195,19.415476,21.202822,19.313368,20.511015,19.75223,20.19231,20.083408,20.648191,19.601715,20.253252,20.496588,19.121265,20.707132,19.96911,19.24149,20.06767,19.705065,19.988024,18.63957,18.852629,18.686258,19.602177,20.12152,19.894203,20.007803,18.438524,18.760818
2015,20.392841,18.176783,19.772573,20.091951,19.632994,18.90608,19.297527,18.350866,19.524,19.258892,19.089859,18.670605,19.762411,19.212883,20.088661,18.362902,19.72677,19.381752,19.929403,19.778233,19.69898,19.997475,19.145075,21.07783,18.662233,20.551702,19.67704,18.138062,18.410528,18.595577,18.453905,18.608118,19.537617,20.053204,19.786236,19.225983
2016,19.833815,18.828,20.865307,18.574146,20.070438,20.649744,19.231564,19.80742,20.195873,18.168427,18.940027,20.55415,19.24465,20.26847,20.07585,19.9443,20.794115,18.440777,19.141266,19.920671,19.394697,18.732412,19.32349,20.223598,19.873652,19.852589,19.416958,19.733711,18.210918,17.863728,19.528536,19.357323,19.753712,20.083332,19.632198,18.631126
2017,19.411634,19.736317,21.125334,18.68023,19.54997,19.61085,19.71328,19.520195,19.270042,18.595575,19.360558,19.183683,20.027353,20.023731,19.71637,18.80158,19.878914,19.29729,19.613482,18.167164,18.919346,19.348852,19.480299,18.727175,20.985413,21.25444,19.53753,17.723146,18.68416,17.938732,18.617317,21.53402,19.365967,19.423883,19.200716,18.668013
2018,19.16322,19.72442,19.271536,22.012836,19.639805,19.904583,20.118334,19.809185,18.55333,19.84928,19.363272,19.294477,20.06145,20.213581,20.01072,19.56544,19.634792,18.818018,19.151794,19.26179,20.028978,18.299587,19.588184,19.739231,20.410065,20.573933,19.080505,19.4178,18.598751,18.383287,19.983463,19.959583,18.541248,19.305723,19.455795,20.470749
2019,19.996058,20.837538,19.028885,20.335669,19.72439,19.683132,20.573973,19.250742,17.977886,19.756584,19.578175,20.270819,20.542213,19.777372,18.978413,20.443892,19.002161,19.186192,19.7539,20.661995,19.40886,19.726131,19.78218,19.829771,19.90365,20.313992,19.30724,19.747381,18.800112,18.918236,19.197418,19.404741,19.191261,19.240154,19.501177,19.977085
2020,19.993587,20.15954,19.856022,18.623705,20.919722,21.270155,20.895872,20.159582,18.783218,20.363558,19.403048,20.720442,19.678007,20.4665,19.686152,18.58787,19.90018,19.582697,20.197903,19.716288,19.922035,20.140045,19.819382,19.302067,18.611246,19.46597,19.659414,20.055988,18.936922,19.00865,20.061926,20.039873,19.583279,20.663523,18.840437,18.080029
2021,19.717958,17.939873,21.339184,20.154638,20.64841,20.30675,19.607353,18.888813,19.978914,19.19581,19.122004,19.251131,20.324244,19.31566,20.132658,19.878538,19.363625,20.932293,19.762897,19.549408,19.184875,20.648144,19.309155,20.032738,18.912966,18.426176,19.759201,21.06068,18.789246,19.048939,19.750744,19.747513,19.677723,20.428888,19.60725,19.661917
