year,ACCESS1-0_historical_r1i1p1-cooling_degree_day,bcc-csm1-1_historical_r1i1p1-cooling_degree_day,BNU-ESM_historical_r1i1p1-cooling_degree_day,CanESM2_historical_r1i1p1-cooling_degree_day,CCSM4_historical_r1i1p1-cooling_degree_day,CESM1-BGC_historical_r1i1p1-cooling_degree_day,CNRM-CM5_historical_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-cooling_degree_day,GFDL-CM3_historical_r1i1p1-cooling_degree_day,GFDL-ESM2G_historical_r1i1p1-cooling_degree_day,GFDL-ESM2M_historical_r1i1p1-cooling_degree_day,inmcm4_historical_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_historical_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_historical_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-cooling_degree_day,MIROC-ESM_historical_r1i1p1-cooling_degree_day,MIROC5_historical_r1i1p1-cooling_degree_day,MPI-ESM-LR_historical_r1i1p1-cooling_degree_day,MPI-ESM-MR_historical_r1i1p1-cooling_degree_day,MRI-CGCM3_historical_r1i1p1-cooling_degree_day,NorESM1-M_historical_r1i1p1-cooling_degree_day
1950,377.43518,280.1532,239.88159,271.91714,332.19742,317.9332,358.32843,289.68732,299.15683,286.1196,357.60873,245.81767,281.15808,318.33743,333.19177,297.4153,292.5436,291.14777,333.65182,301.18976,345.8086
1951,221.00705,302.74554,322.4168,370.35934,381.293,280.5574,326.38052,387.44724,399.81268,405.8719,236.5295,262.83707,304.95355,302.46912,284.18695,399.3007,333.73972,296.64743,288.23788,298.018,224.94951
1952,354.1624,329.90646,386.8058,336.8905,332.134,339.86575,282.92575,360.4328,348.28223,305.7889,319.07816,277.19983,229.43388,221.57593,337.96045,328.57382,310.17545,319.26913,338.75232,371.1708,292.56223
1953,253.35632,311.99335,316.29874,295.03003,226.01154,214.97658,317.1819,381.07672,444.64658,331.88135,311.49408,386.91074,300.7523,317.90393,328.6435,359.02325,288.3483,285.9908,324.76407,287.3726,404.46317
1954,275.88223,293.33136,288.19064,362.12082,256.24158,267.9462,289.63696,337.00323,397.34042,214.18109,386.54672,166.03918,321.47226,221.78331,298.6733,286.76312,266.04126,266.9567,272.5494,340.2439,298.62073
1955,325.15875,254.56117,280.5388,272.93652,323.693,310.18478,231.1,285.90762,349.52975,319.5331,321.1162,312.54828,290.38525,312.0768,298.9859,295.0377,249.18858,342.57263,384.77997,319.3774,241.54329
1956,329.64148,288.699,347.2616,326.90335,284.91974,354.31644,265.00998,320.1496,363.06046,363.7427,242.83786,260.1031,278.34,287.4656,315.9412,274.81628,292.06772,248.95514,239.39726,391.8972,361.96317
1957,341.1856,216.47575,256.72357,304.5918,363.63113,320.3039,442.48013,307.13687,336.3009,265.65616,276.86722,341.00674,298.51987,313.00568,321.12564,257.7921,321.674,361.36407,262.0564,350.83124,324.14798
1958,299.67435,259.9698,247.17462,310.29907,371.2279,262.75885,382.85483,271.9975,489.73856,350.8612,324.62296,277.24222,248.99556,248.10211,283.51425,286.5851,283.40097,291.10068,291.14795,366.5852,321.86984
1959,303.85443,344.03964,237.18756,326.5166,277.09384,351.77426,312.7239,265.95987,349.2516,313.29593,383.46436,294.7273,313.25604,337.60257,300.54626,295.6374,286.076,242.75737,289.70428,241.77174,297.5966
