year,ACCESS1-0_historical_r1i1p1-days_prcp_abv,bcc-csm1-1_historical_r1i1p1-days_prcp_abv,BNU-ESM_historical_r1i1p1-days_prcp_abv,CanESM2_historical_r1i1p1-days_prcp_abv,CCSM4_historical_r1i1p1-days_prcp_abv,CESM1-BGC_historical_r1i1p1-days_prcp_abv,CNRM-CM5_historical_r1i1p1-days_prcp_abv,CSIRO-Mk3-6-0_historical_r1i1p1-days_prcp_abv,GFDL-CM3_historical_r1i1p1-days_prcp_abv,GFDL-ESM2G_historical_r1i1p1-days_prcp_abv,GFDL-ESM2M_historical_r1i1p1-days_prcp_abv,inmcm4_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_historical_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_historical_r1i1p1-days_prcp_abv,MIROC-ESM_historical_r1i1p1-days_prcp_abv,MIROC5_historical_r1i1p1-days_prcp_abv,MPI-ESM-LR_historical_r1i1p1-days_prcp_abv,MPI-ESM-MR_historical_r1i1p1-days_prcp_abv,MRI-CGCM3_historical_r1i1p1-days_prcp_abv,NorESM1-M_historical_r1i1p1-days_prcp_abv
1950,7.3840823,4.989956,5.064003,4.3785768,4.941048,6.9044003,3.8826587,3.6096225,3.254473,8.900937,4.66411,10.846049,7.2845745,5.6545453,5.95038,3.6739995,6.8032117,8.180384,7.1166854,3.80624,4.766785
1951,5.3876915,6.129519,2.4526217,5.9422603,8.992689,6.9780374,9.280709,3.756086,6.3939986,4.6805034,8.238249,9.021284,5.6720066,3.3577294,2.9927835,5.555682,4.0389657,5.974501,7.541714,3.0503726,11.2441845
1952,5.129375,7.466565,6.701768,5.969395,8.934946,5.3694606,3.7975845,13.906722,5.675122,5.6721582,5.1480956,6.2433777,8.288695,4.208653,2.4898746,4.3812575,6.306559,5.6928444,6.964876,4.1279616,5.219818
1953,6.7062135,6.465115,6.8690147,8.082127,9.16833,5.00376,5.8297787,5.9258566,2.0832255,11.262307,5.9122567,4.2793674,3.1811123,4.3459954,6.106728,4.8927884,5.325202,4.7066183,3.9502125,6.031598,2.2222178
1954,4.8135877,6.302516,6.0218077,2.9924588,8.375531,6.0409856,5.0356145,2.9540236,11.768382,7.0468717,5.8111544,4.5903335,10.733232,5.8056464,8.307509,6.023341,2.9598944,6.014989,7.8540835,10.094041,5.6293135
1955,10.123513,6.159297,12.032723,5.3739815,3.1374662,4.3691945,5.6188874,4.452414,8.478547,5.088678,2.8951373,7.109558,3.9040234,1.685308,5.992523,8.885937,3.2421734,8.033063,4.533643,4.414117,7.6325045
1956,3.3624601,6.7499013,2.766037,4.8751516,6.566784,4.8833675,6.1295314,3.491499,9.060674,6.706634,6.207684,8.398232,4.0717716,4.627003,5.5832567,6.987262,11.246229,6.1049314,4.5652585,2.439735,8.574844
1957,7.1350646,6.41888,6.9856052,6.1278396,4.5591187,2.7187548,8.133897,13.842739,9.301555,5.423199,5.5142274,5.73002,4.9026794,5.6254754,6.5761504,6.2837768,8.340702,5.03897,8.862423,4.3937273,7.2991986
1958,3.4976385,8.06096,10.909565,7.737005,5.0799756,8.682173,9.922913,6.9813886,6.236832,6.8086457,4.539684,6.1299543,4.023474,9.433235,2.385392,5.303981,7.0537715,12.33427,6.259312,7.8133793,6.3356843
1959,7.24526,6.282742,4.0030847,1.9723473,5.0500984,4.4409842,4.276895,11.104284,6.5091586,3.8919015,1.9750158,7.5290756,8.497651,11.009925,7.0260353,6.209569,4.2836113,2.950342,6.7939906,7.2499475,3.8173356
1960,9.222134,6.019538,8.363619,4.9815354,7.171604,3.3632276,9.117996,5.7979946,12.076502,3.738231,7.164753,7.772327,10.192365,8.452407,7.3458824,5.188612,9.347688,9.19553,4.166364,5.803461,5.4742684
1961,5.2122765,8.01395,4.061905,7.7198625,8.784397,6.294312,3.9403296,2.6355145,5.877771,6.2787876,12.069147,3.728171,9.909177,2.1661248,6.9518085,6.1395464,5.977438,9.445357,8.852309,4.4462304,2.788996
1962,5.7924004,10.453249,7.946642,6.738588,3.89646,8.10483,10.260596,1.8810265,9.899066,6.4659534,2.9003868,7.2123156,4.8707657,1.8665195,5.0359,10.5693655,1.8029569,9.163485,10.266196,4.7350388,6.3699603
