year,ACCESS1-0_historical_r1i1p1-days_tmax_abv,bcc-csm1-1_historical_r1i1p1-days_tmax_abv,BNU-ESM_historical_r1i1p1-days_tmax_abv,CanESM2_historical_r1i1p1-days_tmax_abv,CCSM4_historical_r1i1p1-days_tmax_abv,CESM1-BGC_historical_r1i1p1-days_tmax_abv,CNRM-CM5_historical_r1i1p1-days_tmax_abv,CSIRO-Mk3-6-0_historical_r1i1p1-days_tmax_abv,GFDL-CM3_historical_r1i1p1-days_tmax_abv,GFDL-ESM2G_historical_r1i1p1-days_tmax_abv,GFDL-ESM2M_historical_r1i1p1-days_tmax_abv,inmcm4_historical_r1i1p1-days_tmax_abv,IPSL-CM5A-LR_historical_r1i1p1-days_tmax_abv,IPSL-CM5A-MR_historical_r1i1p1-days_tmax_abv,MIROC-ESM-CHEM_historical_r1i1p1-days_tmax_abv,MIROC-ESM_historical_r1i1p1-days_tmax_abv,MIROC5_historical_r1i1p1-days_tmax_abv,MPI-ESM-LR_historical_r1i1p1-days_tmax_abv,MPI-ESM-MR_historical_r1i1p1-days_tmax_abv,MRI-CGCM3_historical_r1i1p1-days_tmax_abv,NorESM1-M_historical_r1i1p1-days_tmax_abv
1950,3.1397629,0.18707402,0.0068342607,1.7261281,2.11038,0.105523966,0.8645841,1.123891,0.0035651012,2.4427173,1.7440726,0.3123105,0.7342086,1.6162254,0.94383574,0.0034171303,0.39377588,0.013668521,1.6202685,0.778255,1.9365667
1951,0.0068342607,1.0608821,2.0630546,5.8831754,3.1861923,0.09528189,0.017085653,2.467529,2.8557744,4.199718,0.09535723,0.15064432,1.0200408,1.776117,0.3984206,2.6196113,0.20438297,0.92699075,0.010251391,2.6052597,0.010251391
1952,0.43294305,0.20771545,0.57680494,0.53617066,0.54407746,1.2227123,0.0,1.7805296,0.5184978,0.039573886,0.0,0.0034171303,0.43305692,0.19071446,1.0398246,0.027337043,0.027475694,4.463973,3.1650388,3.8269145,0.91714895
1953,0.0,2.576349,1.907697,1.1508149,0.42282417,0.0,2.7395978,2.715483,2.8737388,0.30989763,1.7173346,2.626678,0.5352484,2.000566,0.38803986,3.4212189,0.26549357,0.66818476,4.828896,1.1696357,4.5401278
1954,0.40184703,0.11244288,0.17592736,3.8930776,0.027327724,0.69132656,0.08161337,2.3430002,4.256919,0.0,1.4332299,0.0,0.8014061,0.85878253,0.36336333,0.010251391,0.20095652,0.4287928,0.56143606,2.9731514,0.5728182
1955,2.3046987,0.0068342607,1.2971187,0.36426792,0.90734273,0.95075464,0.0,0.010251391,3.4322803,0.0034171303,0.6495139,0.8484245,0.11576603,0.020502781,0.9777098,0.22487643,0.0068342607,2.051129,3.4923723,0.85462576,0.010251391
1956,1.218905,0.19413158,4.8839307,0.013668521,0.8541802,3.2231612,0.08161337,0.6364478,0.20756748,1.5410179,0.27559698,0.09535723,0.20756748,0.102191485,0.32023367,0.0034171303,0.33087474,0.0,0.0,3.6905284,1.9849659
1957,3.047602,0.0,2.799354,2.7389758,0.2467665,0.8179756,9.831256,1.278426,0.8409666,0.0034171303,0.0,1.9874911,0.0068342607,1.1082239,0.9439957,0.0,4.963484,3.2795978,0.0068342607,0.88086456,0.9686857
1958,0.0034171303,0.0,0.017085653,4.2881002,1.6829493,0.7454642,4.406606,0.010251391,11.938708,1.7537644,0.10902575,0.023910593,0.010399362,0.0,0.64085704,0.11244288,1.2556933,0.5098499,0.5663739,2.23782,0.1358479
1959,0.408524,0.2658727,0.013668521,0.6368781,0.0034171303,1.7940673,0.65699244,0.10324692,1.0883853,2.2746203,11.436397,0.5352484,3.3600178,2.6176481,0.20096585,0.09877436,0.37095422,0.0034171303,1.6866307,1.4797082E-4,0.020502781
