year,ACCESS1-0_historical_r1i1p1-growing_degree_day,bcc-csm1-1_historical_r1i1p1-growing_degree_day,BNU-ESM_historical_r1i1p1-growing_degree_day,CanESM2_historical_r1i1p1-growing_degree_day,CCSM4_historical_r1i1p1-growing_degree_day,CESM1-BGC_historical_r1i1p1-growing_degree_day,CNRM-CM5_historical_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-growing_degree_day,GFDL-CM3_historical_r1i1p1-growing_degree_day,GFDL-ESM2G_historical_r1i1p1-growing_degree_day,GFDL-ESM2M_historical_r1i1p1-growing_degree_day,inmcm4_historical_r1i1p1-growing_degree_day,IPSL-CM5A-LR_historical_r1i1p1-growing_degree_day,IPSL-CM5A-MR_historical_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-growing_degree_day,MIROC-ESM_historical_r1i1p1-growing_degree_day,MIROC5_historical_r1i1p1-growing_degree_day,MPI-ESM-LR_historical_r1i1p1-growing_degree_day,MPI-ESM-MR_historical_r1i1p1-growing_degree_day,MRI-CGCM3_historical_r1i1p1-growing_degree_day,NorESM1-M_historical_r1i1p1-growing_degree_day
1950,731.55194,651.4305,616.3144,635.50684,682.3457,682.1516,721.6478,637.17456,667.8046,628.4641,707.21136,604.6668,645.6995,658.83136,688.78143,681.89874,689.77905,671.7647,698.82544,695.8302,718.2753
1951,543.0687,654.3375,705.4099,769.3113,725.6224,644.76733,680.7562,801.8255,769.9433,788.5434,580.7573,615.4827,643.6374,686.54504,649.6376,804.17096,737.7566,649.9412,631.6215,666.2502,567.1058
1952,729.66223,690.2871,737.15607,705.4475,699.95953,741.46436,659.5479,685.20465,730.0031,649.84094,676.52246,625.118,579.90967,580.0166,750.0254,713.32623,672.6301,674.6062,704.6546,758.6957,628.34766
1953,568.08514,664.1232,683.6699,666.92816,543.7823,519.2022,676.85596,755.53674,842.9805,687.3469,666.98486,771.24744,680.69745,680.59937,687.68463,709.8725,679.6912,629.0938,661.2281,652.5562,783.14514
1954,600.6587,651.08966,622.0857,751.8103,596.49744,602.4903,657.8759,713.5711,757.1228,509.0585,780.66156,468.86996,654.0728,572.7041,653.81116,641.1531,623.57306,605.9245,656.0044,724.40955,647.65015
1955,669.7936,590.61505,630.2872,618.1651,686.1073,638.8916,579.61426,635.22955,712.8524,686.22833,686.12854,660.5716,632.20435,633.11926,664.77515,645.39374,576.4932,724.39734,764.51117,664.4904,584.567
1956,699.6303,639.39886,697.1808,714.4463,641.66425,723.5869,629.44,706.37854,750.3261,722.90753,593.0149,628.9816,611.53253,653.39105,688.52716,669.2626,637.2225,573.8875,579.433,755.4293,740.7995
1957,699.24023,566.4444,557.31555,632.50903,757.8346,683.1667,813.1698,657.7047,654.0939,589.7906,648.7702,746.08905,691.86176,663.7919,702.18823,613.3835,683.12915,732.2851,588.2255,730.0041,682.4366
1958,662.3822,623.67773,587.27875,625.22437,744.65625,613.7002,782.31244,634.50684,888.9813,723.4648,688.6474,626.6825,620.16833,607.32623,635.66595,644.4091,650.47723,635.34955,652.0979,767.3869,709.3924
1959,684.7751,701.9981,589.7838,680.26263,656.81213,732.25525,686.6818,630.67535,729.2924,669.0499,764.1032,645.2354,657.0028,733.6836,637.8105,669.06726,677.41626,578.82764,617.89667,603.64526,662.16516
1960,673.6744,710.0371,674.0393,647.2193,603.79144,689.7607,542.6333,682.6713,615.69305,712.692,667.6265,654.8821,762.42365,641.3807,713.92126,660.2844,784.79504,734.2038,712.7833,620.5734,633.1439
1961,558.4742,804.0926,655.89185,590.8042,554.2986,638.2603,748.25757,663.7865,703.0374,685.6269,679.0946,802.5025,585.5036,715.2112,612.5292,746.0046,627.5648,760.70886,735.37244,678.5535,649.57263
1962,675.8526,618.20184,657.32355,664.18896,561.4208,704.84686,728.1974,740.3794,602.9213,713.1121,602.2252,680.7383,735.4805,850.29663,634.4809,737.92596,682.4901,687.8651,748.4904,672.4134,730.17993
1963,642.96625,612.9641,616.8018,576.8564,607.817,704.25336,541.64655,764.52655,661.544,641.48694,742.77264,633.1494,512.07294,614.4378,639.7476,705.4995,701.7569,662.18726,719.0111,518.58246,578.35693
1964,707.31195,578.44073,628.0839,589.04956,675.7607,657.2203,727.5697,640.1626,593.0713,630.4997,604.5227,676.4837,458.0461,666.05896,724.0274,616.5937,690.7229,624.5378,776.0773,742.3924,636.7332
1965,607.80896,725.9363,582.45996,652.0132,551.37695,664.79553,734.9659,599.52203,560.53326,623.47876,717.51416,714.52466,512.05286,608.4799,676.72394,555.6711,531.5617,513.6888,798.37933,717.8297,621.97076
1966,635.3272,649.9494,645.09973,624.56537,633.1595,715.38586,627.2446,634.8316,679.9313,754.98315,590.9798,806.22363,663.1473,665.25757,563.352,621.7449,620.4258,617.1906,631.85223,762.34485,620.86505
1967,747.28345,662.20166,731.30444,659.34357,564.54865,651.38806,669.6101,707.98724,724.85504,773.05347,725.23456,652.9334,602.2008,631.3078,661.7137,628.64484,619.603,676.045,653.2036,620.06726,625.6817
1968,617.6161,753.5567,637.32874,611.539,598.01544,670.842,664.2563,644.48016,518.8572,673.7525,760.1592,758.34625,652.242,572.9114,529.5541,548.728,610.42456,535.85785,654.3701,641.6886,761.9065
1969,669.63116,665.49066,665.7732,662.8786,677.7279,538.4469,584.1032,658.3993,716.77716,687.42236,589.42596,625.86755,628.10046,638.8916,559.1367,575.7356,645.6756,661.4604,592.8225,794.99023,594.23883
1970,699.66986,556.5274,653.3881,616.60913,712.4077,672.2226,696.2001,632.7037,649.2058,636.28064,607.53796,716.4867,605.2574,653.7723,607.91644,638.23157,643.37744,647.0179,545.5074,654.3764,636.6334
1971,663.5044,689.1517,680.8814,719.0346,595.7149,606.7359,675.4768,698.50745,754.2085,685.4946,616.99316,729.3873,704.0838,638.60004,580.15796,618.04285,580.3228,776.9564,660.9436,702.58966,779.9283
1972,697.20496,736.4939,679.1541,712.1717,675.9476,645.5289,738.29205,611.5642,621.0231,631.213,625.2332,699.0883,722.5583,725.9467,658.02936,716.97064,579.39636,652.9899,745.73785,724.7198,723.05255
1973,654.96686,610.4421,684.1311,610.59796,744.02765,656.25464,718.5934,668.8458,683.18994,722.0187,621.9587,639.3739,734.82837,712.16534,702.78625,645.366,708.58435,625.23694,697.64856,676.0724,649.4034
