year,ACCESS1-0_historical_r1i1p1-growing_season_lngth,bcc-csm1-1_historical_r1i1p1-growing_season_lngth,BNU-ESM_historical_r1i1p1-growing_season_lngth,CanESM2_historical_r1i1p1-growing_season_lngth,CCSM4_historical_r1i1p1-growing_season_lngth,CESM1-BGC_historical_r1i1p1-growing_season_lngth,CNRM-CM5_historical_r1i1p1-growing_season_lngth,CSIRO-Mk3-6-0_historical_r1i1p1-growing_season_lngth,GFDL-CM3_historical_r1i1p1-growing_season_lngth,GFDL-ESM2G_historical_r1i1p1-growing_season_lngth,GFDL-ESM2M_historical_r1i1p1-growing_season_lngth,inmcm4_historical_r1i1p1-growing_season_lngth,IPSL-CM5A-LR_historical_r1i1p1-growing_season_lngth,IPSL-CM5A-MR_historical_r1i1p1-growing_season_lngth,MIROC-ESM-CHEM_historical_r1i1p1-growing_season_lngth,MIROC-ESM_historical_r1i1p1-growing_season_lngth,MIROC5_historical_r1i1p1-growing_season_lngth,MPI-ESM-LR_historical_r1i1p1-growing_season_lngth,MPI-ESM-MR_historical_r1i1p1-growing_season_lngth,MRI-CGCM3_historical_r1i1p1-growing_season_lngth,NorESM1-M_historical_r1i1p1-growing_season_lngth
1950,360.41125,360.02066,356.13058,359.3131,347.20682,330.90665,334.56345,365.0,347.61414,365.0,364.6851,361.6035,343.45258,348.12845,347.73495,304.06723,363.3901,307.2301,354.20895,363.89075,359.0543
1951,365.0,331.96686,342.01016,356.4963,358.60638,360.22745,353.1654,345.98495,324.20062,323.97668,355.2812,342.04138,334.85547,325.16547,350.35468,345.00528,343.45413,326.46384,342.30963,359.75006,338.59692
1952,366.0,341.2064,328.29193,364.108,339.28632,353.26416,350.18234,296.11325,359.34784,364.69568,353.94727,359.56512,366.0,326.03122,355.0427,366.0,359.45822,364.89,342.16858,363.42563,317.70004
1953,338.27856,356.71542,348.886,346.76913,340.38943,328.47754,354.56003,364.97302,355.13446,336.31067,360.96655,364.14352,330.41733,335.45547,364.19073,362.63953,340.22202,356.1677,337.23953,340.08527,352.26
1954,346.24344,299.93683,339.7194,361.24048,359.21884,319.56503,345.76303,357.98755,363.70316,349.50998,363.64844,354.26202,352.44833,337.9591,341.19342,362.74237,342.66223,315.10764,356.4888,340.27344,353.1929
1955,362.86414,341.2985,323.7429,310.86227,314.2769,348.18924,364.71558,347.36542,364.6732,352.4033,333.37027,338.93384,359.09464,344.93842,331.5613,363.5717,310.16348,348.71964,306.71155,346.33844,349.6686
1956,328.3719,365.81863,318.22675,359.37057,342.68207,334.84024,312.86145,341.92328,329.14847,357.14355,362.0504,363.02887,358.39514,310.6918,328.82114,340.05844,349.75494,311.9888,327.9028,336.36182,337.28122
1957,327.2274,332.88892,364.63766,358.58688,341.9913,358.9865,359.97726,348.33817,340.16754,323.0719,341.41776,343.83572,363.57895,342.44128,338.98825,317.70795,336.46097,363.28824,361.77,357.86252,327.55844
1958,340.3494,316.28024,365.0,332.22577,347.28238,326.81525,351.1341,349.32053,350.4098,344.57135,339.0083,357.73178,325.82565,364.48077,361.26926,350.46344,359.4083,357.65356,365.0,320.07373,357.04718
1959,356.44537,349.16235,338.5494,342.60257,352.46036,333.07568,320.1912,343.6164,349.63165,359.2187,339.7468,343.19238,315.58112,363.07062,328.18927,322.0911,318.87122,285.97534,335.39478,346.7542,332.4044
