year,ACCESS1-0_historical_r1i1p1-heating_degree_day,bcc-csm1-1_historical_r1i1p1-heating_degree_day,BNU-ESM_historical_r1i1p1-heating_degree_day,CanESM2_historical_r1i1p1-heating_degree_day,CCSM4_historical_r1i1p1-heating_degree_day,CESM1-BGC_historical_r1i1p1-heating_degree_day,CNRM-CM5_historical_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-heating_degree_day,GFDL-CM3_historical_r1i1p1-heating_degree_day,GFDL-ESM2G_historical_r1i1p1-heating_degree_day,GFDL-ESM2M_historical_r1i1p1-heating_degree_day,inmcm4_historical_r1i1p1-heating_degree_day,IPSL-CM5A-LR_historical_r1i1p1-heating_degree_day,IPSL-CM5A-MR_historical_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-heating_degree_day,MIROC-ESM_historical_r1i1p1-heating_degree_day,MIROC5_historical_r1i1p1-heating_degree_day,MPI-ESM-LR_historical_r1i1p1-heating_degree_day,MPI-ESM-MR_historical_r1i1p1-heating_degree_day,MRI-CGCM3_historical_r1i1p1-heating_degree_day,NorESM1-M_historical_r1i1p1-heating_degree_day
1950,2716.7034,2324.2278,2560.6843,2525.0588,2662.609,2617.2793,2804.6619,2328.318,2647.6814,2826.4844,2751.4526,2655.3271,2576.0818,2374.4563,2626.4126,2784.6396,2402.1616,3022.1975,2583.1582,2595.1462,2274.4778
1951,2449.2205,2632.9036,2262.5583,2411.0046,2622.0776,2498.422,2648.7603,2440.8748,2742.053,3046.331,2638.6016,2861.117,2837.5269,2544.8538,2441.731,2514.0437,2379.6204,2687.1536,2954.7668,2594.5034,2453.6594
1952,2582.2812,2722.023,2843.3208,2692.9893,2829.7263,2349.832,2381.5637,3094.4578,2605.9797,2575.479,2645.1975,2810.2698,2587.4797,2681.4395,2247.343,2266.8354,2598.3438,2527.0776,2708.2927,2446.73,2933.2476
1953,3011.7488,2448.4583,2696.134,2541.6511,2947.8345,2669.1477,2477.168,2278.3198,2664.5793,2824.4224,2722.8252,2482.069,2624.0063,2610.6238,2378.266,2445.491,2633.722,2682.5964,2877.099,2751.3662,2918.518
1954,2744.6094,2660.1792,2486.3687,2350.3938,2855.1985,3042.894,2848.659,2569.307,2680.3596,2829.898,2471.4102,2674.5417,2682.0369,2567.78,2877.496,2444.477,2746.0757,2846.816,2464.461,2427.417,2771.5623
1955,2552.8992,2674.5212,3114.4724,2507.6018,2857.2942,2898.6313,2714.5356,2809.1226,2380.2922,2584.1487,2523.0505,2821.4565,2639.9568,2782.4155,2721.8638,2484.2537,3022.2175,2794.0227,2747.6255,2591.454,2813.7654
1956,2868.5347,2486.1843,2552.127,2620.8171,2521.3079,2841.715,3005.57,2376.9424,2744.8132,2644.4836,2373.4539,2363.55,2687.9456,2686.8228,2638.3152,2705.439,2632.894,3056.7659,2778.628,2756.878,2884.8777
1957,2712.5144,2571.8862,2667.102,2517.1365,2630.385,2438.5806,2887.63,2540.787,3028.1167,2586.2283,2810.932,2857.064,2276.9177,2461.639,2445.2703,2624.3408,2688.484,2300.6204,2858.0283,2420.8555,2633.473
1958,2535.3628,3133.4224,2459.2788,2827.0527,2775.3994,2826.245,2407.4634,2881.7478,2338.8667,2607.0142,2796.2375,2665.6392,2538.208,2313.1611,2406.6106,2473.151,2640.6829,2697.0198,2380.5972,2626.0176,2233.579
1959,2508.692,2883.2654,2782.3977,2550.8552,2653.661,2689.381,2652.455,2496.6194,2574.4402,2773.4917,2411.727,2924.4558,3169.0808,2793.782,2909.4065,2732.201,2497.1384,3113.1338,2529.205,2395.4082,2638.1382
1960,2859.816,2305.7407,2885.2166,2300.084,2330.4436,2544.0242,2567.339,2410.328,2783.8071,2642.9048,2845.5076,2438.8894,2420.883,2766.9688,2484.8464,2355.0828,2323.691,2347.6233,2313.4226,2954.0369,2504.0571
1961,2571.305,1971.5104,2815.238,2550.2676,2565.4717,2962.4497,2522.8323,2456.365,2361.9138,2714.8357,3156.7446,2565.7153,3174.1746,2800.7007,2918.173,2703.4797,2672.918,2703.4224,2499.4404,2752.1873,2647.3987
1962,2707.6887,2907.1257,2847.2466,2938.1738,2405.529,2904.45,2381.4216,2432.8706,2503.8198,2624.7307,2600.1719,2752.5337,2819.008,2840.7212,2566.6348,2793.5164,2696.383,2526.9631,2704.7207,2508.666,2300.582
1963,2950.1414,2696.1243,2874.844,2714.1924,2643.2332,2826.9424,2837.202,2417.1248,2420.1233,2528.0164,2585.4902,2654.2292,3044.332,2650.796,2763.9897,2744.747,2646.3572,3212.3662,2656.5117,2803.3875,2395.179
1964,2971.219,2994.5537,2885.0742,2584.4805,2925.088,2867.6267,2642.897,3089.468,2774.2112,2893.6746,2248.8362,2695.163,3460.0015,2449.3604,2564.8079,2343.4905,2802.0432,2699.5332,2428.693,2829.291,2226.9734
1965,2873.8384,2540.619,3093.7852,2684.1646,3082.7222,2707.6973,2524.9587,3047.64,2883.5886,2742.7842,2603.7378,2579.2683,2899.1235,2668.6313,2511.218,2955.52,2706.7869,2630.2825,2683.834,2715.761,3198.885
1966,2648.8433,2412.2368,2696.3281,2967.4978,2744.6118,2441.6084,2232.2502,2625.019,3081.71,2497.7117,3094.5303,2527.2349,2509.5547,2520.8083,2517.642,2553.1619,2742.6106,2772.1826,2719.275,2513.8433,2877.3533
1967,2673.1008,2427.574,2837.028,2946.8647,2760.9412,2302.937,2884.3555,2614.0327,2445.3735,2681.0825,2510.9429,2258.7393,2829.38,2769.3967,2521.8267,2722.9507,2375.0225,2829.7866,2687.05,2545.7996,2698.2014
