year,median,min,max,p10,p90
1950,0.143,0.000,1.238,0.032,0.710
1951,0.429,0.000,3.334,0.016,1.354
1952,0.449,0.000,1.909,0.016,1.474
1953,0.294,0.000,1.421,0.001,0.978
1954,0.353,0.000,1.719,0.087,1.423
1955,0.245,0.000,2.132,0.000,1.842
1956,0.219,0.000,1.812,0.000,0.760
1957,0.293,0.000,1.504,0.098,1.044
1958,0.343,0.000,1.914,0.055,1.531
1959,0.242,0.016,0.943,0.058,0.868
1960,0.407,0.032,1.927,0.084,1.446
1961,0.143,0.000,1.782,0.039,1.431
1962,0.282,0.000,2.510,0.000,1.276
1963,0.250,0.000,2.354,0.016,1.119
1964,0.234,0.000,4.034,0.002,2.119
1965,0.772,0.084,2.255,0.317,1.402
1966,0.571,0.016,2.382,0.098,1.386
1967,0.259,0.000,2.464,0.016,1.163
1968,0.518,0.000,2.628,0.087,1.712
1969,0.446,0.000,1.882,0.071,1.323
1970,0.514,0.016,1.897,0.055,1.755
1971,0.242,0.000,1.943,0.039,1.038
1972,0.443,0.029,2.230,0.039,1.612
1973,0.464,0.000,2.485,0.061,2.073
1974,0.374,0.000,2.158,0.017,1.075
1975,0.635,0.016,2.281,0.055,1.247
1976,0.655,0.000,1.941,0.055,1.727
1977,0.332,0.000,2.402,0.016,1.054
1978,0.406,0.000,1.813,0.000,1.368
1979,0.229,0.000,1.590,0.045,1.262
1980,0.412,0.000,1.775,0.016,1.225
1981,0.210,0.000,2.666,0.000,1.024
1982,0.511,0.041,1.935,0.084,1.657
1983,0.294,0.000,2.344,0.016,1.999
1984,0.378,0.000,2.051,0.016,1.394
1985,0.653,0.000,2.370,0.055,2.045
1986,0.631,0.000,1.701,0.016,1.273
1987,0.857,0.016,1.921,0.016,1.493
1988,0.370,0.000,3.279,0.071,1.591
1989,0.451,0.000,1.869,0.045,1.117
1990,0.503,0.094,1.674,0.181,1.293
1991,0.584,0.000,2.403,0.029,1.098
1992,0.411,0.000,2.651,0.016,1.223
1993,0.547,0.000,1.614,0.016,1.184
1994,0.247,0.000,2.099,0.000,1.263
1995,0.505,0.000,2.174,0.016,1.470
1996,0.647,0.000,2.485,0.108,1.088
1997,0.417,0.000,2.159,0.055,1.239
1998,0.753,0.016,1.811,0.179,1.119
1999,0.515,0.000,1.714,0.055,1.158
2000,0.284,0.000,1.799,0.032,0.878
2001,0.532,0.039,2.295,0.110,2.031
2002,0.612,0.000,3.582,0.055,2.809
2003,0.346,0.000,2.517,0.014,1.695
2004,0.851,0.145,2.375,0.183,1.921
