year,median,min,max,p10,p90
1950,356.131,304.067,365.000,330.907,364.685
1951,343.454,323.977,365.000,325.165,359.750
1952,355.043,296.113,366.000,326.031,366.000
1953,348.886,328.478,364.973,335.455,364.144
1954,349.510,299.937,363.703,319.565,362.742
1955,346.338,306.712,364.716,310.862,363.572
1956,337.281,310.692,365.819,312.861,362.050
1957,342.441,317.708,364.638,327.227,363.288
1958,350.410,316.280,365.000,325.826,364.481
1959,339.747,285.975,363.071,318.871,356.445
1960,355.975,310.776,366.000,336.832,365.517
1961,346.346,303.448,365.000,322.760,364.397
1962,349.562,281.746,364.528,312.477,362.422
1963,344.413,304.629,361.988,324.400,355.908
1964,350.005,302.239,364.830,311.798,360.875
1965,342.900,310.135,365.000,327.740,364.318
1966,353.493,299.884,365.000,321.012,364.415
1967,345.389,318.162,365.000,321.069,362.550
1968,351.999,318.421,365.065,329.901,362.435
1969,346.803,313.256,364.109,322.948,363.260
1970,348.006,300.713,364.838,321.166,364.259
1971,341.638,304.471,361.377,319.513,359.512
1972,355.527,333.442,365.986,341.664,365.450
1973,348.732,329.037,364.779,334.242,362.230
1974,342.915,303.745,364.003,318.221,354.336
1975,349.856,314.798,365.000,323.883,364.433
1976,350.870,292.472,365.446,324.771,365.039
1977,337.601,292.033,364.713,311.493,359.150
1978,347.805,323.804,365.000,338.498,364.352
1979,345.909,310.456,365.000,330.213,364.796
1980,346.748,315.620,366.000,318.000,365.687
1981,347.014,296.410,363.549,331.069,362.902
1982,344.587,306.724,364.973,326.907,355.608
1983,347.672,318.412,365.000,332.202,364.512
1984,348.998,318.200,366.000,327.273,362.133
1985,354.389,313.871,364.163,335.185,362.246
1986,352.381,319.510,365.000,332.909,364.973
1987,357.569,304.731,365.000,323.443,364.568
1988,339.769,295.362,365.871,327.096,358.274
1989,347.288,312.075,363.986,325.578,360.317
1990,348.405,303.130,365.000,331.961,364.717
1991,352.195,308.687,365.000,334.994,362.943
1992,344.604,295.591,365.986,320.359,365.235
1993,353.966,313.784,365.000,323.404,364.285
1994,352.609,315.634,365.000,340.119,362.007
1995,350.343,300.258,365.000,329.519,363.653
1996,349.153,309.733,366.000,329.943,365.946
1997,349.894,317.631,364.083,335.755,362.514
1998,350.991,325.201,365.000,330.844,364.576
1999,359.098,334.713,364.865,343.901,364.543
2000,356.679,317.913,366.000,338.106,365.789
2001,344.904,322.515,365.000,328.636,364.276
2002,353.436,327.414,365.000,339.563,363.253
2003,354.955,317.898,365.000,338.631,364.852
2004,349.601,269.976,365.595,325.314,363.642
