year,BCCA_0-125deg_tasmax_day_ACCESS1-0_historical_r1i1p1,BCCA_0-125deg_tasmax_day_BNU-ESM_historical_r1i1p1,BCCA_0-125deg_tasmax_day_CCSM4_historical_r1i1p1,BCCA_0-125deg_tasmax_day_CESM1-BGC_historical_r1i1p1,BCCA_0-125deg_tasmax_day_CNRM-CM5_historical_r1i1p1,BCCA_0-125deg_tasmax_day_CSIRO-Mk3-6-0_historical_r1i1p1,BCCA_0-125deg_tasmax_day_CanESM2_historical_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-LR_historical_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-MR_historical_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM-CHEM_historical_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM_historical_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC5_historical_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-LR_historical_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-MR_historical_r1i1p1,BCCA_0-125deg_tasmax_day_MRI-CGCM3_historical_r1i1p1,BCCA_0-125deg_tasmax_day_NorESM1-M_historical_r1i1p1,BCCA_0-125deg_tasmax_day_bcc-csm1-1_historical_r1i1p1,BCCA_0-125deg_tasmax_day_inmcm4_historical_r1i1p1
1950,18.673111,18.718416,18.558863,18.336262,18.149206,19.313292,18.68108,18.387295,19.207703,18.67813,17.883646,18.925898,17.05086,18.603456,18.685642,19.56385,19.212418,18.184776
1951,18.801771,19.886599,18.77766,18.690737,18.353676,19.467833,19.351774,18.02794,18.815674,19.115622,19.279385,19.209614,18.322193,17.481447,18.701511,18.515713,18.448303,17.491457
1952,18.715925,17.769102,17.89205,19.617367,19.220947,16.972227,18.528622,18.165258,18.099932,19.738821,19.6245,18.273302,18.923532,18.356115,19.29534,17.52287,18.309101,17.939493
1953,17.10789,18.137358,17.259813,18.001276,19.027473,19.698812,18.781046,18.379032,18.838139,19.244211,19.393377,18.473404,18.293789,17.777306,18.300474,18.32084,18.957872,19.357706
1954,17.932886,18.906055,17.760584,17.458693,17.540876,18.64435,19.48787,18.13949,18.382364,17.79357,18.88727,18.037687,17.436089,18.856852,19.025444,17.920082,18.316462,17.885029
1955,18.504454,16.921839,18.062506,17.806393,17.861233,17.782974,18.708313,18.213448,18.327368,18.271767,19.080475,17.022118,17.905975,18.390776,18.656996,17.683496,18.380085,18.375162
1956,17.861547,19.086151,18.765041,18.343664,17.162027,19.213251,18.872103,18.222717,18.485188,18.532005,18.037956,18.24333,17.020552,17.638796,18.492743,17.987753,18.823477,19.003105
1957,18.286905,17.974737,18.644495,19.086445,18.173536,18.387163,19.028193,19.580946,18.979166,19.17916,18.15636,18.280151,19.783539,17.514542,19.078278,18.570286,17.912092,18.23532
1958,18.644442,18.852158,18.247778,17.750353,19.507187,17.085882,17.995338,18.748749,18.90182,19.12101,18.849932,18.356014,18.081898,19.082253,18.5533,19.707138,16.734709,18.165499
1959,18.859472,17.815624,18.16525,18.496662,18.518263,18.321854,18.947586,16.913164,17.886763,17.471247,18.099667,18.525291,17.170286,18.50663,18.69225,18.307432,17.892563,17.714918
