year,days_prcp_abv
1950,1.6019125
1951,0.27987808
1952,0.84037864
1953,0.6485866
1954,1.2362697
1955,0.29322782
1956,1.3441103
1957,2.8434055
1958,1.1916355
1959,1.5973642
1960,0.7387145
1961,2.325595
1962,0.38300765
1963,3.366072
1964,5.0588527
1965,1.4617251
1966,1.563876
1967,1.545455
1968,1.531083
1969,0.16707797
1970,0.61288387
1971,0.11519236
1972,1.2909646
1973,2.6418092
1974,1.2560518
1975,2.3303065
1976,2.021255
1977,3.5695505
1978,0.61182916
1979,3.0467756
1980,0.91633207
1981,0.5416663
1982,1.5231003
1983,2.3066313
1984,1.1458945
1985,0.7928408
1986,0.63883793
1987,0.9161492
1988,0.045123775
1989,0.96194947
1990,3.537505
1991,1.6461018
1992,2.085929
1993,0.71095747
1994,2.7843442
1995,4.4291935
1996,1.7654878
1997,1.5469882
1998,2.2821076
1999,0.5853749
2000,0.3774233
2001,0.080272265
2002,0.2507396
2003,2.5952072
2004,4.046861
2005,1.3390647
2006,0.5009408
