year,longest_run_prcp_blw
1950,24.214642
1951,24.31329
1952,32.950817
1953,24.057823
1954,21.11885
1955,22.925571
1956,23.338165
1957,17.207193
1958,23.325968
1959,21.126064
1960,19.399273
1961,16.663057
1962,29.254597
1963,32.50862
1964,21.040995
1965,34.75927
1966,20.076796
1967,21.312408
1968,33.813652
1969,17.780294
1970,25.396599
1971,18.210754
1972,17.486755
1973,23.49001
1974,21.171236
1975,22.487638
1976,28.132996
1977,25.718515
1978,40.0248
1979,20.984535
1980,20.444445
1981,26.837322
1982,26.094563
1983,21.644909
1984,31.955736
1985,25.593523
1986,24.29104
1987,25.557049
1988,27.986238
1989,20.436413
1990,20.176771
1991,27.467768
1992,22.27971
1993,24.752758
1994,16.311935
1995,16.225801
1996,21.6669
1997,21.176664
1998,27.587732
1999,27.780956
2000,38.919155
2001,35.31922
2002,21.226324
2003,15.06616
2004,14.817948
2005,34.2812
2006,20.460302
