year,ACCESS1-0_rcp45_r1i1p1-cooling_degree_day,ACCESS1-0_rcp85_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp26_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp45_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp60_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp85_r1i1p1-cooling_degree_day,BNU-ESM_rcp45_r1i1p1-cooling_degree_day,BNU-ESM_rcp85_r1i1p1-cooling_degree_day,CanESM2_rcp26_r1i1p1-cooling_degree_day,CanESM2_rcp45_r1i1p1-cooling_degree_day,CanESM2_rcp85_r1i1p1-cooling_degree_day,CCSM4_rcp26_r1i1p1-cooling_degree_day,CCSM4_rcp45_r1i1p1-cooling_degree_day,CCSM4_rcp60_r1i1p1-cooling_degree_day,CCSM4_rcp85_r1i1p1-cooling_degree_day,CESM1-BGC_rcp45_r1i1p1-cooling_degree_day,CESM1-BGC_rcp85_r1i1p1-cooling_degree_day,CNRM-CM5_rcp45_r1i1p1-cooling_degree_day,CNRM-CM5_rcp85_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_rcp26_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_rcp45_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_rcp85_r1i1p1-cooling_degree_day,GFDL-CM3_rcp26_r1i1p1-cooling_degree_day,GFDL-CM3_rcp60_r1i1p1-cooling_degree_day,GFDL-CM3_rcp85_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp26_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp45_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp60_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp85_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp26_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp45_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp60_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp85_r1i1p1-cooling_degree_day,inmcm4_rcp45_r1i1p1-cooling_degree_day,inmcm4_rcp85_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp26_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp45_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp60_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp85_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp26_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp45_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp60_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp85_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp26_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp45_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp60_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp85_r1i1p1-cooling_degree_day,MIROC-ESM_rcp26_r1i1p1-cooling_degree_day,MIROC-ESM_rcp45_r1i1p1-cooling_degree_day,MIROC-ESM_rcp60_r1i1p1-cooling_degree_day,MIROC-ESM_rcp85_r1i1p1-cooling_degree_day,MIROC5_rcp26_r1i1p1-cooling_degree_day,MIROC5_rcp45_r1i1p1-cooling_degree_day,MIROC5_rcp60_r1i1p1-cooling_degree_day,MIROC5_rcp85_r1i1p1-cooling_degree_day,MPI-ESM-LR_rcp26_r1i1p1-cooling_degree_day,MPI-ESM-LR_rcp45_r1i1p1-cooling_degree_day,MPI-ESM-LR_rcp85_r1i1p1-cooling_degree_day,MPI-ESM-MR_rcp26_r1i1p1-cooling_degree_day,MPI-ESM-MR_rcp45_r1i1p1-cooling_degree_day,MPI-ESM-MR_rcp85_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp26_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp45_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp60_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp85_r1i1p1-cooling_degree_day,NorESM1-M_rcp26_r1i1p1-cooling_degree_day,NorESM1-M_rcp45_r1i1p1-cooling_degree_day,NorESM1-M_rcp60_r1i1p1-cooling_degree_day,NorESM1-M_rcp85_r1i1p1-cooling_degree_day
2006,417.81662,426.67828,382.28333,295.41385,389.75186,464.62943,417.20563,394.34155,466.0249,365.48004,382.444,356.07712,507.54208,404.47183,378.39413,498.4363,348.5431,316.86218,361.3855,388.1899,367.43994,506.7767,395.31555,440.16946,430.8481,459.948,611.4621,450.03085,395.78088,404.24622,342.90433,328.94788,466.5629,462.77692,348.00555,369.4901,432.18408,470.48688,456.3214,381.9871,355.7062,414.05347,327.2611,479.726,384.2102,362.66183,394.04532,324.67123,411.06042,366.09143,347.81595,370.7129,394.4604,377.10294,377.8477,403.43515,504.42514,428.04068,375.7706,339.69742,466.50162,349.323,387.56015,309.2973,361.4196,440.75174,481.60095,405.84213,384.04248
2007,467.04178,414.70453,320.97534,339.5715,606.8451,470.73666,435.79858,508.61255,434.02615,432.04837,409.98676,396.46146,413.3677,339.3473,421.9757,506.3525,445.4077,325.88507,304.17706,443.55603,491.72556,393.76532,411.56616,361.7021,432.4522,543.6411,479.56458,432.18753,539.61334,442.46698,348.11554,334.62177,292.18155,520.8104,524.7143,383.1078,534.00116,324.26746,415.29358,422.4442,315.5288,369.33975,431.46588,382.7686,338.87006,314.792,387.15985,364.3234,378.228,407.1702,387.3415,343.53894,417.3204,423.34125,338.99097,342.8647,448.45673,456.31778,377.53192,415.00693,553.6572,326.94342,402.5008,321.83725,365.8732,392.55417,417.2293,469.16415,399.4747
2008,594.6863,330.16425,363.77963,347.56763,392.1188,504.73264,447.86102,470.37604,389.64093,438.36703,413.2241,411.30563,413.43704,410.71115,442.30188,410.11584,421.5971,350.89526,427.18353,448.81653,275.34024,473.70834,507.43118,359.39334,417.50797,550.26715,502.76675,431.05716,452.39703,407.39996,492.12515,440.95914,445.86612,431.2539,382.83377,347.67987,349.8432,385.04303,398.6165,402.8564,420.8897,469.17776,401.1228,389.1972,450.13058,323.16446,369.28787,378.9007,433.04132,336.65985,387.01428,349.54102,372.87045,336.9402,333.6417,431.41043,479.13834,554.97235,391.2425,414.40668,383.1615,329.9353,374.98016,349.73788,410.25735,373.65903,366.9667,413.8872,442.25092
2009,423.99362,352.47845,394.2123,407.7177,430.57736,442.50198,496.01117,439.10757,467.6099,460.12573,490.8713,416.8017,370.9825,424.58774,412.59778,371.469,344.51178,286.27335,300.66977,341.67175,339.53897,442.57767,396.0833,424.7724,395.6619,466.3885,342.46317,585.21173,412.18256,406.9704,386.09808,357.5221,367.7529,355.00748,334.63297,464.67905,337.89597,419.61963,422.1642,475.12167,419.34064,404.19794,430.26776,415.4616,434.3383,416.10904,373.63647,337.76416,440.91412,422.99136,449.77664,339.55988,341.3521,428.35544,364.1504,434.86847,349.0187,348.94894,354.7206,468.73074,486.11282,461.77203,367.38058,378.48706,367.09512,403.15976,350.24905,369.48233,365.0049
2010,328.2477,316.19455,343.51065,435.61832,337.74323,381.32263,472.713,391.40112,500.25876,404.29858,391.65744,405.7817,407.3877,421.12433,438.8593,434.02618,405.80508,361.38675,300.738,376.56305,442.84055,554.0969,443.517,390.34897,580.13715,418.61636,476.52283,428.72412,490.9021,372.9125,438.3985,471.88336,313.67093,418.83905,472.39978,556.2111,469.2169,466.77402,488.1186,409.5096,448.11038,476.69614,424.8607,356.477,352.58914,419.81384,411.2349,341.72522,456.09592,365.84808,394.3534,353.95834,430.2327,385.0715,402.7832,418.09897,401.84418,541.9477,409.98715,474.80936,485.19803,359.95374,384.24155,403.50906,368.1394,388.09195,457.51932,407.71356,351.8372
2011,447.6012,552.6368,349.36145,485.31607,464.21533,425.76157,445.86316,502.96222,459.61765,429.80417,496.73676,461.63422,529.42834,490.75635,542.85443,332.65533,465.16602,324.36514,374.4384,454.50452,418.8762,501.39792,506.1645,457.6584,481.4402,495.91132,626.9338,486.36234,491.5291,391.68213,359.94955,325.88605,372.29492,339.74945,390.85892,452.96854,481.39047,530.1031,435.82816,388.7966,440.4522,550.1774,460.9908,443.33594,428.65707,331.77213,384.12418,443.40674,389.01443,498.2821,488.3833,348.82202,434.6354,363.04227,355.27362,472.88232,413.82733,457.21588,468.9401,537.1559,410.30447,352.25772,456.04477,370.992,291.717,352.1045,357.2109,386.75964,475.2791
2012,432.94034,389.19357,392.2506,388.25467,543.1161,537.83594,487.66824,646.2407,458.8302,484.72192,518.88574,498.21597,406.91293,433.2323,463.30634,387.7428,396.11374,487.28384,405.09067,459.65192,307.87268,546.99396,472.05487,418.20612,545.5742,423.47678,549.79706,475.34167,413.27554,396.6516,394.24738,376.9305,485.4309,395.43463,423.94162,385.10123,458.53378,391.3297,468.45547,399.85828,390.1091,405.13687,459.74084,436.066,410.53455,362.53928,351.40945,417.34628,433.83047,484.58725,372.52856,401.19305,383.47192,447.86014,329.33035,431.93423,516.60846,398.36984,498.9388,396.2042,462.4845,277.06033,337.63962,427.95834,395.18103,386.75467,465.2049,416.04623,457.9106
2013,486.21777,524.1383,524.8551,446.41342,584.06964,523.6089,526.9174,446.0748,513.9015,479.73373,525.9577,587.5057,498.75702,398.05222,504.26483,416.75494,345.60812,297.7419,345.70746,415.3935,530.07806,417.38992,549.15137,586.7351,504.3512,386.23297,393.6665,467.49408,360.14908,516.75446,362.35748,429.66467,417.6657,371.77368,397.74127,397.9686,545.22565,452.1322,419.34256,463.1959,394.93024,402.70703,613.6144,478.49484,460.02332,378.20422,476.80133,401.94125,338.81262,390.48334,507.26816,377.6539,431.57236,404.2335,449.827,484.9207,544.5237,365.0198,380.7386,489.00607,444.5789,357.01578,367.41736,358.6136,331.5613,430.75833,437.37952,456.47736,443.10007
2014,474.19214,463.46652,476.63074,457.25012,415.55063,481.07727,526.15155,455.30655,510.5236,564.73584,439.0259,380.05154,380.47635,510.4337,409.58685,418.31586,422.4579,388.47873,359.90393,496.63315,492.67484,507.88522,426.12946,469.0115,540.80566,503.9043,477.8316,480.2515,616.0285,534.5553,402.82306,388.93658,410.33713,416.9581,381.61557,449.68222,449.73306,504.6187,405.0347,441.59256,487.1108,562.4233,482.56946,496.84274,446.74188,343.62817,456.69415,396.46964,419.3783,372.55194,494.2415,360.20947,427.74118,443.25803,448.00418,491.2337,431.28143,459.5358,400.77908,481.24966,411.46976,424.30276,430.93243,306.27875,292.76508,540.50616,560.4572,409.7466,400.2987
2015,437.39246,459.26575,456.5863,412.5116,606.64197,457.74365,550.86176,515.55896,492.0787,471.50082,545.73126,404.96786,467.6334,521.3351,369.0608,381.0473,428.20276,414.5337,366.69095,463.77667,406.41882,378.61264,438.0639,492.82666,619.49774,492.33118,539.49036,406.98654,320.0832,368.3753,340.05728,511.17615,308.44894,381.42422,294.18427,505.3771,526.88153,426.6726,414.72714,489.7321,424.7272,459.62027,390.98022,437.1179,517.9411,448.84375,431.00198,437.829,368.39392,415.64102,400.63187,476.74222,453.1654,417.2715,451.4756,429.2523,412.01083,545.61597,510.69977,480.29556,399.60284,385.83493,396.1275,387.5528,445.52414,435.89334,351.18973,470.6453,399.51962
2016,543.5935,370.6584,444.38474,396.57468,398.0433,515.7824,532.2136,469.95895,451.05115,442.04327,484.8453,517.3322,412.6225,478.48807,521.6832,453.32574,500.44333,417.63626,333.05087,388.12344,387.366,515.848,405.2752,431.75186,509.66632,465.8356,594.1203,450.1399,447.31992,500.90863,379.29913,422.97354,506.5467,418.06122,255.64284,433.6635,396.5242,556.3451,530.4175,523.48926,613.3184,505.53278,419.17316,459.5118,454.0762,401.42343,457.40317,292.37207,428.48746,378.71957,381.75885,419.20145,462.7582,425.39532,436.66446,588.79144,542.4152,542.3137,464.07928,448.75134,420.32034,421.1069,328.59628,303.52527,317.4667,301.61768,378.46936,565.9981,389.2332
2017,423.01352,444.21164,507.15292,415.20886,421.4981,517.908,577.5407,540.7161,512.9203,516.2234,538.00903,567.6292,380.0127,421.62683,471.02243,546.4073,490.46576,520.624,384.35297,419.69458,446.47687,478.03677,499.10428,497.72305,649.13293,568.10504,439.54678,459.50186,478.7099,605.7753,486.98956,353.23373,396.08777,383.81696,310.82214,523.63983,389.9722,474.42337,492.81085,387.14276,399.72617,473.91284,389.2895,480.3917,479.05762,385.3446,491.8494,391.58566,409.308,438.17603,483.62363,451.026,406.95712,396.49942,385.81888,467.69708,624.49603,548.9889,437.40332,386.26883,353.78662,356.4031,353.16208,369.9915,395.1466,465.00604,336.74573,411.78687,462.76636
