year,ACCESS1-0_rcp45_r1i1p1-days_prcp_abv,ACCESS1-0_rcp85_r1i1p1-days_prcp_abv,bcc-csm1-1_rcp26_r1i1p1-days_prcp_abv,bcc-csm1-1_rcp45_r1i1p1-days_prcp_abv,bcc-csm1-1_rcp60_r1i1p1-days_prcp_abv,bcc-csm1-1_rcp85_r1i1p1-days_prcp_abv,BNU-ESM_rcp45_r1i1p1-days_prcp_abv,BNU-ESM_rcp85_r1i1p1-days_prcp_abv,CanESM2_rcp26_r1i1p1-days_prcp_abv,CanESM2_rcp45_r1i1p1-days_prcp_abv,CanESM2_rcp85_r1i1p1-days_prcp_abv,CCSM4_rcp26_r1i1p1-days_prcp_abv,CCSM4_rcp45_r1i1p1-days_prcp_abv,CCSM4_rcp60_r1i1p1-days_prcp_abv,CCSM4_rcp85_r1i1p1-days_prcp_abv,CESM1-BGC_rcp45_r1i1p1-days_prcp_abv,CESM1-BGC_rcp85_r1i1p1-days_prcp_abv,CNRM-CM5_rcp45_r1i1p1-days_prcp_abv,CNRM-CM5_rcp85_r1i1p1-days_prcp_abv,CSIRO-Mk3-6-0_rcp26_r1i1p1-days_prcp_abv,CSIRO-Mk3-6-0_rcp45_r1i1p1-days_prcp_abv,CSIRO-Mk3-6-0_rcp85_r1i1p1-days_prcp_abv,GFDL-CM3_rcp26_r1i1p1-days_prcp_abv,GFDL-CM3_rcp60_r1i1p1-days_prcp_abv,GFDL-CM3_rcp85_r1i1p1-days_prcp_abv,GFDL-ESM2G_rcp26_r1i1p1-days_prcp_abv,GFDL-ESM2G_rcp45_r1i1p1-days_prcp_abv,GFDL-ESM2G_rcp60_r1i1p1-days_prcp_abv,GFDL-ESM2G_rcp85_r1i1p1-days_prcp_abv,GFDL-ESM2M_rcp26_r1i1p1-days_prcp_abv,GFDL-ESM2M_rcp45_r1i1p1-days_prcp_abv,GFDL-ESM2M_rcp60_r1i1p1-days_prcp_abv,GFDL-ESM2M_rcp85_r1i1p1-days_prcp_abv,inmcm4_rcp45_r1i1p1-days_prcp_abv,inmcm4_rcp85_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_rcp26_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_rcp45_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_rcp60_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_rcp85_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_rcp26_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_rcp45_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_rcp60_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_rcp85_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_rcp26_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_rcp45_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_rcp60_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_rcp85_r1i1p1-days_prcp_abv,MIROC-ESM_rcp26_r1i1p1-days_prcp_abv,MIROC-ESM_rcp45_r1i1p1-days_prcp_abv,MIROC-ESM_rcp60_r1i1p1-days_prcp_abv,MIROC-ESM_rcp85_r1i1p1-days_prcp_abv,MIROC5_rcp26_r1i1p1-days_prcp_abv,MIROC5_rcp45_r1i1p1-days_prcp_abv,MIROC5_rcp60_r1i1p1-days_prcp_abv,MIROC5_rcp85_r1i1p1-days_prcp_abv,MPI-ESM-LR_rcp26_r1i1p1-days_prcp_abv,MPI-ESM-LR_rcp45_r1i1p1-days_prcp_abv,MPI-ESM-LR_rcp85_r1i1p1-days_prcp_abv,MPI-ESM-MR_rcp26_r1i1p1-days_prcp_abv,MPI-ESM-MR_rcp45_r1i1p1-days_prcp_abv,MPI-ESM-MR_rcp85_r1i1p1-days_prcp_abv,MRI-CGCM3_rcp26_r1i1p1-days_prcp_abv,MRI-CGCM3_rcp45_r1i1p1-days_prcp_abv,MRI-CGCM3_rcp60_r1i1p1-days_prcp_abv,MRI-CGCM3_rcp85_r1i1p1-days_prcp_abv,NorESM1-M_rcp26_r1i1p1-days_prcp_abv,NorESM1-M_rcp45_r1i1p1-days_prcp_abv,NorESM1-M_rcp60_r1i1p1-days_prcp_abv,NorESM1-M_rcp85_r1i1p1-days_prcp_abv
2006,0.0,0.0,0.097868145,0.3233185,0.0,0.0,0.05520589,0.06854565,0.0,0.0,0.039256636,0.0,0.01580128,0.055057917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055057917,0.0,0.039256636,0.0,0.0,0.49659666,0.0,0.01580128,0.055057917,0.0,0.0,0.0,0.0708592,0.0,0.052744366,0.029289013,0.33836266,0.69496936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055057917,0.055057917,0.0,0.0,0.0,0.31326282,0.01580128,0.013487731,0.0,0.01580128,0.01580128,0.06854565,0.08098772,0.5943158,0.12360357,0.0,0.01580128,0.0,0.055057917,0.0,0.0,0.41257772
2007,0.055057917,0.17631625,0.055057917,0.01580128,0.19264333,0.039256636,0.08327257,0.0,1.5603987,0.09361202,0.0,0.0,0.0,1.080811,0.055057917,0.0,0.0,0.03160256,0.09408134,0.01580128,0.16797021,0.013487731,0.0,0.084541306,0.0,0.59304076,0.0,0.0,0.14293306,0.0,0.08438041,0.01580128,1.0049614,0.01580128,0.055057917,0.0,0.0,0.12366627,0.01580128,0.0,0.0,0.0,0.039256636,0.013487731,0.0,0.029289013,0.058640726,0.0,0.0,0.01580128,0.0866897,0.055057917,0.08429233,0.0,0.0,0.11011583,0.77301764,0.052744366,0.029322492,0.055057917,0.0,0.055057917,0.0,0.1592343,0.29162157,0.14798415,0.0,0.66161,0.055057917
2008,0.0708592,0.055057917,0.0,0.0,0.06857913,0.5287223,0.060954276,0.0,0.0,0.0,0.013487731,0.0,0.0,0.01580128,0.055057917,0.42169568,0.3349241,0.08012429,0.0,0.0,0.36016724,0.055087138,0.0,0.11358134,0.0,0.0,0.0,0.047403842,0.07088842,0.055057917,0.67851675,0.03160256,2.0549645,0.0,0.0,0.0,0.01580128,0.01580128,1.2241588,0.22188538,0.0,0.039256636,0.0,0.13449216,0.0,0.055057917,0.0,0.055057917,0.29485947,0.01580128,0.09431455,0.0,0.055057917,0.055057917,0.0,0.0,0.45734003,0.0,0.0,0.08098772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99043345
2009,0.0,0.0,0.0,0.30498758,0.3541487,0.0,0.2703976,0.21785721,0.0,0.0,0.055057917,0.039256636,0.10774138,0.0,1.3935993,0.23484392,0.0,0.0,0.0,0.055057917,0.0,0.047403842,0.0,0.17632051,0.039256636,0.0,0.01580128,0.0,0.01580128,0.93113166,0.0,0.0,0.0,0.055057917,0.8213772,0.039256636,0.0,0.52859807,0.0,0.0,0.0,0.0,0.20563874,0.0,0.14290383,0.18642034,0.01580128,0.0,0.0,0.01580128,0.0,0.0,0.0,0.055057917,0.09431455,0.08438041,0.0,0.10774138,0.055057917,0.0,0.0,0.16048574,0.0,0.0,0.0,0.055057917,0.0,0.20607014,0.2757399
2010,0.039256636,0.5477734,0.055057917,0.0,0.7047507,0.7486751,0.11011583,0.4362178,0.07196278,0.055057917,0.30428648,0.0708592,0.097868145,0.01580128,0.11011583,0.0,0.0,0.0,0.0,0.0,0.21030675,0.13943833,0.0,0.0,0.013487731,0.01580128,0.12360357,0.01580128,0.055057917,0.0,0.0,0.0,0.0,0.0,0.0,0.01580128,0.0,0.055057917,0.0,0.01580128,0.040867656,0.0,0.0,0.0,0.21299247,0.50323915,0.055057917,0.0,0.0,0.0,0.0,0.013487731,0.013487731,0.8694077,0.20555492,0.17453988,0.0,0.09873157,0.01580128,0.0,0.055057917,0.0,0.0,0.055057917,0.0,0.1839411,0.039256636,0.03160256,0.039256636
2011,0.16797021,0.055057917,0.0,0.0,0.01580128,0.052744366,0.08438041,0.055057917,0.01580128,0.19289713,0.06857913,0.11011583,0.0,0.01580128,0.039256636,0.0,0.09431455,0.013487731,0.20766269,0.0,0.0,0.055057917,0.039256636,0.0,0.01580128,0.0,0.045119513,0.0,0.0,1.293996,0.0,0.61011714,0.01580128,0.0,0.0,0.0,0.0,0.0,0.01580128,0.01580128,0.0,0.0,0.0,0.0,0.01580128,0.3132963,0.055057917,0.0,0.055057917,0.0,0.0,0.0,0.4521073,0.61687315,0.0,0.0,0.0,0.0,0.0,0.25067443,0.0,0.0,0.01580128,0.01580128,0.0,0.0,0.055057917,0.0,0.0
2012,0.0,0.52591914,0.06857913,0.11358134,0.01580128,0.06857913,0.0,0.17239353,0.0,0.14866994,0.0,0.01580128,0.0,0.3299822,0.0,0.0,0.0,0.35419318,0.0,0.08434693,0.09431455,0.03160256,0.0,0.039256636,0.055057917,0.0,0.0,0.0,0.0,0.0,0.0,0.15295954,0.42251986,0.0,0.0,0.0,0.0,0.07709146,0.19968148,0.0,0.0708592,0.039256636,0.0,0.055057917,0.53648776,0.0,0.08206686,0.08666048,0.11011583,0.03160256,0.055057917,0.0,0.0,0.21640709,0.055057917,0.055057917,0.0,0.07851327,0.01580128,0.10373102,0.0,0.0,0.01580128,0.0,0.0,0.14343302,0.10018169,0.055057917,0.0
2013,0.9462242,0.0,0.59834003,0.19974238,0.0,0.0,0.0,0.07088842,0.055057917,0.0,0.0,0.055057917,0.20222162,0.06784312,0.0,0.0,0.039256636,1.1117873,0.0,0.029322492,0.44454762,0.044015933,0.055057917,0.0,0.13943833,0.01580128,0.01580128,0.23893811,0.29817265,0.0,0.042810224,0.08437615,0.01580128,0.0,0.01580128,0.14699802,0.0,0.055057917,0.0,0.0,0.0,0.0,0.0,0.20629978,0.0,0.055057917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76111966,0.0,0.27129304,0.0,0.03160256,0.0,0.0,0.0,0.0,0.01580128,0.10542783,0.08012429,0.0,0.01580128,0.0,0.0
2014,0.0,0.052744366,0.0,0.0919401,0.23227647,0.039256636,0.0,0.13119674,0.0,0.0,0.0,0.0708592,0.0,0.01580128,0.38823828,0.577411,0.039256636,0.01580128,0.04895757,0.0,0.08438041,0.4824064,0.0,0.0,0.10542783,0.5213349,0.93006414,0.30748376,0.10944679,0.07435819,0.8976224,0.0,0.08429233,0.01580128,0.055057917,0.013487731,0.0,0.38916555,0.0,0.0,0.013487731,0.0,0.0,0.21715468,0.0,0.1528609,0.0919401,0.055057917,0.01580128,0.96678203,0.13943833,0.045152996,0.0,0.4437905,0.11011583,0.0,0.0,0.0,0.03160256,0.0,0.21029752,0.01580128,0.0,0.0,0.0,0.0,0.4038755,0.013487731,0.0
2015,0.01580128,0.0,0.0,0.44026372,0.23484392,0.07709146,0.0,0.0,0.0,0.0,0.0,0.71744686,0.0,0.055057917,0.048507422,0.2213562,0.01580128,0.0,0.29154208,0.0,0.0,0.0,0.01580128,0.0,0.0,0.0,0.0708592,1.0476831,0.055057917,0.03160256,0.0708592,0.4906949,0.16289368,0.0,0.09361202,0.0,0.7020572,0.32738158,0.039256636,0.0,0.01580128,0.17799243,0.0,0.2640045,0.0,0.0,0.0,0.0,0.029322492,0.0,0.0,0.6539876,0.22527808,0.0,0.013487731,1.8941561,0.0,0.41452983,0.055057917,0.15058509,0.0,0.0,0.04503569,0.029289013,0.0,0.0,0.85136366,0.17289911,1.8224995
2016,0.06854565,0.0,0.0,0.0,0.029289013,0.0,0.13937317,0.08327257,0.0,0.33828223,0.0,0.01580128,0.0,0.03160256,0.0,0.03160256,0.0,0.0,0.12949993,0.08438041,0.0,0.0,0.0708592,0.0,0.0,0.0,0.08434693,0.08666048,0.0,0.01580128,0.0,0.0,0.38501143,0.0,0.45511234,0.0,0.77897435,0.0,0.20222162,0.0,0.039256636,0.0,0.0,0.83608544,0.0,0.03160256,0.24474445,0.029289013,0.01580128,0.0,0.0,0.0,0.17869496,0.01580128,0.0,0.0,0.16517375,0.0,0.055057917,0.0,0.055057917,0.28552836,0.045152996,0.0,0.0,0.13712052,0.12941611,1.0003635,0.0
2017,0.013487731,0.0,0.0,0.5991388,0.0,0.54113567,0.12941611,0.10009361,0.0,0.0,0.01580128,0.0,0.0,0.0,0.06854565,0.0,0.01580128,0.0,0.019218411,0.7482332,0.0708592,0.025901103,0.0,0.029289013,0.0,0.0,0.33680627,0.01580128,0.0,0.0,0.0,0.016664708,0.0,0.055057917,0.0,0.47106075,0.0,0.13943833,0.98381156,0.01580128,0.0,0.2640045,0.039256636,0.26912516,0.7726193,0.08438041,0.04509029,0.36523274,0.055057917,0.48773468,0.0,0.113669425,0.0,0.51528615,0.0,0.0,0.013487731,0.0,0.3013416,0.01580128,0.70429367,0.4602943,0.10774138,0.0,0.0,0.28640285,0.0,0.42664576,0.0
2018,0.3291268,0.08438041,0.0,0.06857913,0.01580128,0.2213562,0.01580128,0.0,0.01580128,0.19796175,0.0,0.01580128,0.09431455,0.0,0.055057917,0.03160256,0.039256636,0.2013079,0.10774138,0.0,0.029289013,0.055057917,0.0,0.16872734,0.055057917,0.0,0.18460621,0.2675318,0.0,0.0,0.074412785,1.5424638,0.0,0.0,0.039256636,0.18980823,0.01580128,0.0,0.0,0.16048574,0.0,0.0,0.3255326,0.12209254,1.146998,0.092001006,0.039256636,0.55303955,0.039256636,0.16797021,0.055057917,0.19070202,0.0,0.0,0.123769246,0.01580128,0.01580128,0.039256636,0.0708592,0.039256636,0.07435819,0.0,0.0,0.0,0.06854565,0.0,0.0,0.21554366,0.01580128
2019,0.0,0.01580128,0.30906698,0.055057917,0.01580128,0.16867274,0.01580128,0.61822885,1.4986541,0.0,0.764762,0.01580128,0.0,0.10014821,0.20205593,0.0,0.0,0.029289013,0.0,0.29220313,0.0708592,0.0,0.0,0.0,0.0,0.055057917,0.0,0.01580128,0.0,0.01580128,0.98646915,0.08438041,0.029289013,0.0,0.0,0.0,0.0,0.41525862,0.029322492,0.0,0.08012429,0.01580128,0.0,0.0,0.0,0.45592496,0.0,0.0,0.0,0.03160256,0.039256636,0.72553974,0.2564113,0.055057917,0.07088842,0.01580128,0.0,0.0,0.01580128,0.26061285,0.277396,0.08438041,0.0,0.0,0.38506934,0.055057917,0.01580128,0.0,0.13935025
2020,0.01580128,0.0,0.0,0.055057917,0.055057917,0.45300537,0.12122911,0.0,0.01580128,0.6919287,0.25991032,0.055057917,0.0,0.0,0.039256636,0.0,0.31606305,0.0,0.0,0.17628703,1.0156533,0.029322492,0.09431455,0.0,0.0,0.0,0.14372802,0.0,0.016664708,0.0,0.0,0.0,0.0,0.0,0.01580128,0.0,0.01580128,0.039256636,0.0,0.06940907,0.055057917,0.01580128,0.055057917,0.0,0.0,0.0,0.06857913,0.13943833,0.039256636,0.0,0.11011583,0.0,0.12122911,0.12126259,0.0,0.0,0.0,0.0,0.0,0.01580128,0.08666048,0.0,0.0,0.0,0.0,0.59790295,0.01580128,0.0,0.0
2021,0.0,0.055057917,0.055057917,0.10018169,0.0,0.0,0.0,0.10009361,0.01580128,0.08438041,0.0,0.0,0.0,0.68328,0.0,0.0,0.44788468,0.0,0.0,0.097868145,0.0,0.0,0.0,0.0,0.10018169,0.0,0.01580128,0.308509,0.092001006,0.0,0.028214654,0.013487731,0.0,0.0,0.01580128,0.0,0.84966624,0.0,0.0,0.01580128,0.0,0.039256636,0.0,0.016664708,0.0,0.0,0.0,0.14866994,0.039256636,0.0,0.0,0.0,0.055057917,0.4679421,0.0,0.12941611,0.28544328,0.029289013,0.0,0.0,0.39365095,0.0,0.0,0.0,0.015830502,0.0,0.0,0.01580128,0.01580128
