year,ACCESS1-0_rcp45_r1i1p1-days_tmin_blw,ACCESS1-0_rcp85_r1i1p1-days_tmin_blw,bcc-csm1-1_rcp26_r1i1p1-days_tmin_blw,bcc-csm1-1_rcp45_r1i1p1-days_tmin_blw,bcc-csm1-1_rcp60_r1i1p1-days_tmin_blw,bcc-csm1-1_rcp85_r1i1p1-days_tmin_blw,BNU-ESM_rcp45_r1i1p1-days_tmin_blw,BNU-ESM_rcp85_r1i1p1-days_tmin_blw,CanESM2_rcp26_r1i1p1-days_tmin_blw,CanESM2_rcp45_r1i1p1-days_tmin_blw,CanESM2_rcp85_r1i1p1-days_tmin_blw,CCSM4_rcp26_r1i1p1-days_tmin_blw,CCSM4_rcp45_r1i1p1-days_tmin_blw,CCSM4_rcp60_r1i1p1-days_tmin_blw,CCSM4_rcp85_r1i1p1-days_tmin_blw,CESM1-BGC_rcp45_r1i1p1-days_tmin_blw,CESM1-BGC_rcp85_r1i1p1-days_tmin_blw,CNRM-CM5_rcp45_r1i1p1-days_tmin_blw,CNRM-CM5_rcp85_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_rcp26_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_rcp45_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_rcp85_r1i1p1-days_tmin_blw,GFDL-CM3_rcp26_r1i1p1-days_tmin_blw,GFDL-CM3_rcp60_r1i1p1-days_tmin_blw,GFDL-CM3_rcp85_r1i1p1-days_tmin_blw,GFDL-ESM2G_rcp26_r1i1p1-days_tmin_blw,GFDL-ESM2G_rcp45_r1i1p1-days_tmin_blw,GFDL-ESM2G_rcp60_r1i1p1-days_tmin_blw,GFDL-ESM2G_rcp85_r1i1p1-days_tmin_blw,GFDL-ESM2M_rcp26_r1i1p1-days_tmin_blw,GFDL-ESM2M_rcp45_r1i1p1-days_tmin_blw,GFDL-ESM2M_rcp60_r1i1p1-days_tmin_blw,GFDL-ESM2M_rcp85_r1i1p1-days_tmin_blw,inmcm4_rcp45_r1i1p1-days_tmin_blw,inmcm4_rcp85_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_rcp26_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_rcp45_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_rcp60_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_rcp85_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_rcp26_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_rcp45_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_rcp60_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_rcp85_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_rcp26_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_rcp45_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_rcp60_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_rcp85_r1i1p1-days_tmin_blw,MIROC-ESM_rcp26_r1i1p1-days_tmin_blw,MIROC-ESM_rcp45_r1i1p1-days_tmin_blw,MIROC-ESM_rcp60_r1i1p1-days_tmin_blw,MIROC-ESM_rcp85_r1i1p1-days_tmin_blw,MIROC5_rcp26_r1i1p1-days_tmin_blw,MIROC5_rcp45_r1i1p1-days_tmin_blw,MIROC5_rcp60_r1i1p1-days_tmin_blw,MIROC5_rcp85_r1i1p1-days_tmin_blw,MPI-ESM-LR_rcp26_r1i1p1-days_tmin_blw,MPI-ESM-LR_rcp45_r1i1p1-days_tmin_blw,MPI-ESM-LR_rcp85_r1i1p1-days_tmin_blw,MPI-ESM-MR_rcp26_r1i1p1-days_tmin_blw,MPI-ESM-MR_rcp45_r1i1p1-days_tmin_blw,MPI-ESM-MR_rcp85_r1i1p1-days_tmin_blw,MRI-CGCM3_rcp26_r1i1p1-days_tmin_blw,MRI-CGCM3_rcp45_r1i1p1-days_tmin_blw,MRI-CGCM3_rcp60_r1i1p1-days_tmin_blw,MRI-CGCM3_rcp85_r1i1p1-days_tmin_blw,NorESM1-M_rcp26_r1i1p1-days_tmin_blw,NorESM1-M_rcp45_r1i1p1-days_tmin_blw,NorESM1-M_rcp60_r1i1p1-days_tmin_blw,NorESM1-M_rcp85_r1i1p1-days_tmin_blw
2006,0.53061545,4.551105,4.4161673,5.045351,0.5902541,10.200214,4.937728,1.5796124,1.2333076,5.87662,5.558811,2.835188,8.55845,0.5606451,8.2090025,3.2641501,1.0646745,0.4168498,5.009972,3.5460482,3.304377,4.997162,1.0219579,3.4358191,0.16543421,1.2833973,0.04509029,0.04277674,0.12919365,0.39694455,1.6461942,1.8707954,2.7431111,9.404296,0.9858644,3.5370414,3.630725,11.110583,8.357846,6.4594455,3.5019987,8.443523,7.113335,3.629225,7.5935006,3.3021111,8.307358,1.2277617,2.3169165,2.8615587,1.9196424,6.776614,6.066302,7.6009846,3.5837631,7.1410856,0.60761464,3.4963162,6.272144,14.615346,8.002194,8.0194235,9.663813,6.933618,8.6965065,4.134414,0.8174552,3.1790385,1.659598
2007,4.132935,1.6027738,4.203257,2.234599,2.6680074,0.66133213,7.5875015,10.87663,2.1532135,3.7332454,7.8253894,1.7702788,3.5000088,2.1995382,4.4519696,2.6804667,5.266229,4.556018,0.548219,9.973757,4.363314,12.22029,7.4455757,1.579348,2.8908885,4.519547,0.51383793,0.1615993,1.0836622,1.935618,3.2309704,4.004898,0.8577464,3.5730073,0.63312656,3.0365,2.0421789,3.3092318,4.432024,5.537749,4.1284156,3.0268667,9.352045,1.4995357,3.3282435,4.4834566,5.3484664,2.5855343,3.0659344,0.92098564,3.4655726,7.4266706,1.4432067,3.4085436,0.5214266,3.3649867,0.37934837,3.2311707,2.0228047,9.750055,0.48441455,6.7400913,2.570788,4.154849,3.653608,1.6615573,3.2067354,2.2130873,1.0851914
2008,1.7888671,1.9869996,6.7365675,8.671933,4.0213485,0.14915721,4.3083363,6.7422667,0.41502672,2.7510228,2.532,4.382035,2.7101154,1.4243664,0.013487731,1.9271812,8.411282,0.31925717,1.3124734,0.8201012,14.556699,0.17288293,6.7344546,0.6744113,3.7110894,1.273937,4.153079,0.52299356,0.5464671,0.67539835,4.7565656,4.0311337,2.2381177,6.136912,1.1352913,2.8462594,2.1804295,7.843787,16.57067,0.45905015,6.4371643,1.7652348,1.4077071,3.7955737,4.337982,1.3129921,9.896021,0.9850072,3.7543316,2.9443831,3.6855538,7.7144556,0.3261816,6.843096,3.34814,3.8587604,1.6526841,4.451304,2.7563748,3.802603,1.8430053,1.4633261,11.819259,5.622491,5.8584733,2.2166333,6.848556,6.498188,8.823948
2009,6.689739,5.052361,2.9125006,0.7298794,5.815053,10.975713,3.0271645,2.8730776,3.5748713,5.2487326,2.9177914,4.955394,5.482313,0.71522033,6.4926887,2.544036,0.44023994,5.8224277,8.974335,2.5110009,4.379268,2.0809665,6.9267025,1.2600373,1.5651652,0.10987227,2.5222578,1.8287953,5.353224,2.3082657,5.45158,3.287741,1.508044,3.6881008,8.415891,0.96009004,2.9336483,5.8073864,2.456046,5.9275804,1.0821129,7.4724684,10.299226,5.6954446,2.9722285,3.6764657,5.4271774,4.384113,1.2947642,2.599387,6.3983855,4.309465,1.4270163,1.6031682,1.9622346,6.8870625,1.9305147,0.7322499,1.6604916,3.8230429,1.8205614,4.727146,8.612315,2.3066628,13.606283,3.8990862,7.8454742,5.551095,7.014373
2010,9.211728,1.2165219,1.7978686,6.4271793,3.1496317,4.8417153,3.6305847,11.687696,3.5355434,4.013392,2.2073045,1.140197,8.718857,0.7611882,6.456634,7.294002,9.127157,10.934446,10.251633,12.211619,4.9049454,0.15881096,0.3965256,4.898416,3.397366,6.505536,0.13421936,0.20345828,0.8435464,1.0946318,3.11748,1.2552274,8.325533,2.0119302,4.1565204,6.9146147,2.1700866,3.2580538,1.595821,1.3947542,0.60502386,0.8407362,2.1120574,7.233038,3.0749488,8.728092,2.35751,1.9639186,0.7984636,2.7701845,2.0270123,2.9121554,0.119573206,2.7466407,6.8459706,1.7505119,6.258786,1.0233868,2.175327,1.8776594,0.7469016,7.992009,9.367528,2.1455696,2.5320256,3.8319118,6.5976033,2.6044188,11.05006
2011,2.374379,2.9917283,10.580072,6.3376822,11.770238,12.042878,9.110126,3.5601964,2.9602733,1.033393,5.4103785,2.4814038,5.2126575,0.29409528,5.918748,1.4709314,2.5061727,3.9280596,7.052431,8.985728,6.094062,0.7654542,2.9570994,0.17980713,1.4734586,0.0,5.721124,5.0602922,3.3372176,9.89827,5.014541,3.7052546,2.2952125,8.619646,5.788673,7.544972,4.830827,0.8276421,6.3477445,1.8368038,4.2413926,1.4998959,8.322694,0.27677926,4.276117,0.9234469,1.0648297,2.150614,2.5325549,0.25897402,2.1637475,0.48777285,3.5230517,0.7027579,6.9426603,0.4250623,5.805954,1.095729,0.0697522,5.6622105,1.9980924,1.1697361,5.4111166,4.846737,10.611274,3.5618227,3.748773,2.524274,1.9762969
2012,5.937173,4.452275,1.7465283,10.996791,0.7183709,6.5569487,0.013487731,3.4787376,1.1116028,8.924981,2.245464,0.040463194,7.0509515,0.39524266,0.10638048,4.9319596,7.179608,2.1144543,1.7644825,0.8419211,6.0180917,3.254021,5.54804,4.044877,2.621074,3.2818615,0.82999724,1.9166565,2.8122466,5.5325923,3.274218,5.9398336,0.40875852,0.951886,3.049056,7.610783,5.3800516,4.237374,4.1381345,1.9468207,0.013487731,4.4508142,4.4977374,3.2810354,3.4224317,0.57488084,0.84832907,1.2251062,4.763812,3.862374,3.5156908,0.61364514,10.471495,0.04277674,3.1633017,3.3058467,9.250126,3.8902867,3.895454,5.5748434,3.923568,4.6676,0.9390338,3.234868,5.485357,0.6766079,2.327882,6.465734,0.13537449
2013,3.6988566,8.435411,2.738001,0.056264475,3.6776147,4.3142886,1.1712842,3.6023586,2.502152,5.1251206,2.9915774,2.7464707,1.317304,1.8700707,0.14926668,3.035231,1.8194495,5.7315645,3.5781379,0.45657817,1.7650797,6.834278,3.9300265,1.0332278,0.41164625,3.5218942,4.305133,2.262655,0.72956663,6.7186303,0.21953918,4.438471,2.7078888,4.6468506,1.5713317,10.804795,1.6037304,4.010902,6.8284883,0.63044775,7.325588,3.9786558,7.395442,0.9019677,0.19283086,4.6247563,2.1743095,1.5293926,6.0473866,3.4332907,3.6756198,0.9428582,0.55814964,0.7641652,0.013487731,5.030957,1.0663351,16.084774,0.49130082,1.3912141,2.4550219,1.9496326,5.342137,3.7107775,1.888448,1.470725,2.1150908,0.42718998,3.0083716
2014,0.3216177,2.8202589,3.4745178,2.6161635,5.174892,1.2479411,3.914063,1.6149035,4.8210235,5.8642526,1.5303744,3.1780386,5.405889,0.84950984,4.316273,1.880953,4.5722675,4.376777,1.1529653,3.7316074,0.5955683,4.5673256,1.7492726,3.045918,3.4481785,1.5338501,2.1714115,0.39574084,1.7156491,4.0105305,6.872215,7.979006,7.4457603,6.019199,6.6497464,12.59071,0.8719727,3.445529,1.975373,1.6964953,2.1393518,7.519476,2.709339,2.5630274,2.0828855,4.027622,2.486196,2.5990148,3.9603815,2.853612,0.47029266,5.218393,4.7671103,7.5517664,0.15882984,2.823411,0.5763571,7.3284335,1.1725825,1.9882601,4.615373,5.0902386,2.805116,5.7102127,3.0879693,11.789561,5.4966187,10.57408,1.3097022
2015,5.0362887,5.385826,0.48468915,4.834369,4.0402603,5.9894404,3.682747,7.9374657,1.5464557,1.5629306,2.010493,3.2390628,3.1950405,2.680736,1.114519,5.6532855,6.609463,3.3570058,1.0586213,3.1048114,4.4905844,9.87444,2.8735378,4.2425203,1.4299691,4.087402,1.9968086,0.0571279,1.5630202,3.1665227,8.747037,9.977681,1.3841645,3.1234853,3.2571661,6.6984277,4.486256,14.74488,13.934269,1.6909623,4.1168427,1.6002965,4.43173,2.7513704,3.227272,0.6530677,1.287982,6.7777543,1.603613,3.4988582,0.0,0.96842146,0.22526337,0.026975462,1.5102285,20.016436,7.1296406,0.13768804,5.6994824,0.07061563,11.4118595,3.9500744,9.385586,7.230036,4.968187,8.648508,7.3085823,14.96648,5.3988266
