year,ACCESS1-0_rcp45_r1i1p1-growing_degree_day,ACCESS1-0_rcp85_r1i1p1-growing_degree_day,bcc-csm1-1_rcp26_r1i1p1-growing_degree_day,bcc-csm1-1_rcp45_r1i1p1-growing_degree_day,bcc-csm1-1_rcp60_r1i1p1-growing_degree_day,bcc-csm1-1_rcp85_r1i1p1-growing_degree_day,BNU-ESM_rcp45_r1i1p1-growing_degree_day,BNU-ESM_rcp85_r1i1p1-growing_degree_day,CanESM2_rcp26_r1i1p1-growing_degree_day,CanESM2_rcp45_r1i1p1-growing_degree_day,CanESM2_rcp85_r1i1p1-growing_degree_day,CCSM4_rcp26_r1i1p1-growing_degree_day,CCSM4_rcp45_r1i1p1-growing_degree_day,CCSM4_rcp60_r1i1p1-growing_degree_day,CCSM4_rcp85_r1i1p1-growing_degree_day,CESM1-BGC_rcp45_r1i1p1-growing_degree_day,CESM1-BGC_rcp85_r1i1p1-growing_degree_day,CNRM-CM5_rcp45_r1i1p1-growing_degree_day,CNRM-CM5_rcp85_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_rcp26_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_rcp45_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_rcp85_r1i1p1-growing_degree_day,GFDL-CM3_rcp26_r1i1p1-growing_degree_day,GFDL-CM3_rcp60_r1i1p1-growing_degree_day,GFDL-CM3_rcp85_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp26_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp45_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp60_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp85_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp26_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp45_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp60_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp85_r1i1p1-growing_degree_day,inmcm4_rcp45_r1i1p1-growing_degree_day,inmcm4_rcp85_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp26_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp45_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp60_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp85_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp26_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp45_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp60_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp85_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp26_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp45_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp60_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp85_r1i1p1-growing_degree_day,MIROC-ESM_rcp26_r1i1p1-growing_degree_day,MIROC-ESM_rcp45_r1i1p1-growing_degree_day,MIROC-ESM_rcp60_r1i1p1-growing_degree_day,MIROC-ESM_rcp85_r1i1p1-growing_degree_day,MIROC5_rcp26_r1i1p1-growing_degree_day,MIROC5_rcp45_r1i1p1-growing_degree_day,MIROC5_rcp60_r1i1p1-growing_degree_day,MIROC5_rcp85_r1i1p1-growing_degree_day,MPI-ESM-LR_rcp26_r1i1p1-growing_degree_day,MPI-ESM-LR_rcp45_r1i1p1-growing_degree_day,MPI-ESM-LR_rcp85_r1i1p1-growing_degree_day,MPI-ESM-MR_rcp26_r1i1p1-growing_degree_day,MPI-ESM-MR_rcp45_r1i1p1-growing_degree_day,MPI-ESM-MR_rcp85_r1i1p1-growing_degree_day,MRI-CGCM3_rcp26_r1i1p1-growing_degree_day,MRI-CGCM3_rcp45_r1i1p1-growing_degree_day,MRI-CGCM3_rcp60_r1i1p1-growing_degree_day,MRI-CGCM3_rcp85_r1i1p1-growing_degree_day,NorESM1-M_rcp26_r1i1p1-growing_degree_day,NorESM1-M_rcp45_r1i1p1-growing_degree_day,NorESM1-M_rcp60_r1i1p1-growing_degree_day,NorESM1-M_rcp85_r1i1p1-growing_degree_day
2006,828.3797,863.7449,755.8953,688.91113,792.461,826.07837,815.23236,773.70026,865.5617,732.30646,753.2366,762.3879,931.45776,810.79504,813.9645,893.15894,753.39215,677.6546,742.85834,818.45966,752.4715,917.9698,775.6006,826.6988,882.27625,858.27936,1020.40924,821.235,837.68823,777.66486,736.9669,701.3847,879.4286,877.53564,718.57635,784.1373,850.834,893.60675,916.3019,781.3708,749.3621,847.78156,679.6117,871.1863,761.7559,759.3263,808.8121,729.4753,802.5319,729.64233,730.6419,769.1807,785.91943,760.5188,774.70654,818.64056,892.0914,796.89514,738.52496,686.5654,874.34766,715.7405,777.468,658.31494,732.5331,874.4139,859.688,795.7748,775.2217
2007,847.23865,807.70844,720.2483,733.9068,1054.7516,898.4352,814.30145,923.9899,868.2174,878.7571,807.2333,815.51483,854.25946,709.4505,825.6983,934.643,879.9397,714.2492,649.7726,876.4109,933.2748,822.90466,803.9824,771.3614,806.39374,977.5644,890.06396,834.2009,966.6034,846.36664,715.60645,713.63245,660.4525,944.0679,929.1151,812.4703,996.52435,701.91724,828.90765,821.76263,713.3571,783.6984,829.6314,776.6334,738.5455,738.97217,806.51074,755.44946,799.08704,803.2758,792.0595,732.2446,820.69006,830.37476,731.5009,739.37506,896.4852,884.31824,763.53827,853.97955,1023.35693,727.2541,789.01324,653.521,733.892,813.7144,834.6009,873.23694,780.4622
2008,1025.4961,715.08246,755.93494,700.80615,792.92786,927.54407,851.9253,899.9876,776.6556,848.84375,846.659,829.8009,822.93585,810.16876,854.15094,830.01996,820.6461,731.1484,848.776,835.01764,657.6181,876.6358,914.4564,747.55817,809.5424,981.58716,962.9799,835.4969,851.048,790.45715,861.7561,818.66473,838.91583,828.1433,808.71545,715.0445,769.02045,796.638,773.1896,848.70917,788.16,866.7935,811.946,775.879,854.55664,724.64044,771.19745,735.238,838.3816,722.3165,795.32,716.36884,780.12683,741.9776,704.2416,831.21454,888.54785,978.3009,755.6457,814.8311,761.1927,684.9208,709.47736,711.05383,813.2101,753.89014,780.32117,855.944,886.58984
2009,807.84467,747.3703,817.11145,779.3761,821.27716,858.73505,912.2523,819.8667,898.2739,829.7365,877.226,842.31384,753.9896,836.68335,821.6635,775.45276,765.66077,655.152,642.27386,711.0776,718.9249,852.6452,798.06866,800.31415,817.3325,870.63165,701.2773,963.456,829.01105,775.92914,757.58704,716.14386,762.46796,740.41266,674.98785,859.254,705.9553,843.12915,849.80396,855.7175,860.55005,805.29736,825.7752,835.2896,817.2488,849.966,741.0353,721.7639,858.57465,816.4654,866.8764,713.79736,734.99506,829.6271,761.8975,892.93616,720.33136,679.7844,691.03253,883.47424,841.9292,857.9097,720.3888,756.8294,717.1425,784.25684,731.33405,759.27484,739.3625
2010,690.2562,704.88196,689.4035,843.76965,726.68744,791.24316,866.1438,792.77423,923.1455,798.4053,801.22375,782.21783,808.5572,825.36017,821.77655,829.1973,818.58514,758.5292,667.245,750.2567,873.017,1036.2128,870.70544,768.5483,990.19055,801.95123,885.882,869.553,919.7592,763.5044,822.459,853.6656,674.07416,823.5543,907.2563,996.28485,871.9093,888.5532,902.51794,863.49304,863.72485,882.79596,826.4781,730.0121,718.1086,799.5634,819.32556,727.6961,864.6282,749.7682,792.38574,724.31305,848.9289,745.4272,825.69116,829.29254,806.93427,973.76654,832.7712,861.4353,887.131,752.9647,755.7842,799.0229,751.3571,817.92114,888.0141,788.2252,756.97546
2011,859.4447,972.7095,759.4418,880.0206,868.8778,817.8037,860.5144,911.711,879.07776,844.6131,882.7069,915.2113,958.2261,891.44714,971.2148,708.1849,884.58826,679.09576,771.2584,908.97974,817.2813,928.1039,875.859,891.28375,906.6799,929.2819,1044.0431,901.92456,911.8981,829.01385,740.7875,683.3011,722.25366,732.45575,773.86145,872.153,899.06165,978.4637,870.5391,788.82086,820.5556,983.5328,873.9527,855.71216,826.4017,726.7168,772.8468,838.6877,776.24786,918.93176,881.5104,755.6183,840.3507,747.85034,741.68195,898.3816,781.8021,874.97534,888.15796,949.99506,831.3693,758.2157,860.2621,747.4514,642.7823,733.29724,722.69653,744.9489,875.4309
2012,851.5116,761.9973,816.58215,794.67725,963.7072,1000.69305,932.78925,1071.1158,894.1878,888.80304,929.21436,880.2775,827.2349,807.9251,901.2283,806.33954,832.2198,889.3029,851.7376,843.921,666.0071,980.8034,892.3213,839.9623,970.2725,839.07135,989.79004,930.07745,797.9616,781.4995,763.8418,754.4598,870.0069,778.45715,822.93024,791.26666,853.3117,754.5829,865.6002,811.70953,815.8663,833.8681,894.5086,848.3046,777.63385,720.1286,724.6887,835.1228,858.7106,909.40356,733.0592,829.335,753.54785,864.0663,748.8501,816.008,909.11084,800.7549,896.1958,765.0179,862.14825,631.58875,716.6003,802.26953,810.1098,810.97705,886.17566,777.4686,849.3716
2013,892.56,944.95544,924.9756,839.0757,988.4698,927.55804,976.5686,857.73956,926.6473,887.6724,966.87683,1078.661,929.38654,803.1938,938.33936,803.95044,738.331,665.8089,742.82434,818.6001,934.9021,825.5603,984.3558,1053.2449,919.46014,802.1085,808.0571,858.74493,724.177,908.5949,737.9797,818.23193,813.1909,735.04694,726.7298,801.7905,945.1007,872.09424,834.4319,833.3985,781.88617,818.8889,1060.3761,897.5348,815.85754,769.8341,897.8525,797.60565,727.87616,783.44495,919.1578,786.3762,832.4142,798.5902,863.0302,890.6131,971.1358,788.3993,762.5194,874.0303,849.08264,745.2374,737.9402,747.6772,713.3629,789.01544,836.05963,869.12695,828.2688
2014,883.29456,879.67944,925.35333,877.76447,812.39764,881.0865,968.4964,903.7569,969.39105,1009.2344,867.1853,794.1154,757.563,961.12854,806.6575,797.06573,798.7938,762.4577,743.0878,915.1384,923.4559,932.02765,796.527,848.0508,955.16785,928.4097,916.8421,927.81256,1013.2056,948.9919,815.7377,755.8804,817.85443,815.024,758.0724,874.4216,891.9106,912.8325,829.5872,859.2684,929.683,1019.87885,901.9895,906.7841,868.1264,718.17456,880.8082,797.15765,848.69104,764.82043,899.2156,759.22125,891.1125,812.7547,857.78815,913.9866,829.76434,880.08936,800.15204,869.257,790.3692,798.994,785.3722,690.63934,676.95447,1003.9991,987.61066,800.4021,849.2077
2015,866.4609,852.91064,873.0827,837.5508,1014.6171,868.51434,944.3596,900.4156,923.7512,854.8061,962.4974,782.528,884.13947,921.5079,753.7261,782.5593,830.59644,813.31573,766.7578,891.07166,850.4158,773.61304,865.72797,878.50806,1071.5613,883.0224,984.69574,808.52344,697.58044,728.1554,730.9295,894.7878,638.90686,775.60913,709.62573,959.55444,993.79083,858.71857,794.7508,951.8258,871.3378,857.3823,783.37823,872.816,952.40765,873.0813,844.2031,843.534,777.03174,837.725,793.01544,887.39197,868.2826,813.61536,865.13916,783.57,810.9344,1000.6282,939.3358,890.39166,794.4673,758.11896,785.28345,756.8903,827.9644,835.05273,725.6106,881.5077,769.5502
