year,ACCESS1-0_rcp45_r1i1p1-heating_degree_day,ACCESS1-0_rcp85_r1i1p1-heating_degree_day,bcc-csm1-1_rcp26_r1i1p1-heating_degree_day,bcc-csm1-1_rcp45_r1i1p1-heating_degree_day,bcc-csm1-1_rcp60_r1i1p1-heating_degree_day,bcc-csm1-1_rcp85_r1i1p1-heating_degree_day,BNU-ESM_rcp45_r1i1p1-heating_degree_day,BNU-ESM_rcp85_r1i1p1-heating_degree_day,CanESM2_rcp26_r1i1p1-heating_degree_day,CanESM2_rcp45_r1i1p1-heating_degree_day,CanESM2_rcp85_r1i1p1-heating_degree_day,CCSM4_rcp26_r1i1p1-heating_degree_day,CCSM4_rcp45_r1i1p1-heating_degree_day,CCSM4_rcp60_r1i1p1-heating_degree_day,CCSM4_rcp85_r1i1p1-heating_degree_day,CESM1-BGC_rcp45_r1i1p1-heating_degree_day,CESM1-BGC_rcp85_r1i1p1-heating_degree_day,CNRM-CM5_rcp45_r1i1p1-heating_degree_day,CNRM-CM5_rcp85_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_rcp26_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_rcp45_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_rcp85_r1i1p1-heating_degree_day,GFDL-CM3_rcp26_r1i1p1-heating_degree_day,GFDL-CM3_rcp60_r1i1p1-heating_degree_day,GFDL-CM3_rcp85_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp26_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp45_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp60_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp85_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp26_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp45_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp60_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp85_r1i1p1-heating_degree_day,inmcm4_rcp45_r1i1p1-heating_degree_day,inmcm4_rcp85_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp26_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp45_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp60_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp85_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp26_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp45_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp60_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp85_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp26_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp45_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp60_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp85_r1i1p1-heating_degree_day,MIROC-ESM_rcp26_r1i1p1-heating_degree_day,MIROC-ESM_rcp45_r1i1p1-heating_degree_day,MIROC-ESM_rcp60_r1i1p1-heating_degree_day,MIROC-ESM_rcp85_r1i1p1-heating_degree_day,MIROC5_rcp26_r1i1p1-heating_degree_day,MIROC5_rcp45_r1i1p1-heating_degree_day,MIROC5_rcp60_r1i1p1-heating_degree_day,MIROC5_rcp85_r1i1p1-heating_degree_day,MPI-ESM-LR_rcp26_r1i1p1-heating_degree_day,MPI-ESM-LR_rcp45_r1i1p1-heating_degree_day,MPI-ESM-LR_rcp85_r1i1p1-heating_degree_day,MPI-ESM-MR_rcp26_r1i1p1-heating_degree_day,MPI-ESM-MR_rcp45_r1i1p1-heating_degree_day,MPI-ESM-MR_rcp85_r1i1p1-heating_degree_day,MRI-CGCM3_rcp26_r1i1p1-heating_degree_day,MRI-CGCM3_rcp45_r1i1p1-heating_degree_day,MRI-CGCM3_rcp60_r1i1p1-heating_degree_day,MRI-CGCM3_rcp85_r1i1p1-heating_degree_day,NorESM1-M_rcp26_r1i1p1-heating_degree_day,NorESM1-M_rcp45_r1i1p1-heating_degree_day,NorESM1-M_rcp60_r1i1p1-heating_degree_day,NorESM1-M_rcp85_r1i1p1-heating_degree_day
2006,1888.3196,2179.0679,2365.9248,2126.9841,2121.989,2736.531,2786.924,2317.9768,2597.9453,2783.8782,2701.0803,2468.5623,2573.8484,2273.4644,2425.3162,2503.8577,2165.4016,2446.3894,2571.4958,2421.356,2279.2756,2483.0679,2509.69,2463.8967,2180.0984,2473.5027,2058.4639,2332.1697,2335.2139,2429.0215,2428.6277,2513.6238,2343.2424,2673.2249,2497.7578,2214.145,2620.4304,2673.6794,2643.711,2505.2954,2473.8572,2412.3633,2721.8977,2710.5627,2783.1023,2652.3901,2463.536,2358.2744,2366.8848,2545.0276,2408.093,2690.586,2767.4722,2613.8965,2413.895,2311.4805,2296.8296,2459.629,2671.6895,2994.8042,2775.0874,2842.9817,2442.719,2743.071,2528.0613,2072.757,2454.2568,2360.9824,2287.6748
2007,2395.9414,2248.2117,2723.0017,2176.006,2278.6077,2302.2322,2433.3596,2531.6838,2172.5332,2107.5125,2552.4944,2413.5898,2537.5188,2919.2212,2240.578,2219.406,2181.7173,2298.7961,2635.316,2380.553,2205.8672,2723.968,2630.5632,2174.4834,2438.4844,2335.164,2297.5505,2466.044,2159.7485,2504.5908,2411.3677,2727.1426,2607.9246,2228.951,2217.2876,2280.038,2076.193,2316.1917,2283.474,2713.56,2336.7334,2465.0437,2580.4028,2347.1877,2241.6753,2168.1892,2324.692,2652.8767,2239.1086,2455.5195,2380.1504,2510.3743,2569.2822,2505.303,2089.4023,2339.9968,1936.3582,2228.4604,2604.3713,2258.0994,2032.4344,2430.0947,2481.9514,2648.6526,2543.2534,2237.398,2179.143,2207.769,2452.2393
2008,2207.9844,2623.4238,2919.993,2501.299,2534.328,2109.0095,2542.1055,2200.5415,2189.97,2520.5566,2049.203,2427.5596,2369.2341,2300.0325,1909.8458,2298.8518,2356.8613,2416.4104,2291.0398,2541.591,2730.3274,2597.8691,2287.6477,2272.5093,2498.7927,2366.073,2289.9895,2471.5066,2317.099,2640.2485,2630.874,2169.9229,2532.594,2511.8806,2021.396,2568.097,2105.5786,2356.4238,2812.8613,2187.754,2753.1658,2319.3,2037.3557,2297.4893,2479.6091,2038.5132,2583.489,2511.5337,2470.7805,2388.5632,2471.9333,2528.4473,2237.9558,2431.767,2413.397,2397.265,2223.6816,2417.8894,2451.1965,2338.9736,2251.6997,2421.441,2894.3281,2547.6226,2617.9946,2503.3804,2327.813,2178.758,2439.871
2009,2543.904,2517.1829,2241.345,2139.8699,2624.672,2397.059,2068.5684,2247.02,2238.197,2606.3457,2518.9453,2324.0798,2464.1016,2067.686,2344.3313,2540.3733,2156.3484,2472.8684,2709.74,2495.0063,2542.5422,2447.632,2397.9739,2439.5737,2406.8281,2301.2979,2581.4927,2718.414,2330.8267,2197.048,2601.3376,2603.0784,2364.4077,2459.1038,2864.2393,2447.3943,2406.3987,2377.8347,2438.7402,2645.719,2228.3801,2466.6445,2636.5935,2332.3218,2551.6526,2343.119,2733.9163,2269.9546,2267.0286,2320.218,2562.594,2680.2656,2027.7332,2645.4712,2177.0366,2282.021,2378.3606,2426.038,2855.2463,2221.5938,2660.935,2607.394,2897.054,2597.2322,2663.6946,2635.9927,2672.2693,2362.6953,2612.1577
2010,2659.669,2592.072,2697.543,2451.4192,2367.9177,2137.8718,2548.089,2594.072,2223.4214,2717.3535,2328.745,2471.7573,2733.0867,1978.2638,2725.1055,2612.5442,2433.428,2748.2854,2756.4827,2610.4219,2381.4954,1827.0137,2378.6438,2484.5962,2311.8315,2522.836,2416.638,2113.8918,2229.943,2354.05,2769.466,2479.6863,2869.2705,2234.7036,2329.3425,2308.987,2133.5637,2498.8762,2315.8845,1958.654,2140.967,2176.5195,2133.5312,2598.178,2329.5334,2585.5723,2295.858,2514.9077,2217.8572,2534.8982,2269.8335,2461.4482,2258.8093,2326.1577,2629.5476,2331.695,2388.036,2142.082,2457.049,2439.0396,2178.4333,2434.7263,2623.4421,2556.0535,2359.215,2614.6758,2258.6553,2655.2866,2692.796
2011,2130.294,2172.0176,2409.2166,2539.697,2368.9712,2778.943,2507.7524,2370.0027,2401.111,2139.2969,2677.3706,2280.593,2344.0068,2142.4968,2462.3328,2543.9126,2215.3909,2489.0334,2700.4944,2431.8323,2736.7844,2418.326,2526.786,1830.5383,2274.8425,2082.5884,2179.3367,2329.9373,2176.9568,2478.519,2595.1206,2638.4287,2647.8108,2713.8367,2509.1382,2511.525,2253.0525,2093.565,2232.6245,2091.381,2371.7903,2312.532,2583.9395,2101.0066,2544.43,2421.1106,2407.5083,2346.6948,2487.8887,2370.464,2275.4526,2160.471,2406.47,2333.8835,2699.827,2118.1873,2495.2214,2318.6682,2194.8052,2342.4705,2222.8032,2337.3218,2549.4753,2722.019,2851.7456,2422.2808,2423.15,2589.6035,2210.3293
2012,2241.2302,2535.424,2177.3967,2409.2507,2408.324,2409.428,1741.9034,2356.7935,2191.4858,2673.6714,2241.52,2217.9573,2465.6565,2287.9119,2029.363,2659.0186,2338.3362,2292.886,2198.754,2560.028,2606.131,2313.862,2358.0156,2442.5073,2083.153,2659.4436,2234.524,2110.6392,2393.3618,2613.4001,2506.1218,2790.7512,2418.3599,2334.4146,2342.3254,2480.7566,2462.9934,2510.8313,2239.9534,2548.0366,2113.5378,2140.5642,2262.5566,2528.0417,2635.1855,2338.3005,2537.1733,2318.2537,2269.5217,2469.4565,2440.879,2272.44,2684.1936,2440.4048,2405.4019,2307.582,2636.5596,2340.0044,2507.6196,2604.4346,2192.3533,2668.5564,2432.7812,2598.913,2402.8936,2189.9863,2374.8433,2719.041,2163.7458
2013,2371.5022,2397.031,2413.5664,1922.5854,2344.2896,2278.4783,1870.6093,2524.269,2611.53,2532.3313,2112.8633,2101.9116,2094.7031,2216.2437,1839.3953,2657.6816,2216.015,2459.0852,2284.8865,2434.977,2353.3604,2351.9934,2212.6497,1835.6837,2330.8171,2337.561,2575.806,2278.1523,2548.6426,2384.0369,2386.4219,2332.949,2364.0723,2576.8123,2550.7695,2557.304,2593.3792,2360.3037,2329.7024,2605.7737,2713.051,2348.372,2380.4404,2532.3232,2149.6536,2735.1072,2357.757,2149.3345,2432.857,2495.068,2374.762,2515.281,2364.0103,2514.4834,2090.3657,2498.314,2120.5608,2799.901,2198.875,2422.6672,2348.734,2358.7056,2576.151,2443.1562,2459.4087,2427.216,2280.8665,2243.3164,2190.6372
2014,2241.6572,2620.1707,2098.467,2262.643,2481.631,2355.3472,1979.3345,1844.1776,2143.1582,2280.1501,2321.7104,2477.7188,2679.5315,2118.6953,2543.871,2369.0122,2582.288,2550.7996,2240.0671,2335.0947,1974.5288,2475.6575,2523.3252,2344.785,2492.0317,2100.5593,2387.1018,2124.785,2156.3845,2434.7979,2383.1152,2511.545,2807.2805,2750.5667,2608.2664,2724.7656,2013.3822,2674.9731,2178.7957,2489.7153,2072.576,2355.6948,2482.4597,2240.8728,2193.549,2372.8057,2078.8135,2629.0483,2409.4622,2454.8193,2138.7249,2336.7358,2218.5466,2580.163,2425.2402,2398.9592,2076.8235,2351.199,2352.502,2306.3572,2569.2964,2730.1775,2628.01,2554.486,2472.1328,2594.6184,2499.9038,2638.2927,2078.8213
2015,2148.0112,2887.0735,2287.7297,2357.623,2201.213,2257.3113,2434.462,2435.3586,2422.0823,2256.7168,2556.876,2465.8735,2340.6838,2272.4229,2433.7458,2361.0286,2723.6418,2315.8184,2335.8694,2246.061,2433.4585,2716.4668,2150.9597,2416.8523,2396.3093,2426.3184,2317.7163,2325.441,2592.0073,2454.8008,2559.1729,2469.9119,2700.5303,2160.2717,2267.4814,2378.1145,2197.831,2579.365,2678.933,2125.69,2243.3542,2288.0813,2420.3257,2137.192,2313.5835,2233.7031,2253.2498,2697.3142,2157.4668,2178.2542,2140.9407,2340.4214,2456.2278,2083.824,2003.7323,3175.9412,2620.0989,1990.2909,2528.747,2345.9897,2694.4143,2683.9155,2667.8186,2788.5723,2728.0464,2647.4753,2700.3135,2712.9802,2636.3083
