year,ACCESS1-0_rcp45_r1i1p1-longest_run_prcp_blw,ACCESS1-0_rcp85_r1i1p1-longest_run_prcp_blw,bcc-csm1-1_rcp26_r1i1p1-longest_run_prcp_blw,bcc-csm1-1_rcp45_r1i1p1-longest_run_prcp_blw,bcc-csm1-1_rcp60_r1i1p1-longest_run_prcp_blw,bcc-csm1-1_rcp85_r1i1p1-longest_run_prcp_blw,BNU-ESM_rcp45_r1i1p1-longest_run_prcp_blw,BNU-ESM_rcp85_r1i1p1-longest_run_prcp_blw,CanESM2_rcp26_r1i1p1-longest_run_prcp_blw,CanESM2_rcp45_r1i1p1-longest_run_prcp_blw,CanESM2_rcp85_r1i1p1-longest_run_prcp_blw,CCSM4_rcp26_r1i1p1-longest_run_prcp_blw,CCSM4_rcp45_r1i1p1-longest_run_prcp_blw,CCSM4_rcp60_r1i1p1-longest_run_prcp_blw,CCSM4_rcp85_r1i1p1-longest_run_prcp_blw,CESM1-BGC_rcp45_r1i1p1-longest_run_prcp_blw,CESM1-BGC_rcp85_r1i1p1-longest_run_prcp_blw,CNRM-CM5_rcp45_r1i1p1-longest_run_prcp_blw,CNRM-CM5_rcp85_r1i1p1-longest_run_prcp_blw,CSIRO-Mk3-6-0_rcp26_r1i1p1-longest_run_prcp_blw,CSIRO-Mk3-6-0_rcp45_r1i1p1-longest_run_prcp_blw,CSIRO-Mk3-6-0_rcp85_r1i1p1-longest_run_prcp_blw,GFDL-CM3_rcp26_r1i1p1-longest_run_prcp_blw,GFDL-CM3_rcp60_r1i1p1-longest_run_prcp_blw,GFDL-CM3_rcp85_r1i1p1-longest_run_prcp_blw,GFDL-ESM2G_rcp26_r1i1p1-longest_run_prcp_blw,GFDL-ESM2G_rcp45_r1i1p1-longest_run_prcp_blw,GFDL-ESM2G_rcp60_r1i1p1-longest_run_prcp_blw,GFDL-ESM2G_rcp85_r1i1p1-longest_run_prcp_blw,GFDL-ESM2M_rcp26_r1i1p1-longest_run_prcp_blw,GFDL-ESM2M_rcp45_r1i1p1-longest_run_prcp_blw,GFDL-ESM2M_rcp60_r1i1p1-longest_run_prcp_blw,GFDL-ESM2M_rcp85_r1i1p1-longest_run_prcp_blw,inmcm4_rcp45_r1i1p1-longest_run_prcp_blw,inmcm4_rcp85_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-LR_rcp26_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-LR_rcp45_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-LR_rcp60_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-LR_rcp85_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-MR_rcp26_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-MR_rcp45_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-MR_rcp60_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-MR_rcp85_r1i1p1-longest_run_prcp_blw,MIROC-ESM-CHEM_rcp26_r1i1p1-longest_run_prcp_blw,MIROC-ESM-CHEM_rcp45_r1i1p1-longest_run_prcp_blw,MIROC-ESM-CHEM_rcp60_r1i1p1-longest_run_prcp_blw,MIROC-ESM-CHEM_rcp85_r1i1p1-longest_run_prcp_blw,MIROC-ESM_rcp26_r1i1p1-longest_run_prcp_blw,MIROC-ESM_rcp45_r1i1p1-longest_run_prcp_blw,MIROC-ESM_rcp60_r1i1p1-longest_run_prcp_blw,MIROC-ESM_rcp85_r1i1p1-longest_run_prcp_blw,MIROC5_rcp26_r1i1p1-longest_run_prcp_blw,MIROC5_rcp45_r1i1p1-longest_run_prcp_blw,MIROC5_rcp60_r1i1p1-longest_run_prcp_blw,MIROC5_rcp85_r1i1p1-longest_run_prcp_blw,MPI-ESM-LR_rcp26_r1i1p1-longest_run_prcp_blw,MPI-ESM-LR_rcp45_r1i1p1-longest_run_prcp_blw,MPI-ESM-LR_rcp85_r1i1p1-longest_run_prcp_blw,MPI-ESM-MR_rcp26_r1i1p1-longest_run_prcp_blw,MPI-ESM-MR_rcp45_r1i1p1-longest_run_prcp_blw,MPI-ESM-MR_rcp85_r1i1p1-longest_run_prcp_blw,MRI-CGCM3_rcp26_r1i1p1-longest_run_prcp_blw,MRI-CGCM3_rcp45_r1i1p1-longest_run_prcp_blw,MRI-CGCM3_rcp60_r1i1p1-longest_run_prcp_blw,MRI-CGCM3_rcp85_r1i1p1-longest_run_prcp_blw,NorESM1-M_rcp26_r1i1p1-longest_run_prcp_blw,NorESM1-M_rcp45_r1i1p1-longest_run_prcp_blw,NorESM1-M_rcp60_r1i1p1-longest_run_prcp_blw,NorESM1-M_rcp85_r1i1p1-longest_run_prcp_blw
2006,365.0,365.0,362.65115,337.24966,365.0,365.0,357.60242,358.0769,365.0,365.0,363.54752,365.0,362.94583,364.3393,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,363.56848,365.0,362.48758,365.0,365.0,314.12735,365.0,364.96838,357.72913,365.0,365.0,365.0,362.2034,365.0,360.62222,361.83023,338.26935,308.7075,365.0,365.0,365.0,365.0,365.0,365.0,365.0,360.4102,356.9065,365.0,365.0,365.0,345.3249,363.6569,363.69168,365.0,363.8149,362.89844,363.06372,354.4716,349.5478,356.50034,365.0,362.99323,365.0,363.89883,365.0,365.0,310.57376
2007,359.6594,350.32318,362.6325,363.18286,358.02783,363.39047,358.8067,365.0,266.55295,352.92404,365.0,365.0,365.0,277.4168,363.18307,365.0,365.0,362.2664,354.69617,364.13092,349.21082,364.20422,365.0,355.27774,365.0,312.07617,365.0,365.0,351.9931,365.0,355.8869,364.52597,292.10074,364.38376,362.0269,365.0,365.0,358.46756,364.69977,365.0,365.0,365.0,361.07434,364.37958,365.0,361.54388,359.6637,365.0,365.0,364.24155,360.38922,364.28424,350.9232,365.0,365.0,355.9957,317.84592,359.9893,362.24368,358.00763,365.0,360.3492,365.0,353.27655,348.22675,349.4498,365.0,300.9238,361.69876
2008,361.32007,361.92572,366.0,366.0,365.51996,324.7912,359.8837,366.0,366.0,366.0,364.69168,366.0,366.0,365.9368,365.28424,344.3657,328.4885,360.3112,366.0,366.0,323.60004,363.57617,366.0,353.61963,366.0,366.0,366.0,363.69302,359.8327,363.6325,312.60065,363.7246,215.04814,366.0,366.0,366.0,365.46277,365.7946,282.24945,344.699,366.0,365.3719,366.0,350.6679,366.0,365.11908,366.0,363.2471,345.18005,364.30927,361.81757,366.0,361.20996,361.59537,366.0,366.0,336.525,366.0,366.0,356.28146,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,289.79825
2009,365.0,365.0,365.0,340.48712,336.02023,365.0,361.4789,352.2094,365.0,365.0,363.23816,361.34912,354.11813,365.0,307.8434,347.38672,365.0,365.0,365.0,359.1088,365.0,361.63434,365.0,354.59708,359.15076,365.0,363.97293,365.0,364.19412,362.2066,365.0,365.0,365.0,362.5224,300.23788,363.66528,365.0,316.6233,365.0,365.0,365.0,365.0,346.78918,365.0,347.3663,348.4086,364.00452,365.0,365.0,364.921,365.0,365.0,365.0,360.4302,356.7413,360.94974,365.0,354.98004,357.402,365.0,365.0,355.53134,365.0,365.0,365.0,359.32904,365.0,346.57617,338.45068
2010,364.4504,320.63034,361.14224,365.0,301.86826,321.99573,362.5224,334.90097,354.63736,363.23816,351.9712,364.11612,357.53455,364.58917,357.73236,365.0,365.0,365.0,365.0,365.0,353.43314,362.1161,365.0,365.0,364.13678,363.27765,356.034,363.38828,362.137,365.0,365.0,365.0,365.0,365.0,365.0,364.7472,365.0,361.64148,365.0,363.37247,361.5671,365.0,365.0,365.0,343.48776,324.23764,364.5045,365.0,365.0,365.0,365.0,364.1098,363.94797,304.14145,347.11673,351.1487,365.0,360.45834,364.90518,365.0,362.96286,365.0,365.0,361.7516,365.0,344.525,364.68594,362.91425,364.1756
2011,345.68344,361.09088,365.0,365.0,364.51016,360.464,363.0312,362.79767,364.90518,343.7813,364.3142,359.16385,365.0,363.6727,360.64252,365.0,360.25217,363.50287,346.5813,365.0,365.0,360.65042,361.34912,365.0,362.5824,365.0,361.16486,365.0,365.0,269.0354,365.0,326.96378,363.8781,365.0,365.0,365.0,365.0,365.0,364.11514,364.8894,365.0,365.0,365.0,365.0,363.10385,345.88892,359.3841,365.0,362.6325,365.0,365.0,365.0,347.2901,329.90494,365.0,365.0,365.0,365.0,365.0,344.4447,365.0,365.0,364.58917,363.34085,365.0,365.0,360.265,365.0,365.0
2012,366.0,337.09366,361.06232,352.83804,364.6095,365.79425,366.0,352.5533,366.0,357.03815,366.0,364.9413,366.0,346.86102,366.0,366.0,366.0,318.8923,366.0,362.54895,363.15378,362.2393,366.0,364.78305,364.2932,366.0,366.0,366.0,366.0,366.0,366.0,362.9035,324.17053,366.0,366.0,366.0,366.0,361.60577,346.03186,366.0,360.9216,365.7252,366.0,361.09985,309.09647,366.0,361.10526,360.9265,362.42123,363.37698,364.0179,366.0,366.0,351.90308,361.5403,360.05374,366.0,360.93588,365.11514,355.50305,366.0,366.0,363.4402,366.0,366.0,349.5052,361.95096,361.76053,366.0
2013,292.34576,365.0,329.50977,350.24585,365.0,365.0,365.0,362.58978,364.66965,365.0,365.0,361.201,348.0134,357.87946,365.0,365.0,363.626,269.0,365.0,362.74216,317.4254,360.8207,356.2458,365.0,358.33395,363.13544,362.535,346.8407,350.2445,365.0,360.20526,359.76868,363.40408,365.0,364.14673,352.50516,365.0,363.12802,365.0,365.0,365.0,365.0,365.0,347.0519,365.0,360.29514,365.0,365.0,365.0,365.0,365.0,365.0,365.0,302.5042,365.0,347.2208,365.0,362.4876,365.0,365.0,365.0,365.0,362.7088,356.14407,356.26645,365.0,363.6885,365.0,365.0
2014,365.0,362.09906,365.0,352.22034,352.04172,362.52682,365.0,357.2594,365.0,365.0,365.0,359.9268,365.0,363.62527,351.2042,358.07108,363.66528,363.7517,358.9782,365.0,358.84024,312.4177,365.0,365.0,354.4572,334.87943,288.9628,335.31638,354.4931,364.40512,305.03616,365.0,362.21835,364.06772,364.3287,364.00192,365.0,326.8618,365.0,365.0,364.15027,365.0,365.0,349.07703,365.0,347.69485,362.2418,362.96286,364.08353,276.27933,360.23212,360.71048,365.0,326.39023,357.89752,365.0,365.0,365.0,364.27313,365.0,353.6952,363.34085,365.0,365.0,365.0,365.0,338.7073,363.71866,365.0
2015,363.5305,365.0,365.0,363.23895,349.26544,358.06177,365.0,365.0,365.0,365.0,365.0,308.3247,365.0,361.03583,361.30078,361.0156,362.97745,365.0,338.54156,365.0,365.0,365.0,362.86682,365.0,365.0,365.0,356.88477,289.66144,362.137,362.15576,358.7234,316.4212,355.8644,365.0,355.6388,365.0,301.1782,339.5738,363.66528,365.0,363.70428,355.53403,365.0,336.2235,365.0,365.0,365.0,365.0,362.62488,365.0,365.0,312.48132,348.10416,365.0,363.341,259.2482,365.0,349.27948,361.10815,359.34378,365.0,365.0,360.63153,362.84497,365.0,365.0,326.3048,357.56534,270.47934
