year,ACCESS1-0_rcp45_r1i1p1-longest_run_tmax_abv,ACCESS1-0_rcp85_r1i1p1-longest_run_tmax_abv,bcc-csm1-1_rcp26_r1i1p1-longest_run_tmax_abv,bcc-csm1-1_rcp45_r1i1p1-longest_run_tmax_abv,bcc-csm1-1_rcp60_r1i1p1-longest_run_tmax_abv,bcc-csm1-1_rcp85_r1i1p1-longest_run_tmax_abv,BNU-ESM_rcp45_r1i1p1-longest_run_tmax_abv,BNU-ESM_rcp85_r1i1p1-longest_run_tmax_abv,CanESM2_rcp26_r1i1p1-longest_run_tmax_abv,CanESM2_rcp45_r1i1p1-longest_run_tmax_abv,CanESM2_rcp85_r1i1p1-longest_run_tmax_abv,CCSM4_rcp26_r1i1p1-longest_run_tmax_abv,CCSM4_rcp45_r1i1p1-longest_run_tmax_abv,CCSM4_rcp60_r1i1p1-longest_run_tmax_abv,CCSM4_rcp85_r1i1p1-longest_run_tmax_abv,CESM1-BGC_rcp45_r1i1p1-longest_run_tmax_abv,CESM1-BGC_rcp85_r1i1p1-longest_run_tmax_abv,CNRM-CM5_rcp45_r1i1p1-longest_run_tmax_abv,CNRM-CM5_rcp85_r1i1p1-longest_run_tmax_abv,CSIRO-Mk3-6-0_rcp26_r1i1p1-longest_run_tmax_abv,CSIRO-Mk3-6-0_rcp45_r1i1p1-longest_run_tmax_abv,CSIRO-Mk3-6-0_rcp85_r1i1p1-longest_run_tmax_abv,GFDL-CM3_rcp26_r1i1p1-longest_run_tmax_abv,GFDL-CM3_rcp60_r1i1p1-longest_run_tmax_abv,GFDL-CM3_rcp85_r1i1p1-longest_run_tmax_abv,GFDL-ESM2G_rcp26_r1i1p1-longest_run_tmax_abv,GFDL-ESM2G_rcp45_r1i1p1-longest_run_tmax_abv,GFDL-ESM2G_rcp60_r1i1p1-longest_run_tmax_abv,GFDL-ESM2G_rcp85_r1i1p1-longest_run_tmax_abv,GFDL-ESM2M_rcp26_r1i1p1-longest_run_tmax_abv,GFDL-ESM2M_rcp45_r1i1p1-longest_run_tmax_abv,GFDL-ESM2M_rcp60_r1i1p1-longest_run_tmax_abv,GFDL-ESM2M_rcp85_r1i1p1-longest_run_tmax_abv,inmcm4_rcp45_r1i1p1-longest_run_tmax_abv,inmcm4_rcp85_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-LR_rcp26_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-LR_rcp45_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-LR_rcp60_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-LR_rcp85_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-MR_rcp26_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-MR_rcp45_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-MR_rcp60_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-MR_rcp85_r1i1p1-longest_run_tmax_abv,MIROC-ESM-CHEM_rcp26_r1i1p1-longest_run_tmax_abv,MIROC-ESM-CHEM_rcp45_r1i1p1-longest_run_tmax_abv,MIROC-ESM-CHEM_rcp60_r1i1p1-longest_run_tmax_abv,MIROC-ESM-CHEM_rcp85_r1i1p1-longest_run_tmax_abv,MIROC-ESM_rcp26_r1i1p1-longest_run_tmax_abv,MIROC-ESM_rcp45_r1i1p1-longest_run_tmax_abv,MIROC-ESM_rcp60_r1i1p1-longest_run_tmax_abv,MIROC-ESM_rcp85_r1i1p1-longest_run_tmax_abv,MIROC5_rcp26_r1i1p1-longest_run_tmax_abv,MIROC5_rcp45_r1i1p1-longest_run_tmax_abv,MIROC5_rcp60_r1i1p1-longest_run_tmax_abv,MIROC5_rcp85_r1i1p1-longest_run_tmax_abv,MPI-ESM-LR_rcp26_r1i1p1-longest_run_tmax_abv,MPI-ESM-LR_rcp45_r1i1p1-longest_run_tmax_abv,MPI-ESM-LR_rcp85_r1i1p1-longest_run_tmax_abv,MPI-ESM-MR_rcp26_r1i1p1-longest_run_tmax_abv,MPI-ESM-MR_rcp45_r1i1p1-longest_run_tmax_abv,MPI-ESM-MR_rcp85_r1i1p1-longest_run_tmax_abv,MRI-CGCM3_rcp26_r1i1p1-longest_run_tmax_abv,MRI-CGCM3_rcp45_r1i1p1-longest_run_tmax_abv,MRI-CGCM3_rcp60_r1i1p1-longest_run_tmax_abv,MRI-CGCM3_rcp85_r1i1p1-longest_run_tmax_abv,NorESM1-M_rcp26_r1i1p1-longest_run_tmax_abv,NorESM1-M_rcp45_r1i1p1-longest_run_tmax_abv,NorESM1-M_rcp60_r1i1p1-longest_run_tmax_abv,NorESM1-M_rcp85_r1i1p1-longest_run_tmax_abv
2006,0.0034171303,0.09535723,0.0,0.0,0.0034171303,0.0034171303,0.0,0.0034171303,0.0069822315,0.0,0.0,0.0,0.11243356,0.0,0.0,0.49782658,0.0,0.0034171303,0.0,0.0,0.0,0.0919401,0.0,0.0,0.0,0.0,0.3447666,1.1202477,0.0,1.7577521,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.102191485,0.10901643,0.3709449,0.017076332,0.0034171303,0.0,1.4549469,0.0068342607,0.0,0.0034171303,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.017076332,0.05186995,0.0068342607,0.0,0.0,0.09535723,0.0,0.0034171303,0.0,0.0034171303,0.0034171303,0.11243356,0.0,0.0068342607
2007,0.09535723,0.0,0.0,0.0,0.45962515,0.41963035,0.0,0.0068342607,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0068342607,0.3876636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,1.3803278,0.0034171303,0.0068342607,0.8802411,0.0,0.0,0.0,0.0,0.8617986,0.50301564,0.0,2.5038276,0.0034171303,0.09535723,0.0068342607,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4611048,0.0,0.0034171303,0.0034171303,0.0,0.0,0.0034171303,0.0,0.09535723
2008,0.636138,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0034171303,0.0,0.0034171303,0.0034171303,0.0,0.0,0.0034171303,0.0,0.0,0.020493463,0.0,0.0,0.0,0.0,0.0034171303,0.4892811,0.0,0.0034171303,0.09892233,0.0034171303,0.0034171303,0.0,0.10901643,0.0034171303,0.0919401,1.6240805,0.18729733,0.0,0.0,0.017076332,0.0919401,0.0034171303,0.0,0.0034171303,0.09877436,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.8152106,0.1091644,0.0,1.4797082E-4,0.0,0.0,0.19404693,0.0,0.0034171303,0.0,0.0,0.09877436,0.0
2009,0.28242192,0.0,0.09877436,0.09535723,0.0,0.020493463,0.0,0.0034171303,0.0,0.14381005,0.017076332,0.0034171303,0.0,0.0034171303,0.0068342607,0.0068342607,0.0,0.0,0.0,0.0,0.4659445,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.6603491,0.05528708,0.0068342607,0.0034171303,0.0,0.0,0.0,0.0919401,0.24491262,0.0034171303,0.020493463,0.0,2.3010857,0.0,0.0,0.0919401,0.0919401,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0034171303,0.036156755,0.0,0.0,0.0,0.0,0.0034171303,0.010251391,0.0068342607,0.0,0.0,0.0,0.0,0.0068342607,0.0034171303
2010,0.0,0.11243356,0.0,0.0,0.0,0.0,0.020493463,0.0034171303,0.20437366,0.0034171303,0.102191485,0.0068342607,0.0034171303,0.0919401,0.0034171303,0.0,0.0,0.0,0.0,0.09535723,0.0034171303,0.24053042,0.0,0.0,1.8358529,0.0,0.20437366,0.0,0.0,0.0,0.0,1.0238258,0.0,0.0,1.5180563,0.37436202,0.0034171303,0.0,0.0034171303,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.210119,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0919401,0.0034171303,0.6327209,0.102191485,0.0,0.0034171303,0.43305692,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0
2011,0.599456,1.7726662,0.0,0.0068342607,0.10901643,0.0068342607,0.099574596,0.0,0.0068342607,0.40083346,0.0034171303,0.0,0.0,0.053233087,0.7932084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2653456,0.0034171303,0.84437567,0.0,0.37792712,0.0,0.0,0.0,0.0,0.0068342607,0.023910593,0.31721556,0.034152664,0.0034171303,0.47996134,0.0,0.013668521,0.017076332,0.5283674,0.35728568,0.0,0.0,0.0034171303,0.0034171303,0.0,0.010251391,0.0034171303,0.0,0.3535956,0.0034171303,0.0,0.0,0.0,0.0034171303,0.0034171303,0.0034171303,0.0034171303,0.0,0.0,0.017076332,0.0,0.0,0.0,0.0,0.53780925
2012,0.14175606,0.0034171303,0.0034171303,0.0,0.16088638,0.0,0.0,2.546787,0.0034171303,0.4093036,0.37792712,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0068342607,0.0,0.0034171303,0.0,0.5113378,0.0,0.0,0.47177452,0.0,0.18835276,0.0034171303,0.0,0.0,1.120509,0.0,0.06552915,0.020493463,0.102191485,0.0,0.020493463,0.15405212,0.8232027,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.36085078,0.0,0.0,0.0,0.0,0.0068342607,0.09535723,0.0,0.0068342607,0.0034171303,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.1838802,0.442452,0.09535723
2013,0.09892233,0.020641433,0.48886016,0.017076332,0.115850694,0.5700327,0.0034171303,0.0,0.0,1.4352759,1.0903169,0.23551752,0.0068342607,0.0,0.0068342607,0.0,0.0,0.0,0.0,0.0,0.0068342607,0.0,0.010251391,0.3811963,0.16224952,0.0,0.0,0.4629455,0.0,0.38802123,0.0,0.0,0.0,0.0034171303,1.1270099,0.0,2.846605,0.0,0.0,0.36753708,0.0,0.0,1.6660482,0.023910593,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.65643567,0.0,0.0,0.0,0.70452845,0.017076332,0.2689107,0.0,0.017076332,0.098689705,0.0,0.0,0.6338309,0.0,0.0,0.17682263,0.010251391,0.44586915,0.09877436
2014,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023910593,0.44928628,0.0,0.0,0.0,0.0034171303,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0068342607,0.0034171303,0.0,0.0034171303,0.36085078,0.013668521,0.0,0.0,3.0638301,0.11926782,0.0034171303,0.08161337,0.0,0.3709449,0.18729733,0.09883767,0.0034171303,0.0,0.0,0.0,0.35743368,1.5466949,0.38637555,0.0034171303,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.30656514,0.0,0.0,0.0,0.0068342607,0.017076332,0.0,0.0034171303,0.0,0.0035651012,0.57356715,0.40083346,0.023910593,0.0,0.0,0.09877436,0.88433796,0.0034171303,0.0
2015,0.11243356,0.09535723,0.0034171303,0.0,0.7759175,0.0,0.4229628,0.9016783,0.19086243,0.0034171303,0.3257062,0.0068342607,0.0,0.45902276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020493463,1.5997429,0.0,1.2138666,0.0,0.0,0.0,0.0,0.0068342607,0.0,0.0034171303,0.0,0.0,0.0034171303,0.0,0.0,0.49357378,0.0,0.0034171303,0.0,0.0,0.09535723,0.0,0.0919401,0.0068342607,0.0,0.0,0.0,0.0034171303,0.0,0.0034171303,0.0034171303,0.020493463,0.0,0.4843541,1.058148,0.37777916,0.0,0.0,0.4193977,0.0,0.0034171303,0.0034171303,0.0034171303,0.0034171303,0.21858916
2016,1.3298084,0.0,0.5064328,0.0,0.0,0.037569795,0.32760558,0.0068342607,0.0034171303,0.0,0.0035651012,0.0,0.0,0.0034171303,0.0034171303,0.673004,0.39741632,0.0,0.0,0.0,0.0,0.0034171303,0.0034171303,0.0,0.61585754,0.45771646,0.62053204,0.0,0.0,0.6808711,0.0,0.010251391,0.19048183,0.0,0.0,0.0,0.3607028,1.1720661,0.08161337,0.41891405,0.2860717,1.4762964,0.0,0.0,0.5727109,0.0,0.0034171303,0.0,0.0034171303,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.98559785,0.3366201,0.62974936,0.0034171303,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0,1.8087913,0.0919401
2017,0.23224837,0.23233302,1.2996312,0.1734055,0.0034171303,0.0034171303,0.20437366,0.41612855,0.0034171303,0.09535723,0.0,0.0034171303,0.0,0.0,0.0,0.9255422,0.0034171303,0.46469867,0.0,0.0034171303,0.09535723,0.023910593,0.0,0.0034171303,0.22578229,3.083968,0.0,0.0034171303,0.25624362,2.0352921,0.023910593,0.0,0.0,0.0,1.4797082E-4,0.0,0.0034171303,0.020493463,0.0,0.0,0.0034171303,0.0034171303,0.0,0.0,0.46237943,0.0,0.0034171303,0.0,0.0,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.09877436,1.3361392,0.0951246,0.0,0.0034171303,0.0,0.0,0.0,0.0,0.0034171303,0.0035651012,0.0,0.35743368,0.26876274
2018,0.39181894,0.4664501,0.0,0.0034171303,0.0,0.36411995,0.2790048,2.164187,0.0,0.19413158,0.59110564,0.27217984,0.0034171303,0.023910593,0.4193977,0.0034171303,0.0034171303,0.0,0.0034171303,0.0,0.0,0.0,0.40710166,0.0034171303,0.3123105,1.8079106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034171303,0.2653456,0.0068342607,0.2860717,0.020493463,0.3873027,0.0,0.0,0.22828425,0.0,0.0068342607,0.0,0.0,0.0,0.0,0.0034171303,0.0,0.4193977,0.0,0.5409755,0.17355347,0.09535723,0.29289663,0.013816493,0.0,0.09877436,0.28242192,0.0,0.0,0.0,0.0034171303,0.010251391,0.0,0.28242192,0.23551752
