year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2007,0.000,0.000,0.603,0.000,0.000,0.000,0.000,0.003,0.000,0.000
2008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.000,0.000
2011,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.034,0.000,0.000
2012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000
2013,0.000,0.000,0.558,0.000,0.000,0.000,0.000,0.003,0.000,0.000
2014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.340,0.000,0.000
2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.000,0.000
2016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000
2019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.652,0.000,0.000
2020,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.020,0.000,0.000
2021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.439,0.000,0.000
2022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.000
2023,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.046,0.000,0.000
2024,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.003,0.000,0.000
2025,0.000,0.000,0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026,0.000,0.000,0.374,0.000,0.000,0.000,0.000,0.406,0.000,0.000
2027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.518,0.000,0.000
2028,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.629,0.000,0.003
2029,0.000,0.000,0.885,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2030,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.317,0.000,0.003
2031,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.000,0.000
2032,0.000,0.000,0.708,0.000,0.004,0.000,0.000,0.187,0.000,0.000
2033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.321,0.000,0.000
2034,0.000,0.000,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2035,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2036,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.033,0.000,0.020
2037,0.000,0.000,0.228,0.000,0.000,0.000,0.000,0.017,0.000,0.003
2038,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.191,0.000,0.000
2039,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.668,0.000,0.007
2040,0.000,0.000,0.098,0.000,0.009,0.000,0.000,0.092,0.000,0.007
2041,0.000,0.000,0.521,0.000,0.000,0.000,0.000,0.573,0.000,0.017
2042,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.027,0.000,0.007
2043,0.000,0.000,0.007,0.000,0.001,0.000,0.000,0.087,0.000,0.017
2044,0.000,0.000,0.048,0.000,0.000,0.000,0.000,4.264,0.000,0.000
2045,0.000,0.000,0.014,0.000,0.007,0.000,0.000,0.420,0.000,0.007
2046,0.000,0.000,0.725,0.000,0.004,0.000,0.000,0.394,0.000,0.003
2047,0.000,0.000,1.066,0.000,0.000,0.000,0.000,0.273,0.000,0.010
2048,0.000,0.000,0.123,0.000,0.011,0.000,0.000,3.046,0.000,0.135
2049,0.000,0.000,0.741,0.000,0.007,0.000,0.000,0.296,0.000,0.036
2050,0.000,0.000,0.425,0.000,0.009,0.000,0.000,0.419,0.000,0.003
2051,0.000,0.000,0.020,0.000,0.008,0.000,0.000,0.787,0.000,0.003
2052,0.000,0.000,0.262,0.000,0.009,0.000,0.000,0.717,0.000,0.003
2053,0.000,0.000,0.585,0.000,0.003,0.000,0.000,0.539,0.000,0.298
2054,0.000,0.000,0.017,0.000,0.000,0.000,0.000,2.564,0.000,0.357
2055,0.000,0.000,0.105,0.000,0.031,0.000,0.000,2.021,0.000,0.099
2056,0.000,0.000,0.480,0.000,0.053,0.003,0.000,3.840,0.000,0.420
2057,0.000,0.000,0.014,0.000,0.004,0.000,0.000,1.176,0.000,0.102
2058,0.000,0.000,0.282,0.000,0.018,0.003,0.000,2.754,0.000,0.439
2059,0.000,0.000,3.932,0.000,0.253,0.000,0.000,1.420,0.000,0.686
2060,0.000,0.000,0.416,0.000,0.100,0.003,0.000,3.028,0.000,1.797
2061,0.000,0.000,0.381,0.000,0.003,0.003,0.000,3.768,0.000,0.456
2062,0.000,0.000,3.238,0.000,0.022,0.000,0.000,2.246,0.000,0.443
2063,0.000,0.000,0.269,0.000,0.022,0.003,0.000,1.873,0.000,0.426
2064,0.000,0.000,1.252,0.000,0.169,0.000,0.000,3.303,0.000,1.615
2065,0.000,0.000,0.048,0.000,0.003,0.003,0.000,2.575,0.000,0.837
2066,0.000,0.000,1.489,0.000,0.215,0.003,0.000,1.554,0.000,0.142
2067,0.000,0.000,0.500,0.000,0.023,0.003,0.000,7.872,0.000,0.427
2068,0.000,0.000,0.250,0.000,0.028,0.078,0.000,7.463,0.000,0.582
2069,0.000,0.000,0.099,0.000,0.002,0.017,0.000,8.736,0.000,3.674
2070,0.000,0.000,2.090,0.000,0.408,0.197,0.000,9.873,0.000,1.605
2071,0.000,0.000,0.099,0.000,0.003,0.010,0.000,11.895,0.000,2.541
2072,0.000,0.000,0.440,0.000,0.073,0.624,0.000,7.157,0.000,4.529
2073,0.000,0.000,0.416,0.000,0.003,0.136,0.000,11.164,0.000,5.995
2074,0.000,0.000,0.470,0.000,0.017,0.408,0.000,3.725,0.003,2.235
2075,0.000,0.000,0.511,0.000,0.267,0.106,0.000,17.704,0.000,1.844
2076,0.000,0.000,0.098,0.000,0.012,0.177,0.000,10.172,0.003,2.277
2077,0.000,0.000,0.593,0.000,0.522,0.355,0.000,6.078,0.000,3.953
2078,0.000,0.000,0.550,0.000,0.048,0.548,0.000,5.561,0.000,1.915
2079,0.000,0.000,0.211,0.000,0.034,0.282,0.000,18.325,0.000,4.077
2080,0.000,0.000,2.577,0.000,0.309,0.191,0.000,6.263,0.000,3.079
2081,0.000,0.000,0.007,0.000,0.003,0.438,0.000,10.552,0.000,8.245
2082,0.000,0.000,0.262,0.000,0.188,0.269,0.000,13.076,0.000,3.848
2083,0.002,0.000,1.172,0.000,0.468,0.411,0.000,20.771,0.033,4.538
2084,0.000,0.000,1.088,0.000,0.098,0.092,0.000,7.502,0.000,6.845
2085,0.000,0.000,1.532,0.000,0.042,1.000,0.000,15.138,0.003,7.612
2086,0.000,0.000,1.728,0.000,0.493,1.184,0.000,15.343,0.000,9.651
2087,0.000,0.000,1.340,0.000,0.003,1.223,0.000,17.664,0.007,5.769
2088,0.000,0.000,1.074,0.000,0.083,3.080,0.000,26.630,0.003,9.275
2089,0.000,0.000,0.416,0.000,0.005,0.518,0.000,15.227,0.000,7.277
2090,0.000,0.000,0.690,0.000,0.134,2.805,0.000,26.765,0.000,19.190
2091,0.000,0.000,1.166,0.000,0.137,1.072,0.003,35.323,0.027,9.413
2092,0.000,0.000,1.087,0.000,0.192,1.508,0.000,11.413,0.003,8.311
2093,0.000,0.000,1.228,0.000,0.335,1.898,0.000,15.568,0.007,9.626
2094,0.000,0.000,4.062,0.000,0.099,3.917,0.000,42.912,0.346,21.563
2095,0.000,0.000,1.986,0.000,0.147,3.074,0.092,18.413,0.286,11.453
2096,0.000,0.000,0.809,0.000,0.003,2.763,0.003,28.747,0.020,19.627
2097,0.000,0.000,0.256,0.000,0.015,1.619,0.000,35.484,0.003,18.969
2098,0.000,0.000,3.183,0.000,0.108,1.683,0.000,26.033,0.007,12.111
2099,0.000,0.000,1.729,0.000,0.117,2.649,0.136,19.152,0.430,15.932
