year,median,min,max,p10,p90
1950,365.000,354.900,365.000,360.446,365.000
1951,365.000,292.950,365.000,355.800,365.000
1952,366.000,304.975,366.000,357.039,366.000
1953,365.000,264.674,365.000,357.182,365.000
1954,365.000,293.519,365.000,324.308,365.000
1955,365.000,308.911,365.000,342.545,365.000
1956,366.000,360.425,366.000,362.492,366.000
1957,365.000,355.811,365.000,363.151,365.000
1958,365.000,322.106,365.000,356.010,365.000
1959,365.000,334.106,365.000,360.836,365.000
1960,366.000,283.666,366.000,355.379,366.000
1961,365.000,311.083,365.000,356.631,365.000
1962,365.000,285.501,365.000,342.825,365.000
1963,365.000,332.680,365.000,357.575,365.000
1964,366.000,276.398,366.000,347.561,366.000
1965,363.988,342.290,365.000,357.615,365.000
1966,365.000,293.062,365.000,347.351,365.000
1967,364.177,216.682,365.000,349.537,365.000
1968,365.920,280.914,366.000,338.856,366.000
1969,365.000,326.718,365.000,351.898,365.000
1970,365.000,316.166,365.000,342.070,365.000
1971,365.000,323.660,365.000,361.697,365.000
1972,364.831,295.527,366.000,327.067,366.000
1973,364.747,326.811,365.000,351.767,365.000
1974,363.499,327.023,365.000,356.444,365.000
1975,365.000,288.997,365.000,342.331,365.000
1976,365.764,307.907,366.000,340.634,366.000
1977,365.000,349.255,365.000,360.116,365.000
1978,365.000,309.719,365.000,357.525,365.000
1979,365.000,327.607,365.000,353.844,365.000
1980,366.000,305.725,366.000,339.459,366.000
1981,365.000,339.717,365.000,357.652,365.000
1982,363.246,282.000,365.000,309.181,365.000
1983,365.000,321.677,365.000,345.909,365.000
1984,366.000,286.045,366.000,359.207,366.000
1985,365.000,271.232,365.000,311.533,365.000
1986,365.000,322.815,365.000,347.368,365.000
1987,363.293,307.096,365.000,343.344,365.000
1988,365.136,268.054,366.000,328.538,366.000
1989,364.029,304.312,365.000,357.255,365.000
1990,365.000,318.965,365.000,333.943,365.000
1991,365.000,309.145,365.000,340.588,365.000
1992,364.513,259.618,366.000,348.726,366.000
1993,365.000,351.583,365.000,360.595,365.000
1994,365.000,292.848,365.000,351.580,365.000
1995,365.000,318.792,365.000,334.869,365.000
1996,365.529,308.875,366.000,357.044,366.000
1997,364.400,325.258,365.000,354.101,365.000
1998,363.404,340.048,365.000,350.090,365.000
1999,365.000,339.941,365.000,358.723,365.000
2000,366.000,351.718,366.000,359.420,366.000
2001,365.000,275.321,365.000,326.613,365.000
2002,363.899,281.079,365.000,334.181,365.000
2003,365.000,332.253,365.000,340.215,365.000
2004,364.073,314.471,366.000,342.989,366.000
