year,median,min,max,p10,p90
1950,0.380,0.003,2.099,0.003,1.145
1951,0.561,0.003,2.770,0.003,1.959
1952,0.316,0.000,2.298,0.003,1.388
1953,0.876,0.000,2.776,0.265,1.718
1954,0.286,0.000,3.312,0.007,1.444
1955,0.383,0.000,2.731,0.003,1.176
1956,0.208,0.000,2.491,0.003,1.848
1957,0.529,0.000,3.933,0.000,2.319
1958,0.345,0.000,4.057,0.003,1.520
1959,0.374,0.000,6.235,0.003,1.722
1960,0.338,0.000,4.648,0.000,1.069
1961,0.614,0.000,4.517,0.003,1.478
1962,0.428,0.000,5.522,0.024,1.503
1963,0.578,0.003,2.552,0.003,1.295
1964,0.378,0.000,4.200,0.003,2.554
1965,0.191,0.000,2.960,0.000,1.896
1966,0.381,0.000,3.138,0.003,1.565
1967,0.447,0.000,2.283,0.003,1.438
1968,0.453,0.000,3.515,0.003,1.326
1969,0.123,0.000,2.103,0.003,0.822
1970,0.682,0.003,2.515,0.007,1.853
1971,0.401,0.000,4.023,0.003,1.927
1972,0.357,0.000,1.200,0.000,0.570
1973,0.437,0.003,2.019,0.007,0.787
1974,0.497,0.000,3.419,0.003,2.226
1975,0.408,0.000,2.888,0.003,1.635
1976,0.361,0.000,1.435,0.000,1.409
1977,0.852,0.000,2.990,0.004,1.817
1978,0.487,0.000,1.786,0.000,1.623
1979,0.656,0.000,3.145,0.003,1.751
1980,0.319,0.003,1.948,0.003,0.937
1981,0.949,0.003,3.463,0.119,2.285
1982,0.364,0.003,2.098,0.003,1.668
1983,0.102,0.000,2.179,0.003,0.929
1984,0.106,0.000,4.085,0.000,2.016
1985,0.518,0.003,1.388,0.020,1.083
1986,0.693,0.003,6.206,0.215,2.735
1987,0.541,0.000,4.931,0.007,3.147
1988,0.296,0.003,5.600,0.007,1.838
1989,0.597,0.000,3.887,0.007,2.006
1990,0.984,0.003,4.616,0.078,2.598
1991,0.779,0.003,3.889,0.085,3.688
1992,0.116,0.000,2.141,0.003,1.605
1993,0.420,0.007,1.714,0.112,1.368
1994,0.589,0.069,5.819,0.116,2.987
1995,0.610,0.003,3.004,0.017,2.879
1996,0.482,0.003,4.157,0.003,1.541
1997,1.054,0.003,4.724,0.460,1.371
1998,0.402,0.000,3.659,0.003,1.849
1999,1.164,0.010,5.463,0.675,3.267
2000,1.340,0.200,9.945,0.557,3.211
2001,1.264,0.000,4.765,0.235,2.630
2002,0.773,0.007,4.630,0.010,3.795
2003,1.547,0.354,3.973,0.454,3.344
2004,2.071,0.004,7.431,0.283,3.432
