year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,0.000,0.000,0.323,0.000,0.104,0.000,0.000,0.594,0.000,0.338
2007,0.016,0.000,0.773,0.000,0.101,0.053,0.000,1.005,0.000,0.176
2008,0.035,0.000,0.679,0.000,0.425,0.013,0.000,2.055,0.000,0.990
2009,0.000,0.000,0.305,0.000,0.238,0.016,0.000,1.394,0.000,0.276
2010,0.007,0.000,0.213,0.000,0.132,0.055,0.000,0.749,0.000,0.436
2011,0.015,0.000,0.452,0.000,0.199,0.016,0.000,0.208,0.000,0.069
2012,0.008,0.000,0.536,0.000,0.169,0.032,0.000,0.526,0.000,0.200
2013,0.000,0.000,1.112,0.000,0.495,0.000,0.000,0.298,0.000,0.080
2014,0.007,0.000,0.930,0.000,0.609,0.055,0.000,0.482,0.000,0.210
2015,0.023,0.000,0.851,0.000,0.466,0.013,0.000,1.822,0.000,0.292
2016,0.035,0.000,0.779,0.000,0.195,0.000,0.000,0.455,0.000,0.245
2017,0.013,0.000,0.773,0.000,0.363,0.016,0.000,0.984,0.000,0.541
2018,0.035,0.000,1.147,0.000,0.214,0.055,0.000,0.326,0.000,0.124
2019,0.000,0.000,0.986,0.000,0.257,0.029,0.000,0.765,0.000,0.385
2020,0.016,0.000,1.016,0.000,0.199,0.016,0.000,0.453,0.000,0.260
2021,0.000,0.000,0.850,0.000,0.119,0.000,0.000,0.448,0.000,0.100
2022,0.055,0.000,0.876,0.000,0.725,0.027,0.000,0.482,0.000,0.272
2023,0.016,0.000,0.431,0.000,0.282,0.032,0.000,1.258,0.000,0.452
2024,0.055,0.000,0.771,0.000,0.671,0.016,0.000,0.532,0.000,0.147
2025,0.000,0.000,0.284,0.000,0.022,0.016,0.000,0.629,0.000,0.108
2026,0.016,0.000,1.106,0.000,0.476,0.000,0.000,0.703,0.000,0.224
2027,0.030,0.000,1.265,0.000,0.156,0.055,0.000,0.344,0.000,0.165
2028,0.000,0.000,0.203,0.000,0.097,0.055,0.000,0.847,0.000,0.452
2029,0.020,0.000,1.064,0.000,0.330,0.039,0.000,1.020,0.000,0.536
2030,0.003,0.000,0.293,0.000,0.090,0.055,0.000,0.951,0.000,0.357
2031,0.000,0.000,1.101,0.000,0.190,0.000,0.000,1.789,0.000,0.574
2032,0.016,0.000,1.122,0.000,0.555,0.055,0.000,1.302,0.000,0.690
2033,0.024,0.000,0.541,0.000,0.359,0.069,0.000,0.962,0.000,0.818
2034,0.063,0.000,0.977,0.000,0.858,0.016,0.000,1.093,0.000,0.894
2035,0.016,0.000,1.499,0.000,0.427,0.000,0.000,1.692,0.000,0.447
2036,0.000,0.000,0.968,0.000,0.753,0.016,0.000,0.410,0.000,0.240
2037,0.098,0.000,0.819,0.000,0.446,0.016,0.000,0.648,0.000,0.331
2038,0.000,0.000,1.574,0.000,0.148,0.029,0.000,1.258,0.000,0.491
2039,0.070,0.000,0.938,0.000,0.779,0.000,0.000,1.084,0.000,0.748
2040,0.033,0.000,0.727,0.000,0.434,0.000,0.000,0.892,0.000,0.583
2041,0.050,0.000,1.209,0.000,0.250,0.053,0.000,1.511,0.000,0.606
2042,0.087,0.000,1.000,0.000,0.456,0.071,0.000,0.657,0.000,0.483
2043,0.023,0.000,1.993,0.000,0.276,0.055,0.000,0.970,0.000,0.586
2044,0.050,0.000,0.956,0.000,0.534,0.016,0.000,0.719,0.000,0.326
2045,0.016,0.000,1.056,0.000,0.335,0.016,0.000,1.411,0.000,0.158
2046,0.016,0.000,0.218,0.000,0.134,0.055,0.000,1.536,0.000,1.037
2047,0.035,0.000,0.915,0.000,0.250,0.039,0.000,0.654,0.000,0.268
2048,0.028,0.000,1.197,0.000,0.866,0.055,0.000,1.303,0.000,0.305
2049,0.043,0.000,1.461,0.000,0.455,0.071,0.000,1.061,0.000,0.925
2050,0.055,0.000,1.561,0.000,0.244,0.039,0.000,0.728,0.000,0.321
2051,0.028,0.000,0.638,0.000,0.510,0.039,0.000,0.855,0.000,0.313
2052,0.016,0.000,1.247,0.000,0.294,0.055,0.000,1.046,0.000,0.221
2053,0.042,0.000,1.493,0.000,0.680,0.077,0.000,0.901,0.000,0.616
2054,0.035,0.000,0.693,0.000,0.411,0.069,0.000,1.069,0.000,0.523
2055,0.032,0.000,0.822,0.000,0.338,0.055,0.000,0.959,0.000,0.462
2056,0.029,0.000,0.255,0.000,0.153,0.145,0.000,1.509,0.000,0.568
2057,0.043,0.000,1.259,0.000,0.807,0.016,0.000,0.827,0.000,0.564
2058,0.000,0.000,0.351,0.000,0.148,0.016,0.000,0.594,0.000,0.202
2059,0.000,0.000,1.175,0.000,0.405,0.100,0.000,0.857,0.000,0.573
2060,0.055,0.000,1.222,0.000,0.568,0.148,0.000,1.265,0.000,1.000
2061,0.015,0.000,0.934,0.000,0.493,0.055,0.000,1.022,0.000,0.771
2062,0.047,0.000,0.860,0.000,0.568,0.000,0.000,1.508,0.000,0.593
2063,0.028,0.000,1.505,0.000,0.650,0.043,0.000,1.392,0.000,0.774
2064,0.023,0.000,1.153,0.000,0.267,0.094,0.000,0.983,0.000,0.793
2065,0.000,0.000,0.780,0.000,0.609,0.000,0.000,0.487,0.000,0.127
2066,0.000,0.000,0.847,0.000,0.413,0.055,0.000,1.537,0.000,0.274
2067,0.016,0.000,0.234,0.000,0.117,0.016,0.000,0.586,0.000,0.412
2068,0.000,0.000,0.455,0.000,0.300,0.039,0.000,1.117,0.000,0.225
2069,0.028,0.000,0.644,0.000,0.315,0.071,0.000,1.418,0.016,0.889
2070,0.035,0.000,0.983,0.000,0.428,0.039,0.000,0.924,0.000,0.525
2071,0.055,0.000,1.027,0.000,0.351,0.039,0.000,0.750,0.000,0.552
2072,0.035,0.000,1.022,0.000,0.390,0.055,0.000,0.977,0.000,0.430
2073,0.062,0.000,0.617,0.000,0.343,0.071,0.000,1.639,0.000,0.348
2074,0.028,0.000,0.325,0.000,0.270,0.055,0.000,0.999,0.000,0.737
2075,0.035,0.000,0.542,0.000,0.486,0.016,0.000,0.596,0.000,0.478
2076,0.039,0.000,0.471,0.000,0.264,0.046,0.000,1.070,0.000,0.471
2077,0.039,0.000,0.485,0.000,0.251,0.094,0.000,0.694,0.016,0.560
2078,0.023,0.000,0.663,0.000,0.454,0.039,0.000,0.898,0.000,0.587
2079,0.008,0.000,1.415,0.000,0.692,0.071,0.000,1.266,0.000,0.343
2080,0.075,0.000,1.602,0.000,0.607,0.055,0.000,1.265,0.000,0.519
2081,0.078,0.000,1.000,0.000,0.558,0.169,0.000,1.006,0.000,0.904
2082,0.028,0.000,1.529,0.000,0.582,0.098,0.000,0.685,0.016,0.351
2083,0.084,0.000,0.954,0.000,0.636,0.116,0.000,1.098,0.000,0.921
2084,0.008,0.000,1.044,0.000,0.087,0.084,0.000,0.475,0.000,0.202
2085,0.043,0.000,1.015,0.000,0.409,0.222,0.000,1.288,0.000,0.693
2086,0.078,0.000,0.574,0.000,0.483,0.016,0.000,1.211,0.000,0.850
2087,0.008,0.000,0.593,0.000,0.144,0.084,0.000,0.851,0.000,0.644
2088,0.035,0.000,0.888,0.000,0.432,0.214,0.000,1.642,0.000,0.841
2089,0.092,0.000,1.249,0.000,0.371,0.079,0.000,1.022,0.000,0.442
2090,0.047,0.000,0.899,0.000,0.765,0.126,0.000,1.692,0.000,0.883
2091,0.157,0.000,0.979,0.012,0.435,0.124,0.000,0.833,0.000,0.647
2092,0.055,0.000,0.899,0.000,0.690,0.261,0.000,1.163,0.000,0.692
2093,0.055,0.000,0.604,0.000,0.301,0.055,0.000,2.728,0.000,0.512
2094,0.028,0.000,1.088,0.000,0.607,0.243,0.000,1.122,0.000,0.849
2095,0.016,0.000,0.804,0.000,0.257,0.055,0.000,0.450,0.000,0.409
2096,0.028,0.000,0.912,0.000,0.695,0.117,0.000,1.790,0.000,0.967
2097,0.086,0.000,1.161,0.000,0.306,0.055,0.000,1.838,0.000,0.781
2098,0.055,0.000,1.255,0.000,0.563,0.071,0.000,0.925,0.000,0.843
2099,0.032,0.000,1.056,0.000,0.934,0.254,0.000,1.562,0.000,0.865
