year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,0.124,0.000,3.073,0.000,1.694,0.042,0.000,1.495,0.000,0.338
2007,0.047,0.000,1.034,0.000,0.387,0.013,0.000,2.634,0.000,0.990
2008,0.029,0.000,1.917,0.000,1.479,0.016,0.000,2.435,0.000,0.971
2009,0.036,0.000,3.007,0.000,1.070,0.065,0.000,3.619,0.000,2.040
2010,0.047,0.000,1.811,0.000,0.681,0.016,0.000,1.667,0.000,0.753
2011,0.186,0.000,2.451,0.000,1.605,0.016,0.000,1.226,0.000,0.767
2012,0.049,0.000,4.434,0.000,0.999,0.056,0.000,1.168,0.000,1.099
2013,0.008,0.000,1.526,0.000,0.717,0.013,0.000,2.502,0.000,1.548
2014,0.013,0.000,0.716,0.000,0.249,0.000,0.000,1.125,0.000,0.581
2015,0.055,0.000,1.626,0.000,0.866,0.016,0.000,3.874,0.000,2.275
2016,0.054,0.000,1.788,0.000,0.818,0.148,0.000,1.464,0.000,1.045
2017,0.013,0.000,1.902,0.000,0.972,0.013,0.000,3.861,0.000,2.765
2018,0.015,0.000,1.522,0.000,1.350,0.013,0.000,3.166,0.000,0.362
2019,0.015,0.000,3.624,0.000,1.082,0.000,0.000,1.116,0.000,0.138
2020,0.013,0.000,3.045,0.000,1.423,0.027,0.000,4.846,0.000,1.258
2021,0.020,0.000,2.054,0.000,0.700,0.075,0.000,3.246,0.000,1.576
2022,0.034,0.000,3.992,0.000,1.406,0.027,0.000,1.451,0.000,1.030
2023,0.013,0.000,7.805,0.000,1.405,0.017,0.000,0.981,0.000,0.302
2024,0.013,0.000,2.652,0.000,1.589,0.013,0.000,2.911,0.000,0.572
2025,0.027,0.000,2.170,0.000,0.556,0.000,0.000,0.456,0.000,0.226
2026,0.028,0.000,2.199,0.000,0.603,0.027,0.000,0.857,0.000,0.168
2027,0.013,0.000,0.623,0.000,0.202,0.000,0.000,1.411,0.000,0.506
2028,0.014,0.000,1.798,0.000,0.744,0.013,0.000,6.572,0.000,1.575
2029,0.080,0.000,1.948,0.000,0.636,0.013,0.000,2.014,0.000,0.911
2030,0.000,0.000,1.205,0.000,0.221,0.013,0.000,2.048,0.000,0.388
2031,0.000,0.000,1.285,0.000,0.114,0.000,0.000,3.613,0.000,0.764
2032,0.020,0.000,1.515,0.000,0.424,0.000,0.000,2.967,0.000,0.354
2033,0.013,0.000,2.563,0.000,0.507,0.000,0.000,1.452,0.000,0.393
2034,0.007,0.000,0.342,0.000,0.203,0.013,0.000,1.684,0.000,0.974
2035,0.000,0.000,1.544,0.000,1.321,0.000,0.000,1.117,0.000,0.189
2036,0.007,0.000,2.387,0.000,0.103,0.000,0.000,2.291,0.000,0.842
2037,0.013,0.000,2.126,0.000,1.036,0.013,0.000,3.010,0.000,0.207
2038,0.000,0.000,1.547,0.000,0.253,0.013,0.000,0.333,0.000,0.185
2039,0.013,0.000,2.293,0.000,0.486,0.000,0.000,1.872,0.000,1.040
2040,0.013,0.000,0.676,0.000,0.363,0.000,0.000,2.133,0.000,0.564
2041,0.000,0.000,0.804,0.000,0.180,0.000,0.000,1.865,0.000,0.169
2042,0.029,0.000,2.043,0.000,0.392,0.013,0.000,0.450,0.000,0.081
2043,0.013,0.000,2.400,0.000,0.374,0.000,0.000,0.323,0.000,0.201
2044,0.013,0.000,1.681,0.000,0.588,0.013,0.000,0.944,0.000,0.433
2045,0.000,0.000,0.380,0.000,0.046,0.000,0.000,0.509,0.000,0.362
2046,0.000,0.000,2.007,0.000,0.606,0.013,0.000,0.420,0.000,0.043
2047,0.013,0.000,1.983,0.000,0.679,0.013,0.000,0.450,0.000,0.043
2048,0.000,0.000,0.193,0.000,0.076,0.000,0.000,0.727,0.000,0.095
2049,0.000,0.000,3.170,0.000,1.149,0.000,0.000,1.147,0.000,0.118
2050,0.000,0.000,1.399,0.000,0.330,0.000,0.000,3.121,0.000,0.072
2051,0.015,0.000,1.653,0.000,0.662,0.000,0.000,1.319,0.000,0.570
2052,0.000,0.000,0.940,0.000,0.160,0.000,0.000,0.984,0.000,0.160
2053,0.000,0.000,0.638,0.000,0.174,0.000,0.000,0.799,0.000,0.118
2054,0.028,0.000,2.110,0.000,0.721,0.000,0.000,0.245,0.000,0.104
2055,0.007,0.000,1.078,0.000,0.808,0.000,0.000,1.012,0.000,0.232
2056,0.000,0.000,0.411,0.000,0.245,0.000,0.000,0.522,0.000,0.055
2057,0.000,0.000,0.753,0.000,0.099,0.000,0.000,1.415,0.000,0.046
2058,0.000,0.000,1.491,0.000,0.106,0.000,0.000,0.210,0.000,0.043
2059,0.000,0.000,1.439,0.000,0.982,0.000,0.000,0.200,0.000,0.030
2060,0.000,0.000,0.520,0.000,0.107,0.000,0.000,0.637,0.000,0.109
2061,0.000,0.000,0.418,0.000,0.060,0.000,0.000,1.632,0.000,0.662
2062,0.000,0.000,0.306,0.000,0.041,0.000,0.000,0.189,0.000,0.059
2063,0.013,0.000,2.667,0.000,0.636,0.000,0.000,0.637,0.000,0.044
2064,0.000,0.000,0.606,0.000,0.157,0.000,0.000,1.038,0.000,0.029
2065,0.000,0.000,0.374,0.000,0.140,0.000,0.000,0.029,0.000,0.000
2066,0.000,0.000,2.017,0.000,0.165,0.000,0.000,1.390,0.000,0.043
2067,0.000,0.000,0.489,0.000,0.036,0.000,0.000,0.799,0.000,0.229
2068,0.000,0.000,2.010,0.000,0.324,0.000,0.000,2.511,0.000,0.683
2069,0.000,0.000,0.579,0.000,0.016,0.000,0.000,1.264,0.000,0.258
2070,0.000,0.000,0.603,0.000,0.232,0.000,0.000,0.416,0.000,0.000
2071,0.000,0.000,0.069,0.000,0.027,0.000,0.000,1.993,0.000,0.016
2072,0.007,0.000,2.349,0.000,0.346,0.000,0.000,1.000,0.000,0.044
2073,0.000,0.000,2.322,0.000,0.203,0.000,0.000,0.028,0.000,0.013
2074,0.020,0.000,0.437,0.000,0.091,0.000,0.000,1.013,0.000,0.189
2075,0.000,0.000,0.085,0.000,0.034,0.000,0.000,0.132,0.000,0.030
2076,0.013,0.000,2.930,0.000,0.627,0.000,0.000,0.030,0.000,0.013
2077,0.000,0.000,0.211,0.000,0.088,0.000,0.000,0.498,0.000,0.027
2078,0.000,0.000,0.060,0.000,0.029,0.000,0.000,0.873,0.000,0.013
2079,0.000,0.000,0.985,0.000,0.309,0.000,0.000,0.549,0.000,0.091
2080,0.000,0.000,0.683,0.000,0.163,0.000,0.000,0.073,0.000,0.000
