year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,1.271,0.000,6.206,0.207,3.531,1.277,0.109,3.416,0.456,2.366
2007,1.582,0.174,7.740,0.472,6.164,1.742,0.000,6.211,0.328,5.001
2008,1.841,0.007,6.751,0.350,4.106,1.579,0.149,11.737,0.702,2.262
2009,1.564,0.112,5.066,0.300,2.552,1.607,0.108,4.042,0.449,3.128
2010,1.456,0.003,2.591,0.332,2.456,2.195,0.000,8.210,0.158,4.236
2011,1.807,0.081,11.282,0.931,4.520,2.014,0.272,11.725,0.545,5.915
2012,2.117,0.211,8.143,0.454,3.692,1.547,0.014,20.118,0.891,4.281
2013,2.514,0.010,6.562,0.638,5.564,1.870,0.106,12.148,0.269,6.686
2014,1.868,0.780,6.223,1.028,3.378,1.751,0.194,12.600,0.716,4.234
2015,1.741,0.177,5.176,0.339,4.400,0.907,0.099,5.954,0.282,4.554
2016,1.997,0.112,9.090,0.710,4.979,1.225,0.069,5.778,0.391,4.515
2017,2.393,0.123,6.936,0.345,5.246,2.157,0.491,4.303,0.973,3.724
2018,1.599,0.024,4.982,0.347,3.671,2.604,1.019,10.002,1.156,6.385
2019,1.543,0.419,4.314,0.526,3.430,3.399,0.506,9.915,0.941,9.546
2020,3.219,0.518,11.283,0.931,5.591,2.395,0.003,8.765,0.715,4.501
2021,1.828,0.551,5.632,0.694,4.365,2.553,0.100,4.800,1.225,4.080
2022,1.658,0.596,7.697,0.785,3.094,2.196,0.449,8.023,0.782,7.521
2023,1.722,0.003,8.838,0.582,7.056,2.313,0.739,11.728,0.787,4.995
2024,2.187,0.003,7.473,0.555,5.446,3.321,0.991,9.231,1.836,7.602
2025,1.781,0.171,7.959,0.200,4.333,2.203,0.626,7.597,1.202,5.813
2026,1.858,0.706,8.734,0.925,6.560,2.251,0.482,5.410,0.742,4.272
2027,2.771,0.194,7.238,1.019,5.607,2.534,0.863,8.506,1.140,6.532
2028,3.271,0.348,7.331,0.694,6.385,3.090,0.713,10.213,0.945,6.482
2029,2.930,0.003,9.888,0.300,6.046,3.164,0.116,9.086,0.888,8.139
2030,2.260,0.510,8.773,0.700,7.434,3.477,0.951,9.192,1.926,8.150
2031,2.161,0.279,10.799,0.897,5.591,2.868,0.989,9.228,1.538,7.187
2032,2.302,0.467,16.413,0.863,6.335,2.723,0.031,19.746,0.960,6.125
2033,3.003,0.374,6.322,1.540,5.163,2.211,0.555,20.243,0.761,8.221
2034,4.017,0.378,7.918,1.428,6.569,4.130,0.476,12.014,1.012,7.874
2035,3.870,0.926,9.953,1.157,6.894,3.142,1.038,13.003,1.302,4.837
2036,3.791,0.286,13.834,0.814,8.955,4.994,0.144,14.387,1.133,10.381
2037,1.989,0.659,15.205,1.001,4.217,3.301,1.135,15.438,1.924,11.519
2038,2.653,1.515,13.359,1.527,7.887,3.095,0.024,9.824,1.463,7.266
2039,3.317,1.080,9.422,1.322,6.195,3.859,0.840,16.463,1.494,13.346
2040,3.495,0.688,16.373,1.859,12.080,4.052,1.368,12.580,1.800,8.876
2041,3.982,0.204,13.021,1.174,8.047,4.322,0.405,24.606,1.820,7.901
2042,4.323,0.467,8.063,0.560,6.570,5.215,1.189,27.251,3.107,13.350
2043,3.951,0.017,15.805,0.878,10.721,6.515,0.876,13.057,1.561,9.994
2044,3.281,0.375,7.535,0.649,5.264,4.376,1.650,20.351,3.241,9.269
2045,4.203,0.906,17.464,1.687,9.000,5.026,0.426,16.621,1.226,15.055
2046,5.132,0.722,17.226,3.053,11.191,5.543,0.755,17.830,2.344,14.180
2047,5.628,0.964,13.441,1.424,8.533,6.180,1.705,15.215,2.963,9.999
2048,3.298,1.463,19.912,1.711,9.010,8.413,1.136,16.074,1.999,14.801
2049,4.758,2.269,12.822,2.345,10.992,7.301,0.617,17.194,3.437,13.493
2050,4.795,0.299,12.987,2.037,8.924,6.053,2.689,15.709,3.077,12.022
2051,5.181,0.380,12.101,0.888,8.356,7.712,2.100,21.033,2.847,13.683
2052,4.660,0.813,21.218,1.217,12.343,6.841,0.970,19.437,2.990,17.596
2053,4.876,0.724,26.534,1.464,11.024,8.139,3.278,20.692,5.290,17.915
2054,3.811,0.404,10.410,1.380,8.036,9.067,1.335,24.188,3.839,17.546
2055,5.278,1.637,11.184,2.375,7.024,8.246,3.116,23.964,4.899,17.109
2056,5.367,0.832,13.823,1.452,11.964,9.129,1.029,24.546,4.524,18.468
2057,4.594,0.916,13.483,1.019,10.588,5.984,1.599,25.063,3.243,20.656
2058,5.134,1.453,16.236,2.498,10.523,9.703,3.328,25.009,4.960,21.333
2059,5.132,1.299,18.856,2.697,14.688,9.486,0.673,26.153,2.781,18.910
2060,3.280,0.361,15.880,1.509,12.249,8.540,1.320,37.137,2.624,23.040
2061,4.541,0.430,15.928,2.185,13.036,11.305,2.694,30.079,4.960,27.598
2062,7.580,1.978,18.248,2.518,11.588,10.734,3.309,24.446,5.085,16.057
2063,6.479,0.731,16.102,1.180,11.242,9.395,3.485,27.481,4.547,21.549
2064,4.611,0.397,22.621,2.253,13.875,12.067,6.813,42.516,7.196,28.774
2065,4.951,1.737,20.955,2.758,9.037,11.743,1.968,49.480,4.037,22.763
2066,4.614,1.303,23.108,2.537,17.551,10.750,3.135,28.727,4.830,16.370
2067,5.674,0.966,12.893,2.167,11.624,12.735,4.621,26.104,5.478,18.715
2068,5.178,1.039,14.373,1.515,10.164,14.146,3.835,43.472,7.886,25.303
2069,5.804,1.212,19.494,2.939,12.820,16.534,2.060,43.486,5.320,32.742
2070,4.852,0.994,25.780,1.937,12.360,14.819,1.304,36.174,6.076,25.565
2071,4.598,0.804,16.938,1.431,8.919,15.789,1.046,37.000,7.318,25.944
2072,6.807,2.534,31.875,3.766,12.052,12.873,6.011,43.586,6.484,29.728
2073,4.628,1.123,20.143,1.335,10.880,14.918,3.881,77.151,6.408,36.812
2074,7.479,3.054,14.655,3.446,12.168,18.728,6.623,58.023,9.758,33.023
