year,median,min,max,p10,p90
1950,681.899,604.667,731.552,628.464,718.275
1951,666.250,543.069,804.171,580.757,788.543
1952,690.287,579.910,758.696,625.118,741.464
1953,679.691,519.202,842.981,568.085,771.247
1954,647.650,468.870,780.662,572.704,751.810
1955,645.394,576.493,764.511,584.567,712.852
1956,669.263,573.888,755.429,593.015,740.799
1957,682.437,557.316,813.170,588.226,746.089
1958,644.409,587.279,888.981,613.700,767.387
1959,669.050,578.828,764.103,603.645,732.255
1960,673.674,542.633,784.795,615.693,734.204
1961,678.553,554.299,804.093,585.504,760.709
1962,682.490,561.421,850.297,602.921,740.379
1963,639.748,512.073,764.527,541.647,719.011
1964,640.163,458.046,776.077,589.050,727.570
1965,621.971,512.053,798.379,531.562,725.936
1966,634.832,563.352,806.224,617.191,754.983
1967,659.344,564.549,773.053,619.603,731.304
1968,641.689,518.857,761.907,535.858,758.346
1969,645.676,538.447,794.990,575.736,687.422
1970,643.377,545.507,716.487,605.257,699.670
1971,680.881,580.158,779.928,595.715,754.208
1972,697.205,579.396,745.738,621.023,736.494
1973,676.072,610.442,744.028,621.959,722.019
1974,685.524,570.676,809.389,589.364,772.135
1975,673.702,579.443,847.070,589.193,728.033
1976,633.467,562.336,827.458,584.944,789.382
1977,677.717,540.316,850.610,599.726,769.499
1978,674.737,600.902,827.269,605.536,755.171
1979,682.837,490.485,832.141,610.566,756.879
1980,683.795,638.507,842.834,643.716,787.521
1981,707.366,611.640,863.810,656.059,811.939
1982,682.712,621.215,819.143,636.504,719.683
1983,638.085,527.271,733.319,580.305,683.238
1984,684.970,542.626,811.240,588.683,784.591
1985,665.084,541.323,778.699,613.678,739.369
1986,713.640,634.966,814.846,641.241,802.629
1987,704.846,603.758,803.728,627.709,794.990
1988,688.818,553.057,939.072,633.293,744.799
1989,706.317,655.565,871.931,671.570,833.244
1990,754.052,631.976,929.421,642.323,836.734
1991,750.825,607.862,876.029,683.017,834.469
1992,614.035,545.280,849.820,551.812,731.093
1993,677.174,604.071,828.678,626.782,753.207
1994,700.681,616.257,900.043,667.958,855.157
1995,717.719,620.087,895.458,650.660,833.434
1996,738.756,588.397,899.766,618.873,839.413
1997,774.624,610.926,876.047,668.015,834.337
1998,735.577,636.433,950.792,679.950,873.274
1999,789.964,687.831,886.449,708.471,878.492
2000,822.312,693.617,939.954,718.500,933.195
2001,777.004,664.092,868.214,709.738,852.875
2002,787.035,683.796,888.345,685.558,835.872
2003,770.169,710.125,933.723,724.600,845.424
2004,795.119,699.402,1011.227,710.731,872.133
