year,days_prcp_abv
1950,0.21428251
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.055057917
1957,0.2213562
1958,0.055057917
1959,0.17727315
1960,0.0
1961,0.06083697
1962,0.0
1963,0.01580128
1964,0.29510957
1965,0.0
1966,0.015830502
1967,0.040867656
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.111787274
1973,0.11361482
1974,0.0
1975,0.0
1976,0.28085232
1977,0.10641395
1978,0.0
1979,0.022635542
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.04503569
1988,0.0
1989,0.0034171303
1990,0.074324705
1991,0.01580128
1992,0.0
1993,0.0
1994,0.10017743
1995,0.5869429
1996,0.0034171303
1997,0.06083697
1998,0.25067443
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.01580128
2004,1.7150781
2005,0.013487731
2006,0.013487731
