year,median,min,max,p10,p90
1950,0.000,0.000,0.877,0.000,0.336
1951,0.060,0.000,1.422,0.000,0.532
1952,0.027,0.000,1.460,0.000,0.192
1953,0.000,0.000,1.176,0.000,0.861
1954,0.000,0.000,0.609,0.000,0.512
1955,0.000,0.000,1.100,0.000,0.474
1956,0.000,0.000,1.196,0.000,0.337
1957,0.095,0.000,0.947,0.000,0.533
1958,0.000,0.000,0.533,0.000,0.424
1959,0.000,0.000,0.869,0.000,0.587
1960,0.000,0.000,1.213,0.000,0.564
1961,0.124,0.000,1.542,0.000,0.804
1962,0.060,0.000,1.648,0.000,0.643
1963,0.000,0.000,0.550,0.000,0.433
1964,0.000,0.000,1.067,0.000,0.468
1965,0.000,0.000,0.911,0.000,0.286
1966,0.000,0.000,0.510,0.000,0.397
1967,0.000,0.000,0.533,0.000,0.395
1968,0.000,0.000,0.838,0.000,0.460
1969,0.055,0.000,0.971,0.000,0.757
1970,0.000,0.000,0.898,0.000,0.465
1971,0.000,0.000,0.706,0.000,0.378
1972,0.000,0.000,0.757,0.000,0.544
1973,0.000,0.000,0.748,0.000,0.588
1974,0.000,0.000,1.006,0.000,0.413
1975,0.000,0.000,0.910,0.000,0.682
1976,0.222,0.000,1.203,0.000,0.929
1977,0.000,0.000,0.455,0.000,0.382
1978,0.000,0.000,1.138,0.000,0.841
1979,0.013,0.000,0.947,0.000,0.533
1980,0.013,0.000,1.790,0.000,0.947
1981,0.070,0.000,1.222,0.000,0.825
1982,0.000,0.000,0.533,0.000,0.337
1983,0.000,0.000,1.417,0.000,0.555
1984,0.000,0.000,0.591,0.000,0.214
1985,0.000,0.000,1.071,0.000,0.478
1986,0.000,0.000,0.995,0.000,0.515
1987,0.000,0.000,0.817,0.000,0.612
1988,0.082,0.000,1.857,0.000,0.533
1989,0.000,0.000,0.681,0.000,0.474
1990,0.000,0.000,0.783,0.000,0.438
1991,0.000,0.000,0.552,0.000,0.474
1992,0.000,0.000,1.537,0.000,0.395
1993,0.000,0.000,0.670,0.000,0.337
1994,0.000,0.000,0.931,0.000,0.491
1995,0.000,0.000,1.046,0.000,0.493
1996,0.145,0.000,0.977,0.000,0.670
1997,0.154,0.000,1.277,0.000,0.670
1998,0.055,0.000,0.670,0.000,0.504
1999,0.062,0.000,0.424,0.000,0.383
2000,0.050,0.000,0.962,0.000,0.533
2001,0.000,0.000,1.516,0.000,0.851
2002,0.177,0.000,1.067,0.000,0.813
2003,0.000,0.000,1.274,0.000,0.947
2004,0.000,0.000,0.853,0.000,0.474
