year,median,min,max,p10,p90
1950,0.000,0.000,0.899,0.000,0.371
1951,0.000,0.000,1.320,0.000,0.182
1952,0.000,0.000,0.965,0.000,0.000
1953,0.000,0.000,0.260,0.000,0.085
1954,0.000,0.000,0.578,0.000,0.070
1955,0.000,0.000,0.578,0.000,0.233
1956,0.000,0.000,0.693,0.000,0.549
1957,0.000,0.000,0.858,0.000,0.458
1958,0.000,0.000,0.741,0.000,0.076
1959,0.000,0.000,0.466,0.000,0.000
1960,0.000,0.000,0.140,0.000,0.000
1961,0.000,0.000,0.076,0.000,0.000
1962,0.000,0.000,0.613,0.000,0.076
1963,0.000,0.000,0.085,0.000,0.000
1964,0.000,0.000,0.076,0.000,0.000
1965,0.000,0.000,0.090,0.000,0.000
1966,0.000,0.000,0.076,0.000,0.000
1967,0.000,0.000,0.823,0.000,0.140
1968,0.000,0.000,0.008,0.000,0.000
1969,0.000,0.000,0.654,0.000,0.000
1970,0.000,0.000,0.163,0.000,0.000
1971,0.000,0.000,0.390,0.000,0.000
1972,0.000,0.000,0.668,0.000,0.000
1973,0.000,0.000,0.320,0.000,0.085
1974,0.000,0.000,0.104,0.000,0.000
1975,0.000,0.000,0.315,0.000,0.090
1976,0.000,0.000,0.985,0.000,0.252
1977,0.000,0.000,1.114,0.000,0.415
1978,0.000,0.000,0.528,0.000,0.360
1979,0.000,0.000,2.097,0.000,0.390
1980,0.000,0.000,0.508,0.000,0.000
1981,0.000,0.000,1.604,0.000,0.458
1982,0.000,0.000,1.056,0.000,0.085
1983,0.000,0.000,0.029,0.000,0.000
1984,0.000,0.000,0.792,0.000,0.153
1985,0.000,0.000,0.409,0.000,0.358
1986,0.000,0.000,0.784,0.000,0.076
1987,0.000,0.000,0.968,0.000,0.545
1988,0.000,0.000,0.773,0.000,0.356
1989,0.000,0.000,0.388,0.000,0.309
1990,0.000,0.000,1.180,0.000,0.076
1991,0.000,0.000,0.938,0.000,0.231
1992,0.000,0.000,1.366,0.000,0.274
1993,0.000,0.000,1.521,0.000,0.000
1994,0.000,0.000,0.559,0.000,0.000
1995,0.000,0.000,1.085,0.000,0.190
1996,0.000,0.000,1.773,0.000,0.804
1997,0.000,0.000,2.040,0.000,0.695
1998,0.000,0.000,0.986,0.000,0.567
1999,0.000,0.000,2.209,0.000,0.848
2000,0.000,0.000,1.174,0.000,1.015
2001,0.000,0.000,3.847,0.000,0.602
2002,0.000,0.000,0.976,0.000,0.788
2003,0.000,0.000,1.637,0.000,0.153
2004,0.000,0.000,0.855,0.000,0.494
