year,median,min,max,p10,p90
1950,0.000,0.000,8.640,0.000,1.179
1951,0.000,0.000,4.035,0.000,1.551
1952,0.000,0.000,1.581,0.000,0.924
1953,0.000,0.000,2.725,0.000,1.366
1954,0.000,0.000,3.036,0.000,0.537
1955,0.000,0.000,2.177,0.000,1.103
1956,0.000,0.000,1.596,0.000,0.874
1957,0.000,0.000,2.647,0.000,0.647
1958,0.000,0.000,3.611,0.000,1.686
1959,0.000,0.000,1.828,0.000,1.394
1960,0.000,0.000,3.764,0.000,0.835
1961,0.000,0.000,1.922,0.000,0.327
1962,0.000,0.000,2.132,0.000,1.273
1963,0.000,0.000,4.300,0.000,2.905
1964,0.000,0.000,1.603,0.000,1.114
1965,0.000,0.000,6.454,0.000,1.531
1966,0.000,0.000,7.300,0.000,1.915
1967,0.000,0.000,1.712,0.000,1.536
1968,0.000,0.000,2.495,0.000,1.547
1969,0.000,0.000,2.070,0.000,1.056
1970,0.000,0.000,3.462,0.000,1.618
1971,0.000,0.000,5.768,0.000,1.413
1972,0.000,0.000,1.955,0.000,0.335
1973,0.000,0.000,0.766,0.000,0.194
1974,0.000,0.000,2.624,0.000,1.965
1975,0.000,0.000,1.092,0.000,0.542
1976,0.000,0.000,2.718,0.000,1.987
1977,0.000,0.000,3.540,0.000,0.719
1978,0.000,0.000,2.213,0.000,1.920
1979,0.000,0.000,1.278,0.000,0.987
1980,0.000,0.000,2.131,0.000,1.790
1981,0.000,0.000,5.192,0.000,3.826
1982,0.000,0.000,1.877,0.000,0.862
1983,0.000,0.000,1.787,0.000,0.574
1984,0.000,0.000,1.642,0.000,0.407
1985,0.000,0.000,2.262,0.000,0.307
1986,0.000,0.000,3.466,0.000,0.409
1987,0.000,0.000,2.349,0.000,0.058
1988,0.000,0.000,2.445,0.000,1.153
1989,0.000,0.000,0.176,0.000,0.000
1990,0.000,0.000,4.085,0.000,2.219
1991,0.000,0.000,2.861,0.000,0.265
1992,0.000,0.000,2.882,0.000,0.712
1993,0.000,0.000,5.097,0.000,4.228
1994,0.000,0.000,1.840,0.000,0.523
1995,0.000,0.000,4.784,0.000,2.213
1996,0.000,0.000,1.215,0.000,0.000
1997,0.000,0.000,0.816,0.000,0.539
1998,0.000,0.000,0.835,0.000,0.000
1999,0.000,0.000,1.290,0.000,1.000
2000,0.000,0.000,2.506,0.000,1.501
2001,0.000,0.000,1.964,0.000,1.127
2002,0.000,0.000,7.069,0.000,2.056
2003,0.000,0.000,0.405,0.000,0.000
2004,0.000,0.000,1.293,0.000,0.649
