year,median,min,max,p10,p90
1950,360.408,330.585,365.000,345.829,365.000
1951,364.134,351.725,365.000,358.579,365.000
1952,358.990,314.954,366.000,347.482,366.000
1953,362.011,337.498,365.000,347.401,365.000
1954,362.234,347.733,365.000,351.583,365.000
1955,357.797,341.742,365.000,350.986,365.000
1956,363.280,340.060,366.000,349.977,366.000
1957,364.000,314.834,365.000,336.437,365.000
1958,356.618,340.515,365.000,345.912,365.000
1959,361.231,324.545,365.000,337.245,365.000
1960,363.764,334.258,366.000,349.077,366.000
1961,364.651,326.715,365.000,353.195,365.000
1962,361.381,342.718,365.000,354.890,365.000
1963,359.084,321.977,365.000,339.277,365.000
1964,364.308,342.202,366.000,347.751,366.000
1965,362.659,315.201,365.000,341.142,365.000
1966,361.344,325.468,365.000,336.817,365.000
1967,359.757,327.084,365.000,350.239,365.000
1968,360.155,329.961,366.000,347.705,366.000
1969,358.942,345.376,365.000,348.298,364.461
1970,360.563,331.137,365.000,339.755,365.000
1971,359.032,339.321,365.000,346.493,365.000
1972,363.366,332.424,366.000,346.468,366.000
1973,362.250,322.593,365.000,343.602,365.000
1974,361.219,332.096,365.000,334.196,365.000
1975,361.319,333.382,365.000,354.535,365.000
1976,362.280,348.015,366.000,354.309,366.000
1977,360.519,320.664,365.000,346.056,365.000
1978,362.554,337.312,365.000,352.172,365.000
1979,363.666,344.530,365.000,355.844,365.000
1980,359.948,343.685,366.000,346.365,366.000
1981,363.407,334.515,365.000,352.458,365.000
1982,360.618,328.809,365.000,348.765,365.000
1983,360.487,320.243,365.000,351.322,365.000
1984,357.806,348.065,366.000,348.334,365.619
1985,360.839,332.704,365.000,350.000,365.000
1986,364.657,344.644,365.000,352.017,365.000
1987,361.465,339.336,365.000,349.805,365.000
1988,363.543,342.136,366.000,360.093,366.000
1989,364.265,327.644,365.000,353.266,365.000
1990,363.766,336.248,365.000,353.907,365.000
1991,362.497,336.067,365.000,349.998,365.000
1992,362.365,343.860,366.000,344.296,366.000
1993,362.521,327.377,365.000,352.700,365.000
1994,359.875,311.812,365.000,344.589,365.000
1995,359.343,337.724,365.000,344.696,365.000
1996,361.933,350.000,366.000,353.827,366.000
1997,363.244,327.837,365.000,355.872,365.000
1998,363.228,347.116,365.000,353.165,365.000
1999,360.732,347.954,365.000,353.014,365.000
2000,361.296,341.080,366.000,353.081,366.000
2001,360.132,351.536,365.000,351.901,365.000
2002,363.941,344.793,365.000,354.186,365.000
2003,361.346,341.508,365.000,349.844,365.000
2004,358.962,304.687,366.000,350.814,366.000
