year,median,min,max,p10,p90
1950,365.000,338.133,365.000,349.883,365.000
1951,364.344,333.250,365.000,355.399,365.000
1952,365.891,343.933,366.000,360.636,366.000
1953,365.000,327.149,365.000,339.616,365.000
1954,365.000,346.763,365.000,355.226,365.000
1955,365.000,324.569,365.000,349.285,365.000
1956,366.000,345.077,366.000,358.313,366.000
1957,362.763,324.451,365.000,347.870,365.000
1958,365.000,344.240,365.000,352.353,365.000
1959,365.000,340.891,365.000,348.028,365.000
1960,366.000,346.106,366.000,357.277,366.000
1961,362.420,332.664,365.000,345.694,365.000
1962,363.212,333.062,365.000,342.845,365.000
1963,365.000,352.199,365.000,354.711,365.000
1964,366.000,343.065,366.000,354.510,366.000
1965,365.000,342.901,365.000,354.539,365.000
1966,365.000,345.752,365.000,355.662,365.000
1967,365.000,344.054,365.000,359.931,365.000
1968,366.000,313.190,366.000,351.010,366.000
1969,364.776,336.978,365.000,351.888,365.000
1970,365.000,332.310,365.000,343.263,365.000
1971,365.000,329.562,365.000,357.054,365.000
1972,366.000,352.265,366.000,356.977,366.000
1973,365.000,340.770,365.000,351.167,365.000
1974,365.000,325.058,365.000,350.837,365.000
1975,365.000,336.454,365.000,353.601,365.000
1976,363.546,341.786,366.000,351.261,366.000
1977,365.000,352.261,365.000,359.236,365.000
1978,365.000,337.399,365.000,350.267,365.000
1979,364.933,343.975,365.000,348.191,365.000
1980,365.272,336.234,366.000,344.088,366.000
1981,364.620,332.751,365.000,340.998,365.000
1982,365.000,337.377,365.000,354.155,365.000
1983,365.000,317.083,365.000,356.294,365.000
1984,366.000,353.383,366.000,360.678,366.000
1985,365.000,322.905,365.000,355.936,365.000
1986,365.000,347.810,365.000,351.627,365.000
1987,365.000,340.465,365.000,350.322,365.000
1988,363.707,340.118,366.000,358.605,366.000
1989,365.000,326.898,365.000,355.185,365.000
1990,365.000,333.800,365.000,345.582,365.000
1991,365.000,343.471,365.000,347.868,365.000
1992,366.000,348.588,366.000,359.539,366.000
1993,365.000,345.133,365.000,359.276,365.000
1994,365.000,350.350,365.000,360.562,365.000
1995,365.000,323.649,365.000,354.411,365.000
1996,363.651,335.215,366.000,352.836,366.000
1997,363.719,334.964,365.000,350.690,365.000
1998,362.988,332.855,365.000,349.543,365.000
1999,363.037,351.607,365.000,356.523,365.000
2000,364.658,354.470,366.000,354.633,366.000
2001,365.000,334.087,365.000,336.083,365.000
2002,361.281,336.027,365.000,343.152,365.000
2003,365.000,322.374,365.000,342.806,365.000
2004,366.000,319.585,366.000,349.537,366.000
