year,median,min,max,p10,p90
1950,0.076,0.000,2.130,0.000,1.523
1951,0.312,0.000,3.544,0.000,1.488
1952,0.089,0.000,3.007,0.000,1.104
1953,0.390,0.000,1.736,0.000,1.112
1954,0.450,0.000,1.946,0.000,1.433
1955,0.000,0.000,2.027,0.000,1.344
1956,0.242,0.000,2.605,0.000,1.812
1957,0.104,0.000,2.147,0.000,1.246
1958,0.014,0.000,1.895,0.000,1.546
1959,0.021,0.000,2.596,0.000,1.233
1960,0.021,0.000,1.546,0.000,0.735
1961,0.174,0.000,1.760,0.000,1.240
1962,0.085,0.000,3.824,0.000,1.713
1963,0.000,0.000,1.510,0.000,0.838
1964,0.014,0.000,1.735,0.000,1.263
1965,0.174,0.000,2.154,0.000,1.096
1966,0.154,0.000,1.629,0.000,0.710
1967,0.070,0.000,2.045,0.000,1.362
1968,0.076,0.000,1.170,0.000,0.604
1969,0.119,0.000,2.212,0.000,1.077
1970,0.076,0.000,1.220,0.000,0.633
1971,0.076,0.000,1.107,0.000,0.576
1972,0.244,0.000,2.412,0.000,1.986
1973,0.076,0.000,2.683,0.000,1.544
1974,0.334,0.000,2.368,0.000,0.939
1975,0.670,0.000,1.792,0.000,1.622
1976,0.458,0.000,2.905,0.000,1.399
1977,0.174,0.000,2.961,0.000,2.778
1978,0.450,0.000,1.537,0.000,1.046
1979,0.528,0.000,3.806,0.000,1.792
1980,0.076,0.000,2.382,0.000,0.982
1981,0.320,0.000,1.805,0.000,1.364
1982,0.085,0.000,2.872,0.000,2.046
1983,0.098,0.000,0.893,0.000,0.755
1984,0.242,0.000,3.754,0.000,2.072
1985,0.407,0.000,2.254,0.000,2.163
1986,0.130,0.000,3.197,0.000,1.063
1987,0.598,0.000,2.124,0.000,1.759
1988,0.344,0.000,2.068,0.000,1.532
1989,0.450,0.000,2.752,0.000,1.242
1990,0.085,0.000,2.322,0.000,1.741
1991,0.702,0.000,2.723,0.000,2.070
1992,0.372,0.000,2.391,0.000,1.742
1993,0.301,0.000,3.479,0.000,1.324
1994,0.085,0.000,3.370,0.000,0.670
1995,0.472,0.000,2.458,0.000,1.651
1996,0.632,0.000,4.458,0.000,2.639
1997,0.519,0.000,3.328,0.000,2.644
1998,0.973,0.000,2.960,0.000,2.124
1999,0.763,0.000,3.176,0.000,2.720
2000,0.648,0.000,3.920,0.000,2.592
2001,0.597,0.000,5.756,0.000,2.068
2002,0.861,0.000,2.167,0.000,1.896
2003,0.450,0.000,2.716,0.000,1.334
2004,0.330,0.000,2.857,0.000,2.268
