year,days_tmax_abv
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.7421757
1957,0.0
1958,0.47175944
1959,0.0
1960,0.18379034
1961,0.8054377
1962,0.0
1963,0.0
1964,0.0
1965,0.23273537
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,1.5027515
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,1.1040487
1978,0.70193994
1979,0.10387572
1980,0.0
1981,2.0689533
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.07626669
1988,0.4210444
1989,0.0
1990,0.0
1991,0.0
1992,0.58565724
1993,0.0
1994,0.08464271
1995,0.0
1996,0.0
1997,0.0
1998,0.55554557
1999,0.0
2000,0.0
2001,0.0
2002,0.39007157
2003,0.34145975
2004,0.52808994
2005,0.0
2006,2.5096958
