year,growing_degree_day
1950,276.12167
1951,235.7158
1952,220.67123
1953,158.45784
1954,75.17349
1955,124.13792
1956,198.43042
1957,154.98456
1958,392.05795
1959,191.23683
1960,204.02493
1961,274.4135
1962,145.45615
1963,201.70003
1964,158.53659
1965,223.80838
1966,237.34372
1967,405.04718
1968,192.44148
1969,197.41516
1970,217.82065
1971,201.20116
1972,301.97736
1973,210.84814
1974,270.77887
1975,200.602
1976,177.57684
1977,223.09157
1978,229.64287
1979,239.47293
1980,163.54622
1981,246.34271
1982,221.11894
1983,166.3657
1984,182.0197
1985,240.67241
1986,255.78764
1987,273.20746
1988,231.68208
1989,191.94603
1990,297.4132
1991,256.77444
1992,322.1715
1993,189.31715
1994,260.51767
1995,283.687
1996,264.19315
1997,272.44113
1998,305.84558
1999,229.12598
2000,226.30328
2001,218.105
2002,268.34607
2003,386.8483
2004,339.55707
2005,288.31934
2006,334.53873
