year,growing_season_lngth
1950,311.17545
1951,311.11908
1952,293.02078
1953,348.95355
1954,292.4529
1955,235.07565
1956,295.824
1957,287.8878
1958,346.11517
1959,311.60815
1960,310.1014
1961,312.8846
1962,318.44305
1963,299.25098
1964,268.30716
1965,294.9649
1966,308.0302
1967,311.26117
1968,332.9512
1969,275.50708
1970,311.2249
1971,303.7142
1972,308.07693
1973,301.04282
1974,325.31418
1975,323.66257
1976,280.6719
1977,298.00473
1978,304.54782
1979,292.63226
1980,287.5002
1981,305.2382
1982,269.20486
1983,313.5849
1984,320.66183
1985,246.24358
1986,310.8604
1987,310.05493
1988,296.77875
1989,295.94727
1990,328.49246
1991,315.48724
1992,313.39005
1993,285.91537
1994,303.94308
1995,325.0207
1996,340.73267
1997,282.90417
1998,321.4146
1999,328.80945
2000,281.08264
2001,301.3153
2002,333.3208
2003,282.69208
2004,314.35394
2005,304.60635
2006,305.6122
