year,longest_run_prcp_blw
1950,51.87502
1951,97.696335
1952,71.48923
1953,39.965748
1954,61.707382
1955,54.834152
1956,50.3755
1957,59.859547
1958,80.41323
1959,64.49081
1960,79.55139
1961,65.075676
1962,72.7573
1963,52.8469
1964,50.708927
1965,56.454823
1966,62.001118
1967,82.05668
1968,55.135143
1969,78.71607
1970,77.68362
1971,61.472466
1972,63.728416
1973,58.79637
1974,74.247116
1975,35.6948
1976,32.148777
1977,75.47367
1978,39.98533
1979,38.236942
1980,61.564213
1981,84.87612
1982,50.26886
1983,46.829247
1984,41.07998
1985,52.57937
1986,70.005005
1987,87.738396
1988,85.21215
1989,35.210587
1990,43.728863
1991,57.12212
1992,53.09201
1993,55.104664
1994,78.33123
1995,49.180023
1996,54.578278
1997,48.67992
1998,79.96415
1999,62.319225
2000,74.051384
2001,31.597185
2002,58.274555
2003,106.442055
2004,67.204315
2005,78.61323
2006,98.43155
