year,longest_run_tmax_abv
1950,4.6603246
1951,2.3600535
1952,2.4990394
1953,1.3471296
1954,0.0
1955,1.3737149
1956,3.2079828
1957,0.82782733
1958,3.5168884
1959,3.8060024
1960,2.1993258
1961,3.1290636
1962,3.6297138
1963,1.2054851
1964,2.2302659
1965,1.6512457
1966,1.013599
1967,6.603038
1968,1.715135
1969,1.7921774
1970,1.8155247
1971,3.861567
1972,5.7630706
1973,3.0810885
1974,5.636711
1975,1.2662256
1976,0.48770708
1977,4.734426
1978,4.125693
1979,3.9213767
1980,1.5456613
1981,5.216173
1982,1.6892874
1983,0.60649246
1984,1.5739875
1985,2.6104248
1986,1.6084617
1987,2.4491494
1988,2.3985398
1989,0.99976605
1990,2.9014933
1991,1.4485825
1992,3.4891894
1993,3.071839
1994,3.4017718
1995,3.0371
1996,4.419751
1997,2.148089
1998,3.2450945
1999,1.1811366
2000,1.7889717
2001,0.8858658
2002,3.2476034
2003,4.2566037
2004,4.328793
2005,3.5700622
2006,5.20688
