year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,0.000,0.000,0.395,0.000,0.071,0.000,0.000,0.345,0.000,0.068
2007,0.000,0.000,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2008,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2009,0.000,0.000,0.308,0.000,0.000,0.000,0.000,0.286,0.000,0.060
2010,0.000,0.000,0.267,0.000,0.017,0.000,0.000,0.286,0.000,0.000
2011,0.000,0.000,0.877,0.000,0.403,0.000,0.000,0.396,0.000,0.060
2012,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.082,0.000,0.000
2013,0.000,0.000,0.272,0.000,0.012,0.000,0.000,0.300,0.000,0.000
2014,0.000,0.000,0.122,0.000,0.003,0.000,0.000,0.060,0.000,0.000
2015,0.000,0.000,0.251,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2016,0.000,0.000,0.202,0.000,0.000,0.000,0.000,0.561,0.000,0.095
2017,0.000,0.000,0.337,0.000,0.015,0.000,0.000,0.060,0.000,0.000
2018,0.000,0.000,0.273,0.000,0.005,0.000,0.000,0.082,0.000,0.000
2019,0.000,0.000,0.552,0.000,0.166,0.000,0.000,0.474,0.000,0.345
2020,0.000,0.000,0.368,0.000,0.066,0.000,0.000,0.119,0.000,0.000
2021,0.000,0.000,0.364,0.000,0.024,0.000,0.000,0.082,0.000,0.000
2022,0.000,0.000,0.190,0.000,0.111,0.000,0.000,0.055,0.000,0.000
2023,0.000,0.000,0.225,0.000,0.010,0.000,0.000,0.060,0.000,0.000
2024,0.000,0.000,0.109,0.000,0.097,0.000,0.000,0.533,0.000,0.000
2025,0.000,0.000,0.060,0.000,0.051,0.000,0.000,0.000,0.000,0.000
2026,0.000,0.000,0.192,0.000,0.149,0.000,0.000,0.520,0.000,0.000
2027,0.000,0.000,0.533,0.000,0.133,0.000,0.000,0.171,0.000,0.000
2028,0.000,0.000,0.320,0.000,0.080,0.000,0.000,0.000,0.000,0.000
2029,0.000,0.000,0.328,0.000,0.221,0.000,0.000,0.248,0.000,0.118
2030,0.000,0.000,0.174,0.000,0.061,0.000,0.000,0.670,0.000,0.000
2031,0.000,0.000,0.122,0.000,0.055,0.000,0.000,1.025,0.000,0.000
2032,0.000,0.000,0.474,0.000,0.065,0.000,0.000,0.113,0.000,0.000
2033,0.000,0.000,0.270,0.000,0.179,0.000,0.000,0.533,0.000,0.171
2034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.000
2035,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.062,0.000,0.000
2036,0.000,0.000,0.573,0.000,0.006,0.000,0.000,0.474,0.000,0.027
2037,0.000,0.000,0.113,0.000,0.000,0.000,0.000,0.050,0.000,0.000
2038,0.000,0.000,0.533,0.000,0.188,0.000,0.000,0.095,0.000,0.000
2039,0.000,0.000,0.470,0.000,0.055,0.000,0.000,0.000,0.000,0.000
2040,0.000,0.000,0.222,0.000,0.133,0.000,0.000,0.183,0.000,0.060
2041,0.000,0.000,0.424,0.000,0.035,0.000,0.000,0.395,0.000,0.171
2042,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.474,0.000,0.113
2043,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.395,0.000,0.192
2044,0.000,0.000,0.345,0.000,0.183,0.000,0.000,0.395,0.000,0.000
2045,0.000,0.000,0.245,0.000,0.021,0.000,0.000,0.511,0.000,0.395
2046,0.000,0.000,0.286,0.000,0.000,0.000,0.000,0.241,0.000,0.000
2047,0.000,0.000,0.241,0.000,0.019,0.000,0.000,0.472,0.000,0.137
2048,0.000,0.000,0.395,0.000,0.015,0.000,0.000,0.192,0.000,0.082
2049,0.000,0.000,0.213,0.000,0.022,0.000,0.000,0.668,0.000,0.132
2050,0.000,0.000,0.533,0.000,0.230,0.000,0.000,0.976,0.000,0.159
2051,0.000,0.000,0.395,0.000,0.290,0.000,0.000,0.670,0.000,0.113
2052,0.000,0.000,0.949,0.000,0.338,0.000,0.000,0.095,0.000,0.000
2053,0.000,0.000,0.188,0.000,0.007,0.000,0.000,0.239,0.000,0.095
2054,0.000,0.000,0.474,0.000,0.098,0.000,0.000,0.395,0.000,0.095
2055,0.000,0.000,0.484,0.000,0.098,0.000,0.000,1.130,0.000,0.171
2056,0.000,0.000,0.192,0.000,0.007,0.000,0.000,0.305,0.000,0.000
2057,0.000,0.000,0.062,0.000,0.006,0.000,0.000,0.801,0.000,0.164
2058,0.000,0.000,0.152,0.000,0.061,0.000,0.000,0.364,0.000,0.082
2059,0.000,0.000,0.148,0.000,0.000,0.000,0.000,0.625,0.000,0.286
2060,0.000,0.000,0.867,0.000,0.136,0.000,0.000,0.512,0.000,0.050
2061,0.000,0.000,0.286,0.000,0.084,0.000,0.000,0.477,0.000,0.132
2062,0.000,0.000,0.286,0.000,0.062,0.000,0.000,0.241,0.000,0.112
2063,0.000,0.000,0.395,0.000,0.013,0.000,0.000,0.132,0.000,0.062
2064,0.000,0.000,0.241,0.000,0.006,0.000,0.000,0.395,0.000,0.060
2065,0.000,0.000,0.286,0.000,0.083,0.000,0.000,0.395,0.000,0.165
2066,0.000,0.000,0.533,0.000,0.096,0.000,0.000,0.154,0.000,0.070
2067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.224,0.000,0.027
2068,0.000,0.000,0.283,0.000,0.107,0.000,0.000,0.354,0.000,0.171
2069,0.000,0.000,0.619,0.000,0.220,0.000,0.000,0.122,0.000,0.000
2070,0.000,0.000,0.409,0.000,0.025,0.000,0.000,0.935,0.000,0.181
2071,0.000,0.000,0.238,0.000,0.083,0.000,0.000,0.395,0.000,0.118
2072,0.000,0.000,0.773,0.000,0.017,0.000,0.000,0.395,0.000,0.060
2073,0.000,0.000,0.818,0.000,0.093,0.000,0.000,0.484,0.000,0.224
2074,0.000,0.000,0.438,0.000,0.097,0.000,0.000,0.591,0.000,0.171
2075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.533,0.000,0.388
2076,0.000,0.000,0.286,0.000,0.021,0.000,0.000,0.506,0.000,0.224
2077,0.000,0.000,0.615,0.000,0.073,0.000,0.000,0.286,0.000,0.213
2078,0.000,0.000,0.506,0.000,0.376,0.000,0.000,0.682,0.000,0.589
2079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.819,0.000,0.171
2080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.569,0.000,0.000
2081,0.000,0.000,0.251,0.000,0.058,0.000,0.000,0.266,0.000,0.062
2082,0.000,0.000,0.395,0.000,0.329,0.000,0.000,0.960,0.000,0.474
2083,0.000,0.000,0.251,0.000,0.017,0.000,0.000,0.929,0.000,0.353
2084,0.000,0.000,0.330,0.000,0.133,0.000,0.000,0.345,0.000,0.095
2085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.055,0.000,0.000
2086,0.000,0.000,0.378,0.000,0.018,0.000,0.000,0.533,0.000,0.204
2087,0.000,0.000,0.109,0.000,0.006,0.000,0.000,0.591,0.000,0.378
2088,0.000,0.000,0.286,0.000,0.007,0.000,0.000,0.843,0.000,0.424
2089,0.000,0.000,0.216,0.000,0.072,0.000,0.000,0.641,0.000,0.113
2090,0.000,0.000,0.122,0.000,0.061,0.060,0.000,0.726,0.000,0.440
