year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,0.000,0.000,5.041,0.000,1.492,0.000,0.000,0.584,0.000,0.242
2007,0.000,0.000,2.163,0.000,0.439,0.000,0.000,4.117,0.000,1.098
2008,0.000,0.000,2.509,0.000,1.131,0.000,0.000,4.027,0.000,1.552
2009,0.007,0.000,2.238,0.000,1.108,0.000,0.000,0.830,0.000,0.163
2010,0.000,0.000,1.007,0.000,0.298,0.000,0.000,0.833,0.000,0.407
2011,0.000,0.000,2.861,0.000,0.314,0.000,0.000,1.260,0.000,0.274
2012,0.000,0.000,3.048,0.000,0.674,0.055,0.000,2.536,0.000,0.999
2013,0.000,0.000,1.566,0.000,0.083,0.000,0.000,1.259,0.000,0.378
2014,0.004,0.000,2.737,0.000,0.601,0.055,0.000,2.780,0.000,1.694
2015,0.038,0.000,1.788,0.000,1.206,0.450,0.000,2.852,0.000,1.816
2016,0.011,0.000,0.746,0.000,0.400,0.000,0.000,2.944,0.000,0.613
2017,0.000,0.000,1.872,0.000,0.881,0.000,0.000,1.131,0.000,0.863
2018,0.198,0.000,0.790,0.000,0.667,0.000,0.000,1.310,0.000,0.549
2019,0.000,0.000,0.833,0.000,0.201,0.000,0.000,1.362,0.000,0.174
2020,0.000,0.000,0.590,0.000,0.141,0.000,0.000,2.466,0.000,1.734
2021,0.000,0.000,1.169,0.000,0.450,0.000,0.000,2.114,0.000,1.515
2022,0.000,0.000,2.869,0.000,1.869,0.000,0.000,1.155,0.000,0.398
2023,0.014,0.000,1.960,0.000,0.852,0.076,0.000,1.421,0.000,0.661
2024,0.039,0.000,2.749,0.000,1.033,0.000,0.000,1.807,0.000,0.533
2025,0.000,0.000,4.316,0.000,0.528,0.076,0.000,1.579,0.000,0.714
2026,0.055,0.000,2.657,0.000,1.349,0.000,0.000,0.839,0.000,0.654
2027,0.011,0.000,2.441,0.000,0.657,0.448,0.000,3.144,0.000,1.570
2028,0.000,0.000,0.578,0.000,0.165,0.000,0.000,2.919,0.000,1.385
2029,0.087,0.000,3.140,0.000,1.998,0.085,0.000,2.368,0.000,1.874
2030,0.000,0.000,1.599,0.000,0.740,0.301,0.000,5.364,0.000,2.078
2031,0.000,0.000,0.578,0.000,0.387,0.233,0.000,2.542,0.000,1.303
2032,0.080,0.000,1.253,0.000,1.085,0.169,0.000,3.271,0.000,1.652
2033,0.046,0.000,1.113,0.000,0.654,0.000,0.000,6.196,0.000,1.247
2034,0.000,0.000,2.804,0.000,0.928,0.000,0.000,3.274,0.000,1.817
2035,0.000,0.000,2.043,0.000,1.065,0.650,0.000,7.087,0.000,1.670
2036,0.209,0.000,1.869,0.000,0.600,0.076,0.000,1.685,0.000,0.927
2037,0.431,0.000,3.160,0.000,2.883,0.070,0.000,4.111,0.000,1.709
2038,0.097,0.000,2.147,0.000,1.256,0.153,0.000,5.125,0.000,4.273
2039,0.000,0.000,2.400,0.000,1.874,0.532,0.000,5.220,0.000,2.378
2040,0.298,0.000,2.537,0.000,2.094,0.260,0.000,3.906,0.000,3.077
2041,0.091,0.000,2.559,0.000,1.537,0.168,0.000,6.560,0.000,5.331
2042,0.007,0.000,1.066,0.000,0.931,0.371,0.000,2.708,0.000,1.297
2043,0.073,0.000,2.950,0.000,0.993,0.460,0.000,4.084,0.000,3.181
2044,0.322,0.000,6.948,0.000,3.374,0.021,0.000,3.636,0.000,2.632
2045,0.000,0.000,5.897,0.000,1.546,0.714,0.000,3.122,0.000,2.730
2046,0.000,0.000,3.939,0.000,0.981,0.700,0.000,5.081,0.000,2.719
2047,0.038,0.000,2.952,0.000,1.997,0.282,0.000,8.691,0.000,1.682
2048,0.136,0.000,2.348,0.000,1.362,0.537,0.000,3.749,0.000,1.736
2049,0.022,0.000,4.005,0.000,2.650,0.636,0.000,4.084,0.000,3.084
2050,0.176,0.000,3.643,0.000,1.853,0.260,0.000,7.175,0.000,3.637
2051,0.616,0.000,2.827,0.000,2.590,0.823,0.000,5.604,0.000,2.173
2052,0.144,0.000,2.643,0.000,2.194,1.556,0.000,6.900,0.000,4.563
2053,0.670,0.000,4.393,0.000,3.157,1.266,0.000,5.882,0.000,5.205
2054,0.613,0.000,4.382,0.000,2.898,0.592,0.000,7.144,0.000,4.937
