year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,273.827,164.296,418.523,191.269,373.899,288.013,152.221,368.028,246.291,328.813
2007,264.716,156.152,404.643,207.661,370.841,289.583,161.718,462.786,195.896,361.421
2008,275.798,156.140,485.523,189.229,350.149,287.541,189.293,465.106,241.506,359.070
2009,302.522,179.007,408.028,253.543,362.692,271.158,182.200,420.135,214.094,360.431
2010,301.039,185.808,415.363,209.840,400.267,299.464,166.842,472.558,237.148,367.970
2011,274.296,155.389,398.281,206.237,380.540,304.689,195.611,438.648,215.756,359.117
2012,290.905,167.202,398.433,201.689,361.713,324.105,169.631,404.238,224.902,367.271
2013,312.731,185.069,394.342,201.427,340.762,283.570,165.372,417.472,252.480,371.562
2014,322.675,181.973,482.248,211.304,408.050,308.418,174.791,411.787,262.283,371.582
2015,326.031,186.509,414.647,199.989,369.730,330.711,173.903,491.171,272.931,444.753
2016,286.602,219.341,364.177,235.931,348.006,297.661,201.581,522.879,219.361,395.678
2017,279.213,174.135,396.116,237.157,381.399,320.126,235.389,434.065,256.094,406.029
2018,331.766,181.889,481.313,227.379,440.762,304.600,225.763,423.207,265.356,382.933
2019,275.015,216.917,401.707,228.038,374.247,294.183,221.712,402.263,244.171,370.263
2020,283.594,191.294,471.258,218.962,386.514,318.565,213.477,535.374,243.193,412.484
2021,296.683,225.044,475.550,241.293,381.700,310.476,194.738,423.730,225.723,401.969
2022,347.900,243.287,419.699,250.758,395.922,314.881,193.716,469.062,217.286,414.387
2023,308.854,172.338,432.012,233.704,414.299,363.411,271.823,492.512,294.660,458.784
2024,314.448,210.176,425.279,266.468,384.170,329.026,236.520,607.297,272.305,411.388
2025,349.101,242.019,470.274,250.782,428.048,348.726,208.035,536.560,286.204,464.302
2026,355.908,194.071,579.765,223.428,531.540,389.637,228.141,496.226,288.474,457.966
2027,345.900,240.119,462.520,243.444,442.719,382.754,210.565,487.919,285.957,476.083
