year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,364.642,342.327,365.000,348.117,365.000,365.000,334.605,365.000,344.240,365.000
2007,362.489,315.444,365.000,347.087,365.000,363.482,344.634,365.000,352.012,365.000
2008,361.266,338.030,366.000,353.946,366.000,364.091,348.002,366.000,351.061,366.000
2009,365.000,332.855,365.000,340.664,365.000,363.817,331.745,365.000,345.386,365.000
2010,364.018,333.849,365.000,347.026,365.000,361.239,328.948,365.000,352.052,365.000
2011,363.663,330.026,365.000,350.755,365.000,363.897,328.413,365.000,351.132,365.000
2012,366.000,349.928,366.000,357.037,366.000,363.493,329.580,366.000,343.516,366.000
2013,361.587,341.640,365.000,344.403,365.000,365.000,349.115,365.000,357.616,365.000
2014,365.000,345.021,365.000,355.410,365.000,361.736,344.210,365.000,351.700,365.000
2015,364.523,349.597,365.000,353.840,365.000,365.000,352.619,365.000,358.063,365.000
2016,363.601,342.148,366.000,350.607,366.000,366.000,340.442,366.000,352.167,366.000
2017,364.523,338.562,365.000,346.922,365.000,365.000,340.447,365.000,342.327,365.000
2018,363.780,345.319,365.000,347.830,365.000,361.582,338.332,365.000,347.736,365.000
2019,360.640,336.713,365.000,343.758,365.000,359.611,331.516,365.000,340.372,365.000
2020,362.359,329.035,366.000,344.373,366.000,364.429,335.958,366.000,349.099,366.000
2021,363.986,337.543,365.000,350.858,365.000,365.000,335.162,365.000,348.006,365.000
2022,363.625,334.160,365.000,345.165,365.000,364.053,345.983,365.000,349.920,365.000
2023,365.000,347.620,365.000,349.569,365.000,365.000,341.821,365.000,353.633,365.000
2024,366.000,343.995,366.000,348.164,366.000,364.474,342.185,366.000,350.129,366.000
2025,361.300,334.136,365.000,343.388,365.000,362.552,339.898,365.000,345.212,365.000
2026,364.938,335.665,365.000,342.676,365.000,362.385,325.380,365.000,348.239,365.000
2027,361.084,340.771,365.000,351.361,365.000,363.171,337.801,365.000,344.137,365.000
2028,363.231,335.195,366.000,339.307,366.000,366.000,344.616,366.000,354.565,366.000
