year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,0.659,0.000,8.520,0.000,3.475,0.563,0.000,3.077,0.000,1.821
2007,0.707,0.000,3.463,0.000,2.094,1.242,0.000,5.126,0.000,3.242
2008,1.046,0.000,3.291,0.000,2.039,0.677,0.000,6.098,0.196,3.496
2009,1.003,0.000,2.958,0.000,2.507,0.799,0.000,2.430,0.014,1.685
2010,0.308,0.000,2.338,0.000,1.627,0.663,0.000,2.052,0.055,1.818
2011,0.746,0.000,5.719,0.073,2.115,0.584,0.000,2.605,0.000,2.142
2012,0.865,0.000,4.138,0.000,2.651,1.151,0.000,5.366,0.000,2.642
2013,0.395,0.000,2.972,0.000,2.025,0.724,0.000,2.479,0.000,1.870
2014,1.211,0.000,4.314,0.118,2.420,1.480,0.000,6.321,0.344,3.604
2015,1.047,0.000,3.534,0.069,2.487,1.636,0.139,3.952,0.182,3.091
2016,0.944,0.085,3.065,0.159,1.835,0.832,0.000,3.649,0.055,2.477
2017,0.715,0.000,4.845,0.000,2.637,1.512,0.000,2.796,0.021,2.696
2018,1.282,0.000,2.433,0.297,2.085,0.494,0.000,2.944,0.000,2.432
2019,0.625,0.000,2.935,0.076,1.418,0.602,0.000,2.519,0.085,1.870
2020,0.363,0.000,2.470,0.000,1.609,1.276,0.000,3.752,0.014,2.975
2021,0.762,0.000,3.747,0.000,2.416,1.515,0.000,4.829,0.000,4.047
2022,1.105,0.000,4.811,0.000,3.431,0.578,0.000,2.837,0.000,2.209
2023,1.187,0.000,3.753,0.063,1.922,1.302,0.000,3.544,0.390,2.964
2024,1.247,0.000,5.645,0.149,3.278,1.028,0.174,3.561,0.176,2.134
2025,0.820,0.000,6.143,0.000,2.748,1.292,0.000,3.910,0.076,2.663
2026,1.275,0.000,4.439,0.318,3.213,1.226,0.021,3.643,0.098,2.375
2027,1.010,0.000,4.252,0.000,2.711,1.679,0.000,7.447,0.118,3.572
2028,0.584,0.000,1.798,0.019,1.544,1.034,0.000,4.197,0.000,3.081
2029,1.292,0.000,5.577,0.000,3.982,1.106,0.085,4.869,0.322,2.960
2030,0.865,0.000,4.316,0.000,2.310,1.560,0.334,7.659,0.708,3.350
2031,0.847,0.000,2.410,0.134,1.846,1.454,0.000,4.719,0.104,3.433
2032,1.388,0.021,2.688,0.163,2.597,1.320,0.076,4.403,0.266,3.638
2033,1.199,0.000,2.991,0.142,2.381,0.624,0.000,7.098,0.084,4.445
2034,0.591,0.000,4.769,0.106,2.919,0.968,0.000,4.806,0.070,3.299
2035,0.938,0.000,4.727,0.156,2.789,1.844,0.014,10.019,0.091,3.839
2036,1.931,0.000,4.838,0.156,2.514,1.678,0.000,3.773,0.252,2.539
2037,1.483,0.076,5.040,0.336,4.280,1.343,0.104,5.582,0.163,3.405
2038,1.105,0.000,3.170,0.000,2.504,1.459,0.175,7.600,0.613,3.584
2039,0.619,0.000,4.211,0.069,2.522,2.016,0.111,5.781,0.540,4.597
2040,0.981,0.000,5.250,0.147,4.213,1.268,0.154,4.445,0.260,3.823
2041,1.260,0.000,3.842,0.300,3.200,1.730,0.000,10.050,0.255,4.651
2042,0.961,0.085,3.220,0.114,2.582,1.685,0.054,4.339,0.508,3.381
2043,1.177,0.000,5.807,0.248,3.838,2.665,0.000,7.427,0.249,4.667
2044,1.436,0.090,7.769,0.241,6.062,1.944,0.000,5.906,0.118,2.766
2045,0.757,0.000,6.290,0.094,2.386,2.496,0.380,4.719,0.718,3.937
2046,0.967,0.000,5.388,0.069,2.218,2.068,0.153,9.497,0.420,4.941
2047,1.245,0.000,5.472,0.063,3.923,2.151,0.000,9.102,0.312,3.692
2048,1.549,0.118,4.185,0.629,2.996,1.982,0.000,5.116,0.591,4.100
2049,1.269,0.000,7.852,0.171,3.247,2.616,0.000,5.795,0.450,4.445
2050,1.744,0.000,5.841,0.361,3.843,1.464,0.000,11.302,0.572,5.947
2051,2.451,0.085,6.870,0.507,4.216,2.473,0.161,7.520,0.663,4.234
2052,1.560,0.085,7.067,0.499,3.567,2.631,0.390,9.446,0.648,7.318
2053,1.887,0.000,5.456,0.580,4.321,2.553,0.379,7.833,0.987,6.343
2054,2.402,0.578,6.710,0.822,4.638,2.243,0.021,7.797,0.528,5.797
2055,1.944,0.337,4.369,1.006,3.023,2.902,0.521,9.675,0.999,4.573
2056,1.829,0.021,5.460,0.760,4.251,3.170,0.958,12.009,1.701,5.772
2057,1.812,0.000,4.619,0.325,3.435,2.123,0.844,10.723,1.156,7.977
2058,2.108,0.000,5.216,0.839,3.472,2.281,0.090,7.221,0.890,5.565
2059,1.484,0.014,4.133,0.184,3.108,2.415,0.487,8.692,0.988,6.151
2060,2.129,0.000,4.182,0.322,4.003,3.318,0.000,12.363,1.424,7.464
2061,2.850,0.146,7.046,0.811,4.077,2.432,0.076,8.997,0.578,5.119
2062,1.879,0.000,7.978,0.496,4.414,2.184,0.090,9.787,1.352,5.871
2063,1.906,0.014,7.314,0.574,3.914,2.754,0.331,8.233,1.026,6.188
2064,2.101,0.008,5.256,0.483,4.395,3.021,0.000,6.284,1.429,5.987
2065,1.635,0.000,6.055,0.075,4.429,4.019,1.258,11.575,2.159,7.564
2066,2.038,0.411,4.779,0.670,4.351,4.058,1.327,10.531,2.114,8.728
2067,1.356,0.146,6.925,0.327,3.527,4.696,0.256,16.999,1.236,8.550
2068,1.933,0.000,5.208,0.614,3.404,3.911,0.165,16.755,1.819,6.897
2069,2.265,0.000,11.495,0.596,6.733,3.631,0.513,11.017,1.826,7.069
2070,2.261,0.468,5.998,0.741,5.235,3.341,1.094,9.059,1.292,7.254
2071,2.501,0.000,8.157,0.955,7.024,3.751,1.532,12.195,2.127,9.369
2072,2.508,0.104,9.391,0.422,4.912,3.932,0.704,24.062,1.433,10.417
2073,2.287,0.222,6.108,1.263,5.326,3.534,1.084,9.184,1.327,7.660
2074,1.074,0.085,11.172,0.505,4.107,3.186,1.154,5.392,1.699,4.880
2075,2.506,0.528,5.149,0.822,4.122,4.174,1.518,14.521,1.630,6.680
2076,1.677,0.691,9.018,0.743,7.920,2.864,0.489,13.293,2.016,12.302
2077,2.225,0.260,5.834,0.730,4.662,3.980,0.163,20.464,1.472,7.626
2078,1.669,0.210,8.592,0.602,5.120,3.746,1.413,19.157,1.869,10.848
2079,2.074,0.644,11.576,1.288,4.219,4.075,1.022,16.455,1.420,8.629
2080,2.387,0.000,5.879,1.116,4.907,4.475,0.578,13.795,1.684,10.416
2081,2.494,0.000,8.997,0.901,5.131,4.573,0.196,19.238,1.714,13.195
2082,1.676,0.118,5.816,0.615,4.664,5.774,1.243,12.048,2.631,9.292
2083,2.144,0.021,4.950,0.749,3.978,4.397,1.164,19.777,1.685,9.969
2084,2.202,0.370,8.948,1.030,7.768,5.373,0.308,16.060,2.217,8.766
2085,1.868,0.168,6.874,0.414,5.118,7.181,0.634,12.633,3.112,11.093
2086,2.083,0.330,7.172,1.070,4.898,6.710,1.306,28.521,3.713,11.192
2087,2.004,0.000,4.779,0.096,4.320,6.003,1.649,14.223,2.776,13.078
2088,2.729,0.000,7.553,0.152,5.275,5.141,1.824,10.995,2.989,8.538
2089,2.562,0.076,7.941,0.688,5.283,7.009,1.523,29.329,2.498,14.375
2090,2.156,0.070,7.374,0.483,5.366,6.168,1.534,21.533,3.104,17.679
2091,2.411,0.330,5.324,0.960,4.696,5.174,1.106,22.541,3.058,12.886
2092,2.425,0.021,7.906,1.091,4.484,7.701,1.156,18.672,3.839,12.971
2093,1.941,0.436,7.532,0.804,3.871,8.131,1.574,22.878,3.440,14.728
2094,2.552,0.675,5.464,0.961,5.050,5.782,0.551,31.462,2.027,19.072
2095,2.305,0.429,9.433,0.803,4.965,6.852,2.464,22.861,3.320,15.187
2096,2.356,0.595,7.112,0.957,4.575,5.761,1.815,19.105,2.477,13.546
2097,2.194,0.513,11.865,0.683,5.764,6.533,2.184,16.685,2.645,13.459
2098,3.088,0.168,12.329,0.380,6.487,6.321,2.231,33.159,2.799,14.533
2099,2.435,1.028,8.665,1.209,5.292,6.607,1.444,38.437,2.157,18.092
